model,name,name_out,loaded,balanced,feasible,solved,min_pressure,location
602014 Cupar LP,W:\Scotland Networks_471\North_471\602014 Cupar LP\FY-1\602014 Cupar - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602014 Cupar LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.74,6.02014E+13
602016 North Queensferry - Inverkeithing LP,W:\Scotland Networks_471\North_471\602016 North Queensferry - Inverkeithing LP\FY1\602016 - Inverkeithing - North Queensferry - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602016 North Queensferry - Inverkeithing LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.09,6.02016E+13
602017 Kinross LP,W:\Scotland Networks_471\North_471\602017 Kinross LP\FY1\602017_KINROSS_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602017 Kinross LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.05,6.02017E+13
602019 Crieff LP,W:\Scotland Networks_471\North_471\602019 Crieff LP\FY1\602019 - Crieff - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602019 Crieff LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.95,6.02019E+13
602020 Blairgowrie LP,W:\Scotland Networks_471\North_471\602020 Blairgowrie LP\FY1\602020_Blairgowrie_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602020 Blairgowrie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.11,6.0202E+13
602021 Kinghorn LP,W:\Scotland Networks_471\North_471\602021 Kinghorn LP\FY-1\602021_Kinghorn_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602021 Kinghorn LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.13,6.02021E+13
602022 Burntisland LP,W:\Scotland Networks_471\North_471\602022 Burntisland LP\FY1\602022 - Burntisland - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602022 Burntisland LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.85,6.02022E+13
602023 Carnoustie LP,W:\Scotland Networks_471\North_471\602023 Carnoustie LP\FY-1\602023_CARNOUSTIE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602023 Carnoustie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.01,6.02023E+13
602024 Ladybank - Kingskettle LP,W:\Scotland Networks_471\North_471\602024 Ladybank - Kingskettle LP\FY1\602024_LADYBANK_KINGSKETTLE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602024 Ladybank - Kingskettle LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.2,6.02024E+13
602025 Kirriemuir LP,W:\Scotland Networks_471\North_471\602025 Kirriemuir LP\FY-1\602025_KIRRIEMUIR_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602025 Kirriemuir LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.91,6.02025E+13
602026 Aberdour LP,W:\Scotland Networks_471\North_471\602026 Aberdour LP\FY1\602026 - ABERDOUR - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602026 Aberdour LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.12,6.02026E+13
602027 Alyth LP,W:\Scotland Networks_471\North_471\602027 Alyth LP\FY1\602027_Alyth_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602027 Alyth LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.71,6.02027E+13
602028 Auchterader LP,W:\Scotland Networks_471\North_471\602028 Auchterader LP\FY-1\602028 - Auchterarder - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602028 Auchterader LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.75,6.02028E+13
602029 Aberfeldy LP,W:\Scotland Networks_471\North_471\602029 Aberfeldy LP\FY1\602029_ABERFELDY_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602029 Aberfeldy LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.12,6.02029E+13
602030 Anstruther LP,W:\Scotland Networks_471\North_471\602030 Anstruther LP\FY-1\602030 - Anstruther - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602030 Anstruther LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.52,6.0203E+13
602031 Auchtermuchty - Strathmiglo LP,W:\Scotland Networks_471\North_471\602031 Auchtermuchty - Strathmiglo LP\FY1\602031_AUCHTERMUCHTY_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602031 Auchtermuchty - Strathmiglo LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,24.12,6.02031E+13
602032 Dunning LP,W:\Scotland Networks_471\North_471\602032 Dunning LP\FY1\602032_Dunning_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602032 Dunning LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.3,6.02032E+13
602033 Edzell LP,W:\Scotland Networks_471\North_471\602033 Edzell LP\FY1\602033_Edzell_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602033 Edzell LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.3,6.02033E+13
602034 Cardenden LP,W:\Scotland Networks_471\North_471\602034 Cardenden LP\FY-1\602034 Cardenden - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602034 Cardenden LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.91,6.02034E+13
602035 Coaltown of Balgonie LP,W:\Scotland Networks_471\North_471\602035 Coaltown of Balgonie LP\FY-1\602035 Coaltown of Balgonie - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602035 Coaltown of Balgonie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.42,6.02035E+13
602037 Comrie LP,W:\Scotland Networks_471\North_471\602037 Comrie LP\FY1\602037_Comrie_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602037 Comrie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.32,6.02037E+13
602038 Crail LP,W:\Scotland Networks_471\North_471\602038 Crail LP\FY1\602038 Crail - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602038 Crail LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.08,6.02038E+13
602039 Crossford LP,W:\Scotland Networks_471\North_471\602039 Crossford LP\FY1\602039_CROSSFORD_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602039 Crossford LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.15,6.02039E+13
602040 High Valleyfield LP,W:\Scotland Networks_471\North_471\602040 High Valleyfield LP\FY-1\602040_HighValleyfield_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602040 High Valleyfield LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.65,6.0204E+13
602041 Dalgety Bay LP,W:\Scotland Networks_471\North_471\602041 Dalgety Bay LP\FY-1\602041_DALGETY_BAY_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602041 Dalgety Bay LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.93,6.02041E+13
602043 Dunkeld LP,W:\Scotland Networks_471\North_471\602043 Dunkeld LP\FY1\602043 - Dunkeld - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602043 Dunkeld LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.57,6.02043E+13
602044 East Wemyss LP,W:\Scotland Networks_471\North_471\602044 East Wemyss LP\FY-1\602044_EAST_WEMYSS_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602044 East Wemyss LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.47,6.02044E+13
602045 Elie - Earlsferry LP,W:\Scotland Networks_471\North_471\602045 Elie - Earlsferry LP\FY-1\602045_Elie Earlsferry_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602045 Elie - Earlsferry LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21,6.02045E+13
602046 Falkland LP,W:\Scotland Networks_471\North_471\602046 Falkland LP\FY-1\602046FALKLAND_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602046 Falkland LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.4,6.02046E+13
602047 Thornton LP,W:\Scotland Networks_471\North_471\602047 Thornton LP\FY1\602047 Thornton - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602047 Thornton LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.24,6.02047E+13
602048 Freuchie LP,W:\Scotland Networks_471\North_471\602048 Freuchie LP\FY-1\602048 Freuchie - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602048 Freuchie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.08,6.02048E+13
602049 Tayport LP,W:\Scotland Networks_471\North_471\602049 Tayport LP\FY1\602049_TAYPORT_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602049 Tayport LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.61,6.02049E+13
602050 St. Monance - Pittenweem LP,W:\Scotland Networks_471\North_471\602050 St. Monance - Pittenweem LP\FY1\602050-ST MONANS_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602050 St. Monance - Pittenweem LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.77,6.0205E+13
602051 Kelty LP,W:\Scotland Networks_471\North_471\602051 Kelty LP\FY1\602051 - Kelty - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602051 Kelty LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.19,6.02051E+13
602052 Pitlochry LP,W:\Scotland Networks_471\North_471\602052 Pitlochry LP\FY-1\602052_Pitlochry_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602052 Pitlochry LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.26,6.02052E+13
602053 Kincardine LP,W:\Scotland Networks_471\North_471\602053 Kincardine LP\FY1\602053_Kincardine_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602053 Kincardine LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.05,6.02053E+13
602054 Kinglassie LP,W:\Scotland Networks_471\North_471\602054 Kinglassie LP\FY1\602054 - Kinglassie - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602054 Kinglassie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.19,6.02054E+13
602055 Leslie LP,W:\Scotland Networks_471\North_471\602055 Leslie LP\FY1\602055_LESLIE-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602055 Leslie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.63,6.02055E+13
602056 Charlestown - Limekilns LP,W:\Scotland Networks_471\North_471\602056 Charlestown - Limekilns LP\FY1\602056_CHARLESTOWN-LIMEKILNS_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602056 Charlestown - Limekilns LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.42,6.02056E+13
602057 Lochgelly - Ballingry LP,W:\Scotland Networks_471\North_471\602057 Lochgelly - Ballingry LP\FY1\602057- Lochgelly - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602057 Lochgelly - Ballingry LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.84,6.02057E+13
602058 Largo - Lundin Links LP,W:\Scotland Networks_471\North_471\602058 Largo - Lundin Links LP\FY-1\602058 - Largo - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602058 Largo - Lundin Links LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.37,6.02058E+13
602059 Newburgh (Fife) LP,W:\Scotland Networks_471\North_471\602059 Newburgh (Fife) LP\FY-1\602059NEWBURGH-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602059 Newburgh (Fife) LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.42,6.02059E+13
602060 Markinch LP,W:\Scotland Networks_471\North_471\602060 Markinch LP\FY1\602060 Markinch_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602060 Markinch LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.41,6.0206E+13
602061 Newport - Wormit LP,W:\Scotland Networks_471\North_471\602061 Newport - Wormit LP\FY-1\602061 - Newport - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602061 Newport - Wormit LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.18,6.02061E+13
602062 Coupar Angus LP,W:\Scotland Networks_471\North_471\602062 Coupar Angus LP\FY-1\602062_Coupar_Angus_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602062 Coupar Angus LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,15.43,6.02062E+13
602063 Bridge Of Earn LP,W:\Scotland Networks_471\North_471\602063 Bridge Of Earn LP\FY-1\602063 - Bridge of Earn - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602063 Bridge Of Earn LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.72,6.02063E+13
602065 Gauldry LP,W:\Scotland Networks_471\North_471\602065 Gauldry LP\FY-1\602065 - Gauldry - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602065 Gauldry LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.18,6.02065E+13
602066 Methven LP,W:\Scotland Networks_471\North_471\602066 Methven LP\FY-1\602066 - METHVEN_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602066 Methven LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,24.1,6.02066E+13
602067 Liff LP,W:\Scotland Networks_471\North_471\602067 Liff LP\FY1\602067 - LIFF - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602067 Liff LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.73,6.02067E+13
602068 Invergowrie LP,W:\Scotland Networks_471\North_471\602068 Invergowrie LP\FY-1\602068 - Invergowrie - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602068 Invergowrie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.68,6.02068E+13
602070 Monifieth LP,W:\Scotland Networks_471\North_471\602070 Monifieth LP\FY-1\602070 - Monifieth - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602070 Monifieth LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.14,6.0207E+13
602071 Cairneyhill LP,W:\Scotland Networks_471\North_471\602071 Cairneyhill LP\FY-1\602071_Cairneyhill_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602071 Cairneyhill LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.58,6.02071E+13
602072 Inchture LP,W:\Scotland Networks_471\North_471\602072 Inchture LP\FY1\602072_Inchture_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602072 Inchture LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,26.44,6.02072E+13
602073 Broughty Ferry LP,W:\Scotland Networks_471\North_471\602073 Broughty Ferry LP\FY-1\602073-Broughty Ferry FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602073 Broughty Ferry LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.03,6.02073E+13
602074 Almondbank LP,W:\Scotland Networks_471\North_471\602074 Almondbank LP\FY-1\602074ALMONDBANK-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602074 Almondbank LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.81,6.02074E+13
602075 Dunshelt LP,W:\Scotland Networks_471\North_471\602075 Dunshelt LP\FY-1\602075 - Dunshelt - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602075 Dunshelt LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,26.71,6.02075E+13
602076 Oakley - Comrie LP,W:\Scotland Networks_471\North_471\602076 Oakley - Comrie LP\FY1\602076_Oakley_Comrie_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602076 Oakley - Comrie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.15,6.02076E+13
602077 Burrelton LP,W:\Scotland Networks_471\North_471\602077 Burrelton LP\FY1\602077 - BURRELTON - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602077 Burrelton LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.37,6.02077E+13
602079 Aberuthven LP,W:\Scotland Networks_471\North_471\602079 Aberuthven LP\FY1\602079 - ABERUTHVEN - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602079 Aberuthven LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.63,6.02079E+13
602080 Leuchars LP,W:\Scotland Networks_471\North_471\602080 Leuchars LP\FY-1\602080 - Leuchars - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602080 Leuchars LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,38.14,6.0208E+13
602081 Blairhall LP,W:\Scotland Networks_471\North_471\602081 Blairhall LP\FY-1\602081 - Blairhall - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602081 Blairhall LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.94,6.02081E+13
602082 Friockheim LP,W:\Scotland Networks_471\North_471\602082 Friockheim LP\FY1\602082 - FRIOCKHEIM - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602082 Friockheim LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,30.83,6.02082E+13
602083 Muirhead LP,W:\Scotland Networks_471\North_471\602083 Muirhead LP\FY1\602083 - MUIRHEAD - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602083 Muirhead LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,39.63,6.02083E+13
602084 Springfield LP,W:\Scotland Networks_471\North_471\602084 Springfield LP\FY-1\602084 - Springfield - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602084 Springfield LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,53.11,6.02084E+13
602100 Hillend LP,W:\Scotland Networks_471\North_471\602100 Hillend LP\FY-1\602100 - Hillend - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602100 Hillend LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,27.01,6.021E+13
602101 Lunanhead LP,W:\Scotland Networks_471\North_471\602101 Lunanhead LP\FY1\602101 - LUNANHEAD - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602101 Lunanhead LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,32.71,6.02101E+13
602102 Letham (by Cupar) LP,W:\Scotland Networks_471\North_471\602102 Letham (by Cupar) LP\FY-1\602102LETHAM_FIFE-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602102 Letham (by Cupar) LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,70.01,6.02102E+13
602103 Cuparmuir LP,W:\Scotland Networks_471\North_471\602103 Cuparmuir LP\FY-1\602103 - Cuparmuir - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602103 Cuparmuir LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,28.39,6.02103E+13
602104 Letham (by Forfar) LP,W:\Scotland Networks_471\North_471\602104 Letham (by Forfar) LP\FY1\602104 - LETHAM BY FORFAR - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602104 Letham (by Forfar) LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.09,6.02104E+13
602105 Colinsburgh LP,W:\Scotland Networks_471\North_471\602105 Colinsburgh LP\FY1\602105 - Colinsburgh - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602105 Colinsburgh LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,40.32,6.02105E+13
602106 Errol LP,W:\Scotland Networks_471\North_471\602106 Errol LP\FY1\602106 - Errol - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602106 Errol LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,30.42,6.02106E+13
602107 Guardbridge LP,W:\Scotland Networks_471\North_471\602107 Guardbridge LP\FY-1\602107 - Guardbridge - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602107 Guardbridge LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,39.74,6.02107E+13
602108 Balmullo LP,W:\Scotland Networks_471\North_471\602108 Balmullo LP\FY-1\602108 - Balmullo - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602108 Balmullo LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,33.87,6.02108E+13
602109 Inveraldie LP,W:\Scotland Networks_471\North_471\602109 Inveraldie LP\FY-1\602109 - INVERALDIE - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602109 Inveraldie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.2,6.02109E+13
602110 Kinrossie LP,W:\Scotland Networks_471\North_471\602110 Kinrossie LP\FY1\602110 - KINROSSIE - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602110 Kinrossie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,36.37,6.0211E+13
602111 Strathkinness LP,W:\Scotland Networks_471\North_471\602111 Strathkinness LP\FY-1\602111 - Strathkinness - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602111 Strathkinness LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,47.76,6.02111E+13
602112 Newtyle LP,W:\Scotland Networks_471\North_471\602112 Newtyle LP\FY-1\602112 - Newtyle - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602112 Newtyle LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,34.9,6.02112E+13
602113 Meigle LP,W:\Scotland Networks_471\North_471\602113 Meigle LP\FY-1\602113_MEIGLE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602113 Meigle LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,24.05,6.02113E+13
602114 Saline LP,W:\Scotland Networks_471\North_471\602114 Saline LP\FY-1\602114 - Saline - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602114 Saline LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,26.18,6.02114E+13
602115 Dairsie LP,W:\Scotland Networks_471\North_471\602115 Dairsie LP\FY-1\602115 - Dairsie - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602115 Dairsie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,62.19,6.02115E+13
602116 Westmuir LP,W:\Scotland Networks_471\North_471\602116 Westmuir LP\FY1\602116 - WESTMUIR - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602116 Westmuir LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,36.25,6.02116E+13
602117 Ceres LP,W:\Scotland Networks_471\North_471\602117 Ceres LP\FY-1\602117 - Ceres - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602117 Ceres LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,47.85,6.02117E+13
602118 Star LP,W:\Scotland Networks_471\North_471\602118 Star LP\FY-1\602118 - Star - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602118 Star LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,34.63,6.02118E+13
602120 Longforgan LP,W:\Scotland Networks_471\North_471\602120 Longforgan LP\FY1\602120 - LONGFORGAN - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602120 Longforgan LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,24.56,6.0212E+13
602121 Balbeggie LP,W:\Scotland Networks_471\North_471\602121 Balbeggie LP\FY1\602121 - BALBEGGIE - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602121 Balbeggie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.39,6.02121E+13
