",model,name,name_out,loaded,balanced,feasible,solved,min_pressure,location"
" ,643044 Kirkcudbright LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643044 Kirkcudbright LP\FY-1\643044 - Kirkcudbright - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643044 Kirkcudbright LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.6406,64304400000284"
" ,643045 Livingston LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643045 Livingston LP\FY-1\643045-Livingston-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643045 Livingston LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.0128,64304500000823"
" ,643046 Loanhead LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643046 Loanhead LP\FY1\643046 Loanhead - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643046 Loanhead LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.878,64304600000085"
" ,643047 Lockerbie LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643047 Lockerbie LP\FY1\643047 - Lockerbie - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643047 Lockerbie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.6678,64304700011059"
" ,643048 Innerleithen-Walkerburn LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643048 Innerleithen-Walkerburn LP\FY1\643048 Innerleithen_Walkerburn_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643048 Innerleithen-Walkerburn LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.098,64304800000386"
" ,643049 Prestonpans-Cockenzie LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643049 Prestonpans-Cockenzie LP\FY1\643049_Prestonpans-Cockenzie_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643049 Prestonpans-Cockenzie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.3388,64304900000853"
" ,643050 Ratho LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643050 Ratho LP\FY-1\643050 - Ratho - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643050 Ratho LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,24.9487,64305000000021"
" ,643051 Stoneyburn-Addiewell LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643051 Stoneyburn-Addiewell LP\FY1\643051_ADDIEWELL_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643051 Stoneyburn-Addiewell LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.9938,64305100000151"
" ,643052 Coldstream LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643052 Coldstream LP\FY-1\643052_Coldstream_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643052 Coldstream LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,24.6454,64305200000277"
" ,643053 Duns LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643053 Duns LP\FY-1\643053 Duns - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643053 Duns LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.7779,64305300000088"
" ,643054 Lauder LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643054 Lauder LP\FY1\643054 Lauder FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643054 Lauder LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,25.4831,64305400000172"
" ,643055 East Linton LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643055 East Linton LP\FY1\643055_EAST_LINTON_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643055 East Linton LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.7591,64305500001002"
" ,643056 Ayton LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643056 Ayton LP\FY1\643056 - AYTON - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643056 Ayton LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.0723,64305600000104"
" ,643057 Kirkliston LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643057 Kirkliston LP\FY1\643057_KIRKLISTON_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643057 Kirkliston LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.6899,64305700000106"
" ,643058 Aberlady LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643058 Aberlady LP\FY1\643058 - Aberlady - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643058 Aberlady LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,24.2297,64305800000177"
" ,643059 Newtown - St Boswells LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643059 Newtown - St Boswells LP\FY1\643059NEWTOWNSTBOSWELL-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643059 Newtown - St Boswells LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.0722,64305900000218"
" ,643060 Newbridge LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643060 Newbridge LP\FY1\643060 - NEWBRIDGE - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643060 Newbridge LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.9896,64306000000241"
" ,643061 Longniddry LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643061 Longniddry LP\FY-1\643061 - Longniddry - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643061 Longniddry LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.1563,64306100000006"
" ,643063 Rosewell - Roslin LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643063 Rosewell - Roslin LP\FY-1\643063 - Rosewell_Roslin - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643063 Rosewell - Roslin LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.6287,64306300000213"
" ,643064 East - Mid Calder,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643064 East - Mid Calder\FY-1\643064_Mid East Calder_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643064 East - Mid Calder_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.5362,64306400000356"
