"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"60606500000035","Nodes","35","21.000000","57.902044","DDS demands","Known Flow","405098.002387","856607.093300","","0.000000","","","-7.230000","","","","-6.465195","-7.230000","","","","","D1 PROFILE","","",""
"60606500000036","Nodes","36","21.000000","57.795005","DDS demands","Known Flow","405098.507588","856660.530657","","0.000000","","","-4.300000","","","","-3.845137","-4.300000","","","","","D1 PROFILE","","",""
"60606500000037","Nodes","37","21.000000","57.961354","DDS demands","Known Flow","405045.281372","856627.720306","","0.000000","","","-13.760000","","","","-12.304439","-13.760000","","","","","D1 PROFILE","","",""
"60606500000038","Nodes","38","21.000000","57.927396","Default Known Flow Node","Known Flow","405029.667368","856644.055310","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500000040","Nodes","40","21.000000","57.858215","DDS demands","Known Flow","404984.901356","856656.108313","","0.000000","","","-4.810000","","","","-4.301188","-4.810000","","","","","D1 PROFILE","","",""
"60606500000039","Nodes","39","21.000000","57.968714","Default Known Flow Node","Known Flow","405019.758365","856615.209302","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500000020","Nodes","20","21.000000","60.230730","DDS demands","Known Flow","405006.539335","856775.930662","","0.000000","","","-5.859999","","","","-5.240117","-5.859999","","","","","D1 PROFILE","","",""
"60606500000021","Nodes","21","21.000000","59.324601","DDS demands","Known Flow","404933.598342","856914.913384","","0.000000","","","-9.029999","","","","-8.074787","-9.029999","","","","","D1 PROFILE","","",""
"60606500000002","Nodes","2","21.000000","66.512325","DDS demands","Known Flow","405127.388395","856841.746364","","0.000000","","","-14.219999","","","","-12.715778","-14.219999","","","","","D1 PROFILE","","",""
"60606500000004","Nodes","4","21.000000","67.527732","DDS demands","Known Flow","405079.394382","856879.827374","","0.000000","","","-0.930000","","","","-0.831622","-0.930000","","","","","D1 PROFILE","","",""
"60606500000007","Nodes","7","21.000000","49.566789","DDS demands","Known Flow","405255.466430","856872.368372","","0.000000","","","-14.539999","","","","-13.001927","-14.539999","","","","","D1 PROFILE","","",""
"60606500000010","Nodes","10","21.000000","48.510402","Default Known Flow Node","Known Flow","405485.813492","856713.039329","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500075951","Nodes","75951","21.000000","49.904027","Default Known Flow Node","Known Flow","405401.269873","856748.203684","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500001000","Nodes","P00075951, Logie Avenue East, 34.00scmh","24.000000","49.812646","CSEP DDS Matched","Known Flow","405403.820856","856747.142650","","0.000000","","","-1.779999","-33.999998","","","-31.995115","-35.779999","","","","","D1 PROFILE","DC PROFILE","",""
"60606500000245","Nodes","245","21.000000","60.498034","DDS demands","Known Flow","405036.585329","856767.231983","","0.000000","","","-3.869999","","","","-3.460623","-3.869999","","","","","D1 PROFILE","","",""
"60606500000213","Nodes","213","21.000000","62.240700","Default Known Flow Node","Known Flow","405067.278378","856757.144341","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500000243","Nodes","243","21.000000","50.640614","Default Known Flow Node","Known Flow","405362.607459","856847.683366","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500000246","Nodes","246","21.000000","59.642971","DDS demands","Known Flow","405031.981369","856748.119338","","0.000000","","-34.060001","","","","","-30.457062","-34.060001","","","","C2 PROFILE","","","",""
"60606500000211","Nodes","211","21.000000","56.114012","DDS demands","Known Flow","405292.550440","856776.485346","","0.000000","","","-0.959999","","","","-0.858449","-0.959999","","","","","D1 PROFILE","","",""
"60606500000005","Nodes","5","21.000000","69.772237","Default Known Flow Node","Known Flow","405137.761398","856872.125372","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500000285","Nodes","285,","21.000000","55.797508","DDS demands","Known Flow","405218.458884","856625.821773","","0.000000","","","-2.700000","","","","-2.414388","-2.700000","","","","","D1 PROFILE","","",""
"60606500000291","Nodes","291","21.000000","57.110462","Default Known Flow Node","Known Flow","404970.264400","856561.324991","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500000290","Nodes","290","21.000000","56.880431","Default Known Flow Node","Known Flow","405051.995883","856559.323914","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500000288","Nodes","288","21.000000","52.909444","Default Known Flow Node","Known Flow","405296.392942","856572.953476","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500011757","Nodes","11757","21.000000","56.614076","Default Known Flow Node","Known Flow","404850.002166","856554.778868","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500008002","Nodes","8002","21.000000","60.892029","Default Known Flow Node","Known Flow","405066.533378","856754.854340","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
