"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60604500000196","Nodes","","21.000000","47.858796","Default Known Flow Node","Known Flow","413228.576599","842631.331497","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000197","Nodes","","21.000000","45.024010","DDS demands","Known Flow","413330.308847","842556.646621","","0.000000","","","","-3.640000","","","","-3.254953","-3.640000","","","","","","D1 PROFILE","","",""
"60604500000201","Nodes","","21.000000","49.809798","DDS demands","Known Flow","413121.004570","842525.532468","","0.000000","","-11.209999","","","","","","-10.024182","-11.209999","","","","C3 PROFILE","","","","",""
"60604500000170","Nodes","","21.000000","45.051318","Default Known Flow Node","Known Flow","413400.387646","842286.167403","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000143","Nodes","","21.000000","45.248352","Default Known Flow Node","Known Flow","413088.810561","842036.116335","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000191","Nodes","","21.000000","46.021811","Default Known Flow Node","Known Flow","412931.079518","842605.615490","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000188","Nodes","","21.000000","46.293756","Default Known Flow Node","Known Flow","412983.440532","842600.449489","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000204","Nodes","","21.000000","46.195351","Default Known Flow Node","Known Flow","413346.511631","842605.491490","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000180","Nodes","","21.000000","46.842917","DDS demands","Known Flow","413294.760617","842686.165512","","0.000000","","","","-1.240000","","","","-1.108830","-1.240000","","","","","","D1 PROFILE","","",""
"60604500000193","Nodes","","21.000000","45.409625","Default Known Flow Node","Known Flow","413117.172569","842570.066480","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000190","Nodes","","21.000000","47.169708","DDS demands","Known Flow","413256.279607","842719.259521","","0.000000","","","","-1.599999","","","","-1.430748","-1.599999","","","","","","D1 PROFILE","","",""
"60604500000198","Nodes","","21.000000","45.141096","DDS demands","Known Flow","413314.035622","842544.681474","","0.000000","","","","-2.599999","","","","-2.324966","-2.599999","","","","","","D1 PROFILE","","",""
"606045-000003","Nodes","MAXIMO, 812120","21.000000","41.338754","Point Loads","Known Flow","413202.358839","842678.979855","","0.000000","","","","","","","-11.079999","-9.907934","-11.079999","","","","","","","","","PL-AF PROFILE"
