"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"60206300000183","Nodes","183","21.000000","24.134483","DDS demands","Known Flow","312916.214794","717577.456936","","0.000000","","","","","","","-2.689999","","","-2.405446","-2.689999","","","","","","","","","D1 PROFILE","",""
"60206300000141","Nodes","141","21.000000","24.410533","DDS demands","Known Flow","312860.217190","717681.540665","","0.000000","","","","","","","-3.240000","","","-2.897266","-3.240000","","","","","","","","","D1 PROFILE","",""
"60206300000143","Nodes","143","21.000000","23.192765","Default Known Flow Node","Known Flow","312651.406138","717505.824996","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002341","Nodes","-1462478","21.000000","24.359126","Default Known Flow Node","Known Flow","312868.870290","717656.225490","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000040","Nodes","40","21.000000","23.068569","DDS demands","Known Flow","312578.566211","717557.713464","","0.000000","","-155.050004","","","","","","","","-138.648486","-155.050004","","","","C2 PROFILE","","","","","","",""
"60206300002383","Nodes","-53","21.000000","24.443490","Default Known Flow Node","Known Flow","312901.001299","717628.116483","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000039","Nodes","39","21.000000","24.568230","DDS demands","Known Flow","312023.325350","717974.305528","","0.000000","","","","","","","-2.819999","","","-2.521694","-2.819999","","","","","","","","","D1 PROFILE","",""
"60206300002389","Nodes","-72","21.000000","24.418240","Default Known Flow Node","Known Flow","312859.024532","717683.250904","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000045","Nodes","45","21.000000","24.013523","DDS demands","Known Flow","313217.682752","717524.802423","","0.000000","","","","","","","-19.979999","","","-17.866473","-19.979999","","","","","","","","","D1 PROFILE","",""
"60206300000161","Nodes","161","21.000000","24.719205","DDS demands","Known Flow","313348.005944","717534.387491","","0.000000","","","","","","","-7.170000","","","-6.411542","-7.170000","","","","","","","","","D1 PROFILE","",""
"60206300002351","Nodes","-1462510","21.000000","29.826238","Default Known Flow Node","Known Flow","313164.767371","717638.352485","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000150","Nodes","150","21.000000","29.826238","DDS demands","Known Flow","313192.751378","717678.334496","","0.000000","","","","","","","-7.860000","","","-7.028552","-7.860000","","","","","","","","","D1 PROFILE","",""
"60206300002384","Nodes","-57","21.000000","27.094333","Default Known Flow Node","Known Flow","313439.561339","717646.514245","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002393","Nodes","-76","21.000000","26.775509","DDS demands","Known Flow","313466.621453","717721.094508","","0.000000","","","","","","","-6.840000","","","-6.116450","-6.840000","","","","","","","","","D1 PROFILE","",""
"60206300002400","Nodes","-95","21.000000","32.392962","Default Known Flow Node","Known Flow","313301.921408","717960.614573","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000130","Nodes","130","21.000000","24.506192","DDS demands","Known Flow","313341.713079","717607.853991","","0.000000","","","","","","","-13.120000","","","-11.732139","-13.120000","","","","","","","","","D1 PROFILE","",""
"60206300000160","Nodes","160","21.000000","24.410862","DDS demands","Known Flow","313270.620399","717531.726456","","0.000000","","","","","","","-7.620000","","","-6.813940","-7.620000","","","","","","","","","D1 PROFILE","",""
"60206300000159","Nodes","159","21.000000","24.209452","DDS demands","Known Flow","313262.389397","717603.174476","","0.000000","","","","","","","-14.040000","","","-12.554819","-14.040000","","","","","","","","","D1 PROFILE","",""
"60206300000162","Nodes","162","21.000000","24.395243","DDS demands","Known Flow","313334.858417","717677.488496","","0.000000","","","","","","","-8.920000","","","-7.976423","-8.920000","","","","","","","","","D1 PROFILE","",""
"60206300002379","Nodes","-49","21.000000","24.189059","Default Known Flow Node","Known Flow","313261.939397","717612.468478","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002358","Nodes","-1462535","21.000000","24.209452","Default Known Flow Node","Known Flow","313233.180389","717600.450475","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002360","Nodes","-1462538","21.000000","24.395243","Default Known Flow Node","Known Flow","313292.997406","717681.361497","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000046","Nodes","46","21.000000","23.232458","DDS demands","Known Flow","313058.209342","717514.048452","","0.000000","","","","","","","-11.340000","","","-10.140432","-11.340000","","","","","","","","","D1 PROFILE","",""
"60206300002378","Nodes","-47","21.000000","23.955175","Default Known Flow Node","Known Flow","313210.652955","717605.521203","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000128","Nodes","128","21.000000","23.954795","DDS demands","Known Flow","313204.075381","717605.186476","","0.000000","","","","","","","-8.739999","","","-7.815464","-8.739999","","","","","","","","","D1 PROFILE","",""
"60206300000157","Nodes","157","21.000000","23.837816","DDS demands","Known Flow","313093.427496","717590.525991","","0.000000","","","","","","","-7.560000","","","-6.760287","-7.560000","","","","","","","","","D1 PROFILE","",""
"60206300000149","Nodes","149","21.000000","29.906575","DDS demands","Known Flow","313237.460150","717755.490924","","0.000000","","","","","","","-5.480000","","","-4.900314","-5.480000","","","","","","","","","D1 PROFILE","",""
"60206300000153","Nodes","153","21.000000","29.843975","DDS demands","Known Flow","313231.797389","717829.671538","","0.000000","","","","","","","-4.659999","","","-4.167055","-4.659999","","","","","","","","","D1 PROFILE","",""
