"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"60604900000016","Nodes","16","21.000000","66.834024","DDS demands","Known Flow","326650.625000","842734.750000","","0.000000","","","","","-24.959998","","","","","-22.319676","-24.959998","","","","","","","","D1 PROFILE","","","","",""
"60604900000018","Nodes","18","21.000000","65.508626","DDS demands","Known Flow","326620.625000","842613.625000","","0.000000","","","","","-14.270000","","","","","-12.760490","-14.270000","","","","","","","","D1 PROFILE","","","","",""
"60604900000015","Nodes","15","21.000000","68.270615","DDS demands","Known Flow","326675.375000","842805.875000","","0.000000","-3.839999","-39.999997","","","-7.790000","","","","","-46.168467","-51.630000","","","","C1 PROFILE","C2 PROFILE","","","D1 PROFILE","","","","",""
"606049-22","Nodes","-22","21.000000","69.471562","Default Known Flow Node","Known Flow","326643.625000","842849.125000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000017","Nodes","17","21.000000","64.958215","Default Known Flow Node","Known Flow","326749.500000","842594.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000021","Nodes","21","21.000000","64.252392","DDS demands","Known Flow","326826.500000","842632.500000","","0.000000","","","","","-2.609999","","","","","-2.333908","-2.609999","","","","","","","","D1 PROFILE","","","","",""
"60604900000020","Nodes","20","21.000000","65.030565","DDS demands","Known Flow","326728.125000","842526.250000","","0.000000","","","","","-9.890000","","","","","-8.843815","-9.890000","","","","","","","","D1 PROFILE","","","","",""
"60604900000022","Nodes","22","21.000000","64.262966","DDS demands","Known Flow","326724.875000","842463.750000","","0.000000","","","","","-11.310000","","","","","-10.113604","-11.310000","","","","","","","","D1 PROFILE","","","","",""
"606049-1462479","Nodes","-1462479","21.000000","69.389527","Default Known Flow Node","Known Flow","326614.250000","842844.125000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000024","Nodes","24","21.000000","60.363951","DDS demands","Known Flow","327207.000000","842818.250000","","0.000000","","","","","-15.010000","","","","","-13.422211","-15.010000","","","","","","","","D1 PROFILE","","","","",""
"60604900000025","Nodes","25","21.000000","60.195695","Default Known Flow Node","Known Flow","327246.000000","842904.500000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606049-1462470","Nodes","-1462470","21.000000","60.532300","Default Known Flow Node","Known Flow","327259.000000","842820.250000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606049-33","Nodes","-33","21.000000","68.741016","Default Known Flow Node","Known Flow","327038.625000","842979.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000045","Nodes","45","21.000000","67.846402","DDS demands","Known Flow","327053.750000","842947.625000","","0.000000","","","","","-27.330000","","","","","-24.438976","-27.330000","","","","","","","","D1 PROFILE","","","","",""
"606049-1462488","Nodes","-1462488","21.000000","68.741016","Default Known Flow Node","Known Flow","327068.625000","842995.375000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000005","Nodes","5, P09120336, 92&92A HIGH STREET, LOAD INCREASE(-25.48)","24.000000","71.322590","CSEP DDS Matched","Known Flow","326697.625000","842992.125000","","0.000000","","","","","","-25.480000","","","","-22.784672","-25.480000","","","","","","","","","DC PROFILE","","","",""
"60604900000003","Nodes","3","21.000000","71.786193","DDS demands","Known Flow","326789.625000","843071.375000","","0.000000","","","","","-14.959999","","","","","-13.377499","-14.959999","","","","","","","","D1 PROFILE","","","","",""
"60604900000013","Nodes","13","21.000000","69.079606","DDS demands","Known Flow","326946.500000","843016.875000","","0.000000","","","-2.450000","","-3.039999","","","","","-4.909256","-5.489999","","","","","","C3 PROFILE","","D1 PROFILE","","","","",""
"60604900000041","Nodes","41","21.000000","72.149901","DDS demands","Known Flow","326883.875000","843154.000000","","0.000000","-22.659999","","-0.850000","","-22.709999","","","","","-41.330751","-46.220000","","","","C1 PROFILE","","C3 PROFILE","","D1 PROFILE","","","","",""
"60604900000042","Nodes","42","21.000000","72.183484","DDS demands","Known Flow","326925.500000","843106.625000","","0.000000","","","","","-6.280000","","","","","-5.615688","-6.280000","","","","","","","","D1 PROFILE","","","","",""
"60604900000004","Nodes","4","21.000000","71.514779","DDS demands","Known Flow","326749.875000","843112.875000","","0.000000","","","","","-5.509999","","","","","-4.927140","-5.509999","","","","","","","","D1 PROFILE","","","","",""
"606049-1462484","Nodes","-1462484","21.000000","69.530938","Default Known Flow Node","Known Flow","327078.625000","842989.000000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606049-36","Nodes","-36","21.000000","69.448820","Default Known Flow Node","Known Flow","327062.625000","843022.750000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000043","Nodes","43","21.000000","71.786062","DDS demands","Known Flow","327005.125000","843077.750000","","0.000000","","","","","-1.230000","","","","","-1.099888","-1.230000","","","","","","","","D1 PROFILE","","","","",""
"60604900000002","Nodes","2","21.000000","74.519264","DDS demands","Known Flow","327262.625000","843418.750000","","0.000000","-3.299999","","-4.099999","","-2.689999","","","","","-9.022658","-10.089999","","","","C1 PROFILE","","C3 PROFILE","","D1 PROFILE","","","","",""
"60604900000001","Nodes","1, ""ABERLOUR DG""","21.000000","74.999996","Default Known Pressure Node","Known Pressure","327292.375000","843494.375000","","999998.967025","","","","","","","","","","495.512903","554.130003","","","","","","","","","","","","",""
"60604900000044","Nodes","44","21.000000","71.816021","DDS demands","Known Flow","327064.875000","843086.625000","","0.000000","","","","","-4.920000","","","","","-4.399552","-4.920000","","","","","","","","D1 PROFILE","","","","",""
"606049-35","Nodes","-35","21.000000","69.448820","Default Known Flow Node","Known Flow","327027.625000","843001.500000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606049-1462474","Nodes","-1462474","21.000000","69.325688","Default Known Flow Node","Known Flow","327071.375000","843028.125000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606049-2","Nodes","-2","21.000000","43.415230","Default Known Flow Node","Known Flow","325913.875000","842263.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606049-1462475","Nodes","-1462475","21.000000","43.415230","Default Known Flow Node","Known Flow","325898.000000","842244.250000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000027","Nodes","27","21.000000","65.154864","DDS demands","Known Flow","326572.625000","842420.625000","","0.000000","","","","","-6.239999","","","","","-5.579919","-6.239999","","","","","","","","D1 PROFILE","","","","",""
"606049-8","Nodes","-8","21.000000","65.815222","Default Known Flow Node","Known Flow","326579.875000","842365.875000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000030","Nodes","30","21.000000","65.370223","Point Loads","Known Flow","326683.250000","842398.875000","","0.000000","","","","","-5.509999","","","-3.499999","","-8.056903","-9.009999","","","","","","","","D1 PROFILE","","","PL-AF PROFILE","",""
"60604900000028","Nodes","28","21.000000","65.799877","DDS demands","Known Flow","326619.625000","842358.375000","","0.000000","","","","","-2.869999","","","","","-2.566405","-2.869999","","","","","","","","D1 PROFILE","","","","",""
"60604900000029","Nodes","29","21.000000","65.924554","Default Known Flow Node","Known Flow","326618.125000","842296.125000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606049-1462471","Nodes","-1462471","21.000000","65.924554","Default Known Flow Node","Known Flow","326607.500000","842284.750000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606049-1462472","Nodes","-1462472","21.000000","65.799877","Default Known Flow Node","Known Flow","326652.000000","842381.875000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000026","Nodes","26","21.000000","65.575053","Default Known Flow Node","Known Flow","326773.625000","842684.125000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000047","Nodes","47","21.000000","44.277206","Default Known Flow Node","Known Flow","325972.125000","842330.250000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000049","Nodes","49","21.000000","43.403563","DDS demands","Known Flow","325960.937500","842298.062500","","0.000000","","","","","-0.810000","","","","","-0.724316","-0.810000","","","","","","","","D1 PROFILE","","","","",""
"60604900000040","Nodes","40","21.000000","43.241941","DDS demands","Known Flow","325942.375000","842281.750000","","0.000000","","","","","-7.430000","","","","","-6.644039","-7.430000","","","","","","","","D1 PROFILE","","","","",""
"606049-6","Nodes","-6","21.000000","44.414548","Default Known Flow Node","Known Flow","325964.250000","842338.250000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606049-9","Nodes","-9","21.000000","45.058358","Default Known Flow Node","Known Flow","326038.125000","842380.875000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000010","Nodes","10","21.000000","65.071509","DDS demands","Known Flow","326477.125000","842908.875000","","0.000000","","","-4.210000","","-8.879999","","","","","-11.705312","-13.090000","","","","","","C3 PROFILE","","D1 PROFILE","","","","",""
"606049-30","Nodes","-30","21.000000","65.327680","Default Known Flow Node","Known Flow","326495.000000","842942.375000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000046","Nodes","46","21.000000","44.277206","Default Known Flow Node","Known Flow","325974.125000","842329.375000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606049-29","Nodes","-29","21.000000","67.846402","Default Known Flow Node","Known Flow","327061.375000","842935.500000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606049-27","Nodes","-27","21.000000","68.134920","Default Known Flow Node","Known Flow","327047.750000","842907.375000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000031","Nodes","31","21.000000","52.315435","DDS demands","Known Flow","326279.375000","842608.500000","","0.000000","","","-5.150000","-19.629998","-0.939999","","","","","-22.999284","-25.719998","","","","","","C3 PROFILE","C4 PROFILE","D1 PROFILE","","","","",""
"60604900000048","Nodes","48","21.000000","43.349411","DDS demands","Known Flow","325971.125000","842261.750000","","0.000000","","","","","-6.749999","","","","","-6.035970","-6.749999","","","","","","","","D1 PROFILE","","","","",""
"60604900000011","Nodes","11","21.000000","45.630927","DDS demands","Known Flow","326075.500000","842386.375000","","0.000000","","","","","-7.010000","","","","","-6.268468","-7.010000","","","","","","","","D1 PROFILE","","","","",""
"60604900000051","Nodes","51","21.000000","68.465003","Default Known Flow Node","Known Flow","327101.625000","842916.750000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606049-32","Nodes","-32","21.000000","70.595611","Default Known Flow Node","Known Flow","326660.687500","842960.750000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000050","Nodes","50, ""331076"", ""HIGH STREET , ABERLOUR"", 18.60","21.000000","70.586471","DDS demands","Known Flow","326659.781250","842961.875000","","0.000000","-4.050000","","","","-7.459999","","","","","-10.292447","-11.510000","","","","C1 PROFILE","","","","D1 PROFILE","","","","",""
"60604900000060","Nodes","60, Infill","21.000000","43.376732","DDS demands","Known Flow","325969.236188","842313.176004","","0.000000","","","","","","","","-35.630000","","-31.860983","-35.630000","","","","","","","","","","","PL-AF PROFILE","",""
"60604900000469","Nodes","","21.000000","67.960900","Point Loads","Known Flow","327051.524598","842951.581268","","0.000000","","","","","","","","","-150.000000","0.000000","0.000000","","","","","","","","","","","","PL-PL PROFILE",""
