"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"60207700000228","Nodes","-311851","21.000000","26.543292","Default Known Flow Node","Known Flow","320165.000000","737556.875000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000065","Nodes","65","21.000000","25.368517","DDS demands","Known Flow","320228.750000","737633.625000","","0.000000","","","","","","-4.730000","","","-4.229650","-4.730000","","","","","","","","D1 PROFILE","",""
"60207700000030","Nodes","30","21.000000","25.364333","DDS demands","Known Flow","320261.750000","737674.250000","","0.000000","","","","","","-6.020000","","","-5.383191","-6.020000","","","","","","","","D1 PROFILE","",""
"60207700000066","Nodes","66","21.000000","25.246918","DDS demands","Known Flow","320130.500000","737635.125000","","0.000000","-2.840000","","","","","","","","-2.539578","-2.840000","","","C1 PROFILE","","","","","","",""
"60207700000050","Nodes","50","21.000000","24.424127","DDS demands","Known Flow","320373.000000","737862.125000","","0.000000","","","","","","-5.090000","","","-4.551569","-5.090000","","","","","","","","D1 PROFILE","",""
"60207700000235","Nodes","-311858","21.000000","23.535358","Default Known Flow Node","Known Flow","320339.375000","737767.250000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000238","Nodes","-311861","21.000000","25.044268","Default Known Flow Node","Known Flow","320424.250000","737858.500000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000053","Nodes","53","21.000000","25.463487","DDS demands","Known Flow","320437.250000","737814.875000","","0.000000","","","","","","-5.500000","","","-4.918198","-5.500000","","","","","","","","D1 PROFILE","",""
"60207700000227","Nodes","-311850","21.000000","25.229528","Default Known Flow Node","Known Flow","320126.125000","737684.125000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000055","Nodes","55","21.000000","23.404884","DDS demands","Known Flow","320337.125000","737752.375000","","0.000000","","","","","","-12.430000","","","-11.115128","-12.430000","","","","","","","","D1 PROFILE","",""
"60207700000236","Nodes","-311859","21.000000","23.535358","Default Known Flow Node","Known Flow","320347.750000","737770.125000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000237","Nodes","-311860","21.000000","25.044268","Default Known Flow Node","Known Flow","320423.375000","737851.250000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000049","Nodes","49","21.000000","26.309355","DDS demands","Known Flow","320502.625000","737853.000000","","0.000000","","","","-6.000000","","-13.650000","","","-17.571382","-19.650000","","","","","","C4 PROFILE","","D1 PROFILE","",""
"60207700000047","Nodes","47","21.000000","26.309355","Default Known Flow Node","Known Flow","320509.375000","737865.125000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000200","Nodes","-200077","21.000000","27.874295","Default Known Flow Node","Known Flow","320224.181162","737362.493456","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000223","Nodes","-311846","21.000000","25.340709","Default Known Flow Node","Known Flow","320053.384385","737188.511984","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000001","Nodes","BURRELTON DG, Tel, Site ID 1626","21.000000","28.000000","Default Known Pressure Node","Known Pressure","320221.680333","737364.288923","","999998.967025","","","","","","","","","322.723206","360.900009","","","","","","","","","",""
"60207700002001","Nodes","P00090954, High Street, -10.33","24.000000","25.997388","CSEP DDS Matched","Known Flow","320089.333828","737232.053337","","0.000000","","","","","","","-10.329999","","-9.237270","-10.329999","","","","","","","","","DC PROFILE",""
"60207700000005","Nodes","","21.000000","25.713406","Default Known Flow Node","Known Flow","320040.932688","737185.717436","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000004","Nodes","","21.000000","25.758967","Default Known Flow Node","Known Flow","320039.786344","737184.864343","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700100052","Nodes","52","21.000000","25.515246","Default Known Flow Node","Known Flow","320464.750000","737855.875000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000377","Nodes","","21.000000","27.621339","Default Known Flow Node","Known Flow","320219.826476","737340.767269","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
