"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"60602400000075","Nodes","75","21.000000","44.124464","DDS demands","Known Flow","365603.250000","865174.125000","","0.000000","","","-7.199999","","","","","-6.438368","-7.199999","","","","","D1 PROFILE","","","",""
"60602400000074","Nodes","74","21.000000","44.362472","DDS demands","Known Flow","365712.125000","865164.750000","","0.000000","","","-9.000000","","","","","-8.047961","-9.000000","","","","","D1 PROFILE","","","",""
"60602400000029","Nodes","29","21.000000","39.232768","DDS demands","Known Flow","365515.250000","865420.750000","","0.000000","","","-9.370000","","","","","-8.378822","-9.370000","","","","","D1 PROFILE","","","",""
"60602400000023","Nodes","23","21.000000","40.405737","DDS demands","Known Flow","365579.250000","865383.875000","","0.000000","","","-4.739999","","","","","-4.238592","-4.739999","","","","","D1 PROFILE","","","",""
"60602400001026","Nodes","-122263","21.000000","44.450191","Default Known Flow Node","Known Flow","365752.000000","865164.750000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000024","Nodes","24","21.000000","40.643103","DDS demands","Known Flow","365584.875000","865243.000000","","0.000000","","","-9.109999","","","","","-8.146324","-9.109999","","","","","D1 PROFILE","","","",""
"60602400000025","Nodes","25","21.000000","40.721810","DDS demands","Known Flow","365586.250000","865208.500000","","0.000000","","","-3.980000","","","","","-3.558987","-3.980000","","","","","D1 PROFILE","","","",""
"60602400000026","Nodes","26","21.000000","40.462359","DDS demands","Known Flow","365691.375000","865234.875000","","0.000000","","","-9.460000","","","","","-8.459301","-9.460000","","","","","D1 PROFILE","","","",""
"60602400000059","Nodes","59","21.000000","40.761447","DDS demands","Known Flow","365583.375000","865265.500000","","0.000000","","","-4.990000","","","","","-4.462147","-4.990000","","","","","D1 PROFILE","","","",""
"60602400000027","Nodes","27","21.000000","40.350647","DDS demands","Known Flow","365741.875000","865230.500000","","0.000000","","","-4.539999","","","","","-4.059749","-4.539999","","","","","D1 PROFILE","","","",""
"60602400000022","Nodes","22","21.000000","40.910095","DDS demands","Known Flow","365603.375000","865367.000000","","0.000000","","-1.760000","-15.850000","","","","","-15.747177","-17.610000","","","","C4 PROFILE","D1 PROFILE","","","",""
"60602400000021","Nodes","21","21.000000","44.578242","DDS demands","Known Flow","365776.125000","865298.250000","","0.000000","","","-29.360000","","","","","-26.254237","-29.360000","","","","","D1 PROFILE","","","",""
"60602400000028","Nodes","28","21.000000","40.335458","DDS demands","Known Flow","365622.375000","865402.750000","","0.000000","","","-4.689999","","","","","-4.193881","-4.689999","","","","","D1 PROFILE","","","",""
"60602400000030","Nodes","30","21.000000","39.030806","DDS demands","Known Flow","365515.125000","865332.500000","","0.000000","-2.669999","","-11.949999","","","","","-13.073465","-14.619999","","","C1 PROFILE","","D1 PROFILE","","","",""
"60602400000031","Nodes","31","21.000000","39.090066","DDS demands","Known Flow","365515.875000","865272.500000","","0.000000","","","-9.970000","","","","","-8.915352","-9.970000","","","","","D1 PROFILE","","","",""
"60602400000032","Nodes","32","21.000000","39.247694","DDS demands","Known Flow","365536.500000","865126.000000","","0.000000","","","-1.120000","","","","","-1.001524","-1.120000","","","","","D1 PROFILE","","","",""
"60602400000076","Nodes","76","21.000000","37.579884","DDS demands","Known Flow","365165.625000","865506.875000","","0.000000","","","-2.460000","","","","","-2.199776","-2.460000","","","","","D1 PROFILE","","","",""
"60602400000052","Nodes","52","21.000000","35.243217","DDS demands","Known Flow","365549.250000","865615.125000","","0.000000","","","-4.909999","","","","","-4.390609","-4.909999","","","","","D1 PROFILE","","","",""
"60602400000053","Nodes","53","21.000000","35.244339","DDS demands","Known Flow","365616.375000","865669.500000","","0.000000","-2.640000","","","","","","","-2.360735","-2.640000","","","C1 PROFILE","","","","","",""
"60602400000101","Nodes","101","21.000000","35.262668","DDS demands","Known Flow","365536.125000","865585.625000","","0.000000","-6.000000","","-9.630000","","","","","-13.976626","-15.630000","","","C1 PROFILE","","D1 PROFILE","","","",""
"60602400001040","Nodes","-2978584","21.000000","35.262668","Default Known Flow Node","Known Flow","365511.500000","865570.625000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000051","Nodes","51","21.000000","35.624740","DDS demands","Known Flow","365518.000000","865509.000000","","0.000000","-8.600000","","-28.669999","","","","","-33.327500","-37.270000","","","C1 PROFILE","","D1 PROFILE","","","",""
"60602400001023","Nodes","-122260","21.000000","35.506474","Default Known Flow Node","Known Flow","365532.000000","865510.875000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000054","Nodes","54","21.000000","34.478089","DDS demands","Known Flow","365622.460675","865536.853524","","0.000000","","","-24.479999","","","","","-21.890453","-24.479999","","","","","D1 PROFILE","","","",""
"60602400000055","Nodes","55","21.000000","34.606777","Default Known Flow Node","Known Flow","365637.125000","865470.375000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000056","Nodes","56","21.000000","34.444248","DDS demands","Known Flow","365716.666897","865562.154381","","0.000000","","","-8.140000","","","","","-7.278933","-8.140000","","","","","D1 PROFILE","","","",""
"60602400000073","Nodes","73","21.000000","34.412317","DDS demands","Known Flow","365702.299205","865615.674032","","0.000000","","","-15.949999","","","","","-14.262775","-15.949999","","","","","D1 PROFILE","","","",""
"60602400001025","Nodes","-122262","21.000000","34.412317","Default Known Flow Node","Known Flow","365701.760417","865617.110801","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400001027","Nodes","-122264","21.000000","34.412317","Default Known Flow Node","Known Flow","365837.535102","865651.772857","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400001022","Nodes","-122259","21.000000","35.781052","Default Known Flow Node","Known Flow","365515.125000","865508.750000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400001024","Nodes","-122261","21.000000","35.506474","Default Known Flow Node","Known Flow","365534.250000","865500.750000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400001020","Nodes","1020","21.000000","35.121512","Default Known Flow Node","Known Flow","365852.441582","865598.791995","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000058","Nodes","P08118257, KNOCK STREET, 65.00","22.999998","35.057209","CSEP DDS Matched","Known Flow","365866.809274","865602.563514","","0.000000","","","-9.000000","-65.769998","","","","-66.860672","-74.769998","","","","","D1 PROFILE","DC PROFILE","","",""
"60602400001038","Nodes","P10124255, Banks Links, 13.75","22.999998","38.253558","CSEP Unmatched","Known Flow","367017.514547","864435.140972","","0.000000","","","","","","","-13.749999","-12.295496","-13.749999","","","","","","","","","DC PROFILE"
"60602400000001","Nodes","WHITEHILLS DG, Tel, Site ID 1012","21.000000","49.999998","Default Known Pressure Node","Known Pressure","366377.625000","864595.875000","","999998.967025","","","","","","","","482.510967","539.589988","","","","","","","","",""
"60602400001043","Nodes","-976584","21.000000","49.999998","Default Known Flow Node","Known Flow","366381.250000","864586.250000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400001039","Nodes","-2978139","21.000000","49.106642","Default Known Flow Node","Known Flow","366338.125000","864761.125000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400001036","Nodes","-2978136","21.000000","49.999998","Default Known Flow Node","Known Flow","366382.125000","864576.875000","","0.000000","","","-1.019999","","","","","-0.912102","-1.019999","","","","","D1 PROFILE","","","",""
"60602400001031","Nodes","-1573917","21.000000","44.124464","Default Known Flow Node","Known Flow","365589.375000","865144.750000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400001030","Nodes","-1573916","21.000000","44.124464","Default Known Flow Node","Known Flow","365589.250000","865146.375000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000072","Nodes","72","21.000000","44.882294","Default Known Flow Node","Known Flow","365838.625000","865277.000000","","0.000000","","","","","-7.920000","","","-7.082205","-7.920000","","","","","","","DH PROFILE","",""
"60602400001021","Nodes","-105","21.000000","44.966562","Default Known Flow Node","Known Flow","365877.125000","865392.125000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400001029","Nodes","-1573915","21.000000","44.124464","Default Known Flow Node","Known Flow","365588.375000","865173.750000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400001028","Nodes","-1573914","21.000000","44.039983","Default Known Flow Node","Known Flow","365588.125000","865178.500000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400001032","Nodes","-1573918","21.000000","44.124464","Default Known Flow Node","Known Flow","365590.250000","865146.500000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400001033","Nodes","-1604567","21.000000","35.869943","Default Known Flow Node","Known Flow","365515.375000","865502.125000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400001034","Nodes","-1604568","21.000000","34.491876","Default Known Flow Node","Known Flow","365726.724281","865564.848323","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000057","Nodes","57","21.000000","34.558485","DDS demands","Known Flow","365777.370394","865578.677226","","0.000000","","","-6.320000","","","","","-5.651457","-6.320000","","","","","D1 PROFILE","","","",""
"60602400001041","Nodes","-2978589","21.000000","34.900917","Default Known Flow Node","Known Flow","365819.755084","865590.171380","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400001035","Nodes","-1604569","21.000000","35.877032","DDS demands","Known Flow","365726.405966","865562.907394","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000004","Nodes","","21.000000","42.637358","Default Known Flow Node","Known Flow","365688.120330","865336.662180","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000002","Nodes","","21.000000","34.596535","Default Known Flow Node","Known Flow","365636.566455","865475.774265","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000003","Nodes","","21.000000","34.596535","Default Known Flow Node","Known Flow","365646.286987","865432.749426","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000005","Nodes","","21.000000","42.299348","Default Known Flow Node","Known Flow","365693.944744","865289.363288","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000013","Nodes","-2978138","21.000000","49.148548","Default Known Flow Node","Known Flow","366323.250000","864753.375000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000008","Nodes","Boyndie Bridge, Banff Links RRI,","21.000000","39.999976","Default Known Pressure Node","Known Pressure","366835.977506","864415.028806","","0.000000","","","","","","","","12.295496","13.749999","","","","","","","","",""
"60602400000010","Nodes","","21.000000","39.126793","Default Known Flow Node","Known Flow","366948.472827","864396.585672","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000012","Nodes","","21.000000","38.737997","Default Known Flow Node","Known Flow","366984.323205","864402.389390","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000011","Nodes","","21.000000","39.126793","Default Known Flow Node","Known Flow","366948.504650","864379.837198","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000009","Nodes","","21.000000","38.676489","Default Known Flow Node","Known Flow","366927.847983","864475.649659","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000638","Nodes","Old School Court, 14 Properties","21.000000","42.299348","Point Loads","Known Flow","365691.342841","865312.293007","","0.000000","","","","","","-17.719999","","-15.845541","-17.719999","","","","","","","","PL-AF PROFILE",""
