"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60605600000013","Nodes","13","21.000000","48.489644","DDS demands","Known Flow","400171.500000","847975.125000","","0.000000","","","","-11.152999","","","","","-9.973212","-11.152999","","","","","","D1 PROFILE","","","",""
"60605600000018","Nodes","18","21.000000","46.511704","DDS demands","Known Flow","400189.000000","847916.250000","","0.000000","","","","-4.777000","","","","","-4.271679","-4.777000","","","","","","D1 PROFILE","","","",""
"60605600000040","Nodes","40","21.000000","38.997308","Default Known Flow Node","Known Flow","400249.750000","847854.875000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60605600000039","Nodes","39","21.000000","39.079808","DDS demands","Known Flow","400240.375000","847881.875000","","0.000000","","","","-1.267000","","","","","-1.132974","-1.267000","","","","","","D1 PROFILE","","","",""
"60605600000041","Nodes","41","21.000000","38.833319","DDS demands","Known Flow","400302.250000","847872.625000","","0.000000","","","","-6.014000","","","","","-5.377826","-6.014000","","","","","","D1 PROFILE","","","",""
"60605600000019","Nodes","19","21.000000","39.150703","DDS demands","Known Flow","400214.625000","847843.125000","","0.000000","","","","-2.996999","","","","","-2.679970","-2.996999","","","","","","D1 PROFILE","","","",""
"60605600000020","Nodes","20","21.000000","36.149128","DDS demands","Known Flow","400232.625000","847791.000000","","0.000000","","","","-11.997999","","","","","-10.728825","-11.997999","","","","","","D1 PROFILE","","","",""
"60605600000021","Nodes","21","21.000000","35.501514","DDS demands","Known Flow","400236.625000","847732.125000","","0.000000","","","","-2.796000","","","","","-2.500233","-2.796000","","","","","","D1 PROFILE","","","",""
"60605600000046","Nodes","46","21.000000","35.252657","DDS demands","Known Flow","400319.875000","847757.625000","","0.000000","","","","-8.346999","","","","","-7.464036","-8.346999","","","","","","D1 PROFILE","","","",""
"60605600000022","Nodes","22","21.000000","35.423834","DDS demands","Known Flow","400241.000000","847679.875000","","0.000000","","","","-1.710000","","","","","-1.529112","-1.710000","","","","","","D1 PROFILE","","","",""
"60605600000023","Nodes","23","21.000000","35.581770","DDS demands","Known Flow","400348.125000","847698.125000","","0.000000","","","","-1.378000","","","","","-1.232232","-1.378000","","","","","","D1 PROFILE","","","",""
"60605600000042","Nodes","42","21.000000","38.952999","DDS demands","Known Flow","400285.500000","847919.750000","","0.000000","","","","-1.608999","","","","","-1.438796","-1.608999","","","","","","D1 PROFILE","","","",""
"60605600000043","Nodes","43","21.000000","38.919300","DDS demands","Known Flow","400316.500000","847954.000000","","0.000000","","","","-2.473999","","","","","-2.212295","-2.473999","","","","","","D1 PROFILE","","","",""
"60605600000028","Nodes","28","21.000000","33.642429","DDS demands","Known Flow","400410.000000","847808.875000","","0.000000","","","","-6.215000","","","","","-5.557564","-6.215000","","","","","","D1 PROFILE","","","",""
"60605600000036","Nodes","36","21.000000","33.503517","DDS demands","Known Flow","400467.000000","847825.875000","","0.000000","","","","-5.039000","","","","","-4.505963","-5.039000","","","","","","D1 PROFILE","","","",""
"60605600000029","Nodes","29","21.000000","33.356773","DDS demands","Known Flow","400427.500000","847732.875000","","0.000000","","","","-8.115999","","","","","-7.257472","-8.115999","","","","","","D1 PROFILE","","","",""
"60605600000027","Nodes","27","21.000000","35.185642","DDS demands","Known Flow","400392.625000","847883.250000","","0.000000","","","","-3.489999","","","","","-3.120820","-3.489999","","","","","","D1 PROFILE","","","",""
"606056-25","Nodes","-25","21.000000","35.382339","Default Known Flow Node","Known Flow","400392.000000","847885.750000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60605600000026","Nodes","26","21.000000","39.685789","DDS demands","Known Flow","400378.125000","847940.000000","","0.000000","","","","-2.905999","","","","","-2.598596","-2.905999","","","","","","D1 PROFILE","","","",""
"60605600000025","Nodes","25","21.000000","40.538694","DDS demands","Known Flow","400363.625000","847996.750000","","0.000000","","","","-10.991999","","","","","-9.829242","-10.991999","","","","","","D1 PROFILE","","","",""
"60605600000033","Nodes","33","21.000000","33.961539","DDS demands","Known Flow","400453.000000","847900.375000","","0.000000","","","","-7.030000","","","","","-6.286352","-7.030000","","","","","","D1 PROFILE","","","",""
"60605600000032","Nodes","32","21.000000","33.875482","DDS demands","Known Flow","400488.375000","847960.500000","","0.000000","","","","-4.112999","","","","","-3.677918","-4.112999","","","","","","D1 PROFILE","","","",""
"60605600000037","Nodes","37","21.000000","33.546805","Default Known Flow Node","Known Flow","400488.500000","847832.500000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60605600000038","Nodes","38","21.000000","33.482675","DDS demands","Known Flow","400482.875000","847769.500000","","0.000000","","","","-2.263000","","","","","-2.023615","-2.263000","","","","","","D1 PROFILE","","","",""
"606056-1462484","Nodes","-1462484","21.000000","35.382339","Default Known Flow Node","Known Flow","400395.625000","847886.875000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60605600000035","Nodes","35","21.000000","32.959386","DDS demands","Known Flow","400543.750000","847773.625000","","0.000000","","","","-6.888999","","","","","-6.160266","-6.888999","","","","","","D1 PROFILE","","","",""
"60605600000034","Nodes","34","21.000000","33.204219","DDS demands","Known Flow","400523.375000","847843.250000","","0.000000","","","","-3.951999","","","","","-3.533948","-3.951999","","","","","","D1 PROFILE","","","",""
"60605600000014","Nodes","14","21.000000","47.585525","DDS demands","Known Flow","400282.625000","848056.000000","","0.000000","","","","-4.646000","","","","","-4.154536","-4.646000","","","","","","D1 PROFILE","","","",""
"60605600000070","Nodes","70","21.000000","48.249746","DDS demands","Known Flow","400139.000000","848107.500000","","0.000000","","","","-6.788000","","","","","-6.069951","-6.788000","","","","","","D1 PROFILE","","","",""
"60605600000048","Nodes","48","21.000000","46.096380","DDS demands","Known Flow","400324.875000","848006.500000","","0.000000","","","","-8.708999","","","","","-7.787743","-8.708999","","","","","","D1 PROFILE","","","",""
"60605600000031","Nodes","31","21.000000","40.268299","DDS demands","Known Flow","400452.250000","848066.000000","","0.000000","","","","-6.175000","","","","","-5.521795","-6.175000","","","","","","D1 PROFILE","","","",""
"60605600000052","Nodes","52","21.000000","47.082247","DDS demands","Known Flow","400240.500000","848126.500000","","0.000000","","","","-5.551000","","","","","-4.963803","-5.551000","","","","","","D1 PROFILE","","","",""
"60605600000050","Nodes","50","21.000000","47.182706","DDS demands","Known Flow","400256.750000","848088.625000","","0.000000","","","","-3.780999","","","","","-3.381037","-3.780999","","","","","","D1 PROFILE","","","",""
"60605600000015","Nodes","15","21.000000","44.217793","DDS demands","Known Flow","400332.625000","848094.500000","","0.000000","","","","-20.385999","","","","","-18.229527","-20.385999","","","","","","D1 PROFILE","","","",""
"60605600000024","Nodes","24","21.000000","41.788069","DDS demands","Known Flow","400351.000000","848043.875000","","0.000000","","","","-9.413000","","","","","-8.417273","-9.413000","","","","","","D1 PROFILE","","","",""
"60605600000030","Nodes","30","21.000000","41.003050","DDS demands","Known Flow","400445.375000","848100.000000","","0.000000","","","","-4.203999","","","","","-3.759292","-4.203999","","","","","","D1 PROFILE","","","",""
"60605600000051","Nodes","51","21.000000","47.035085","DDS demands","Known Flow","400224.750000","848055.375000","","0.000000","","","","-5.984000","","","","","-5.351000","-5.984000","","","","","","D1 PROFILE","","","",""
"60605600000016","Nodes","16","21.000000","43.749735","DDS demands","Known Flow","400447.375000","848185.875000","","0.000000","","","","-7.371999","","","","","-6.592174","-7.371999","","","","","","D1 PROFILE","","","",""
"60605600000053","Nodes","53","21.000000","41.218602","DDS demands","Known Flow","400324.375000","848259.250000","","0.000000","","","","-7.743999","","","","","-6.924823","-7.743999","","","","","","D1 PROFILE","","","",""
"60605600000071","Nodes","71","21.000000","48.291948","Default Known Flow Node","Known Flow","400115.750000","848146.875000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60605600000049","Nodes","49","21.000000","48.249746","Default Known Flow Node","Known Flow","400205.875000","848120.375000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60605600000054","Nodes","54","21.000000","40.946732","DDS demands","Known Flow","400363.375000","848250.500000","","0.000000","","","","-4.385000","","","","","-3.921145","-4.385000","","","","","","D1 PROFILE","","","",""
"60605600000057","Nodes","57","21.000000","31.023743","DDS demands","Known Flow","400100.625000","848315.500000","","0.000000","","","","-8.699000","","","","","-7.778801","-8.699000","","","","","","D1 PROFILE","","","",""
"60605600000055","Nodes","55","21.000000","40.875804","DDS demands","Known Flow","400351.125000","848198.000000","","0.000000","","","","-4.425000","","","","","-3.956914","-4.425000","","","","","","D1 PROFILE","","","",""
"60605600000056","Nodes","56","21.000000","40.842471","DDS demands","Known Flow","400466.000000","848231.125000","","0.000000","","","","-2.917000","","","","","-2.608433","-2.917000","","","","","","D1 PROFILE","","","",""
"60605600000069","Nodes","69","21.000000","26.536774","DDS demands","Known Flow","400010.000000","848365.875000","","0.000000","","-1.049999","","-2.684999","","","","","-3.339903","-3.734999","","","","C4 PROFILE","","D1 PROFILE","","","",""
"60605600000058","Nodes","58","21.000000","26.227613","DDS demands","Known Flow","399999.000000","848410.250000","","0.000000","","","","-11.586000","","","","","-10.360409","-11.586000","","","","","","D1 PROFILE","","","",""
"60605600000068","Nodes","68","21.000000","27.148152","DDS demands","Known Flow","400050.875000","848327.875000","","0.000000","-24.999999","","","-4.344999","","","","","-26.240823","-29.344999","","","C1 PROFILE","","","D1 PROFILE","","","",""
"606056-4904540","Nodes","-4904540, ""ACADEMY GARDENS R.R.I""","21.000000","49.999998","Default Known Pressure Node","Known Pressure","399565.750000","848331.000000","","999998.967025","","","","","","","","","17.968413","20.094001","","","","","","","","","",""
"60605600000095","Nodes","95","21.000000","49.936148","DDS demands","Known Flow","399569.500000","848330.750000","","0.000000","","","","-1.789999","","","","","-1.600649","-1.789999","","","","","","D1 PROFILE","","","",""
"606056-103","Nodes","-103","21.000000","44.594479","Default Known Flow Node","Known Flow","399983.250000","848186.500000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60605600000001","Nodes","1","21.000000","49.707477","DDS demands","Known Flow","400129.500000","847928.000000","","0.000000","","-15.390000","","-3.761000","","","","","-17.125168","-19.151001","","","","C4 PROFILE","","D1 PROFILE","","","",""
"60605600000094","Nodes","94","21.000000","49.403408","DDS demands","Known Flow","400107.125000","847682.625000","","0.000000","","","","-8.076000","","","","","-7.221704","-8.076000","","","","","","D1 PROFILE","","","",""
"60605600000093","Nodes","93","21.000000","49.969333","DDS demands","Known Flow","400132.000000","847788.750000","","0.000000","","","","-6.878999","","","","","-6.151325","-6.878999","","","","","","D1 PROFILE","","","",""
"606056-93","Nodes","-93, ""SOUTH ROAD R.R.I""","21.000000","49.999998","Default Known Pressure Node","Known Pressure","400132.125000","847791.750000","","999998.967025","","","","","","","","","13.373027","14.955000","","","","","","","","","",""
"60605600000059","Nodes","59","21.000000","48.422345","Default Known Flow Node","Known Flow","399914.125000","848132.750000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60605600000002","Nodes","2, ""SOUTH ROAD D.G.""","21.000000","49.999998","Default Known Pressure Node","Known Pressure","399918.375000","848118.625000","","999998.967025","","","","","","","","","139.598127","156.112004","","","","","","","","","",""
"606056-1","Nodes","-1, ""MINTLAW D.G.""","21.000000","49.999998","Default Known Pressure Node","Known Pressure","400133.000000","847930.875000","","999998.967025","","","","","","","","","759.845484","849.732018","","","","","","","","","",""
"60605600000072","Nodes","72","21.000000","43.852187","DDS demands","Known Flow","399957.750000","848200.125000","","0.000000","","","","-19.278998","","-5.110000","","","-21.809080","-24.388999","","","","","","D1 PROFILE","","I2 PROFILE","",""
"606056-995","Nodes","-995","21.000000","32.758416","Point Loads","Known Flow","400200.242760","848295.929905","","0.000000","","","","","","","-57.050000","","-51.015131","-57.050000","","","","","","","","","PL-AF PROFILE",""
"60605600000763","Nodes","Various properties at Artlaw Crescent(REF:5829)","21.000000","41.054486","Point Loads","Known Flow","400411.205142","848074.447956","","0.000000","","","","","","","-11.079999","","-9.907934","-11.079999","","","","","","","","","PL-AF PROFILE",""
