"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60600700005154","Nodes","","21.000000","49.157523","Default Known Flow Node","Known Flow","323463.133319","862236.422176","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005142","Nodes","","21.000000","49.110887","Default Known Flow Node","Known Flow","323544.422195","862284.727845","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005146","Nodes","","21.000000","36.218527","Default Known Flow Node","Known Flow","323349.465142","862255.056837","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005147","Nodes","","21.000000","36.218527","Default Known Flow Node","Known Flow","323350.864142","862254.398837","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005148","Nodes","","21.000000","36.223352","Default Known Flow Node","Known Flow","323365.954146","862237.940832","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005152","Nodes","","21.000000","36.214233","Default Known Flow Node","Known Flow","323350.384678","862253.246445","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005151","Nodes","","21.000000","36.218527","Default Known Flow Node","Known Flow","323352.358143","862253.833837","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005141","Nodes","","21.000000","49.157523","Default Known Flow Node","Known Flow","323464.096173","862236.012832","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005155","Nodes","","21.000000","49.144097","DDS demands","Known Flow","323482.090178","862228.394830","","0.000000","","","","","","","-3.039999","","","","","","-2.718422","-3.039999","","","","","","","","","D1 PROFILE","","","","",""
"60600700005166","Nodes","","21.000000","36.807781","Default Known Flow Node","Known Flow","323437.144166","862373.692869","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005153","Nodes","","21.000000","36.730772","Default Known Flow Node","Known Flow","323431.253164","862360.172866","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005169","Nodes","","21.000000","36.807781","Default Known Flow Node","Known Flow","323436.589166","862371.531869","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005171","Nodes","","21.000000","48.886056","DDS demands","Known Flow","323521.299189","862323.737856","","0.000000","","","","","","","-7.099999","","","","","","-6.348946","-7.099999","","","","","","","","","D1 PROFILE","","","","",""
"60600700005174","Nodes","","21.000000","36.729601","Default Known Flow Node","Known Flow","323455.362171","862348.177862","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004194","Nodes","","21.000000","22.437072","Default Known Flow Node","Known Flow","321481.791634","863024.980046","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700003906","Nodes","","21.000000","38.217360","Default Known Flow Node","Known Flow","321922.987754","861331.173586","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004231","Nodes","","21.000000","23.226349","Default Known Flow Node","Known Flow","321824.469727","862961.552029","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004885","Nodes","","21.000000","35.675428","Default Known Flow Node","Known Flow","322512.455914","863257.424110","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005172","Nodes","","21.000000","36.795720","Default Known Flow Node","Known Flow","323435.815165","862373.561869","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005052","Nodes","","21.000000","35.598175","Default Known Flow Node","Known Flow","323278.279123","862164.468812","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700003895","Nodes","","21.000000","36.545819","DDS demands","Known Flow","321499.554639","861227.884557","","0.000000","","","","","","","-10.920000","","","","","","-9.764859","-10.920000","","","","","","","","","D1 PROFILE","","","","",""
"60600700000013","Nodes","Logger 10156, 32 Pansport Place","21.000000","34.875158","Val Log Cath","Known Flow","322282.932112","862877.457438","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600701465120","Nodes","-1463120","21.000000","26.468261","Default Known Flow Node","Known Flow","320721.228427","863876.637278","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
