"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60601500000135","Nodes","135","21.000000","38.279941","DDS demands","Known Flow","371049.332122","863866.283275","","0.000000","","","","","","-6.800000","","","","","-6.080681","-6.800000","","","","","","","","D1 PROFILE","","","",""
"60601500000118","Nodes","118","21.000000","38.031783","Default Known Flow Node","Known Flow","371042.512120","863826.348265","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000142","Nodes","142","21.000000","37.529385","DDS demands","Known Flow","371126.602143","863800.243257","","0.000000","","","","","","-5.840000","","","","","-5.222232","-5.840000","","","","","","","","D1 PROFILE","","","",""
"60601500000141","Nodes","141","21.000000","37.519091","DDS demands","Known Flow","371136.053145","863822.619263","","0.000000","","","","","","-7.369999","","","","","-6.590385","-7.369999","","","","","","","","D1 PROFILE","","","",""
"60601500000122","Nodes","122","21.000000","37.413096","Default Known Flow Node","Known Flow","371182.040158","863774.481250","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000120","Nodes","120","21.000000","37.348329","Default Known Flow Node","Known Flow","371147.693148","863848.497271","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000140","Nodes","140","21.000000","37.546313","DDS demands","Known Flow","371114.849140","863792.961255","","0.000000","","","","","","-5.349999","","","","","-4.784065","-5.349999","","","","","","","","D1 PROFILE","","","",""
"60601500000147","Nodes","147","21.000000","37.535772","Default Known Flow Node","Known Flow","371106.938137","863776.365251","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000138","Nodes","138","21.000000","36.852765","DDS demands","Known Flow","371093.268134","863747.271243","","0.000000","","","","","","-8.039999","","","","","-7.189511","-8.039999","","","","","","","","D1 PROFILE","","","",""
"60601500000139","Nodes","139","21.000000","36.682731","DDS demands","Known Flow","371149.492149","863745.987243","","0.000000","","","","","","-6.599999","","","","","-5.901837","-6.599999","","","","","","","","D1 PROFILE","","","",""
"60601500000137","Nodes","137","21.000000","36.640846","DDS demands","Known Flow","371047.895121","863764.183248","","0.000000","","","","","","-6.010000","","","","","-5.374249","-6.010000","","","","","","","","D1 PROFILE","","","",""
"60601500000145","Nodes","145","21.000000","37.366485","DDS demands","Known Flow","371219.706168","863784.316253","","0.000000","","","","","","-10.029999","","","","","-8.969005","-10.029999","","","","","","","","D1 PROFILE","","","",""
"60601500000127","Nodes","127","21.000000","37.323392","Default Known Flow Node","Known Flow","371218.487168","863773.742250","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000126","Nodes","126","21.000000","37.302486","Default Known Flow Node","Known Flow","371219.380168","863789.878255","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000144","Nodes","144","21.000000","37.373208","DDS demands","Known Flow","371211.745166","863784.372253","","0.000000","","","","","","-5.850000","","","","","-5.231174","-5.850000","","","","","","","","D1 PROFILE","","","",""
"60601500000125","Nodes","125","21.000000","37.373208","Default Known Flow Node","Known Flow","371211.810166","863797.390257","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000143","Nodes","143","21.000000","37.214664","DDS demands","Known Flow","371167.835154","863839.144268","","0.000000","","","","","","-9.909999","","","","","-8.861699","-9.909999","","","","","","","","D1 PROFILE","","","",""
"60601500000121","Nodes","121","21.000000","37.214664","Default Known Flow Node","Known Flow","371192.279161","863828.250265","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000119","Nodes","119","21.000000","37.214664","Default Known Flow Node","Known Flow","371156.603151","863814.196261","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000123","Nodes","123","21.000000","37.398170","Default Known Flow Node","Known Flow","371176.932156","863763.111247","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000124","Nodes","124","21.000000","37.371248","Default Known Flow Node","Known Flow","371197.656162","863754.400245","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000190","Nodes","190","21.000000","37.169409","DDS demands","Known Flow","371206.072723","863861.576731","","0.000000","","","","","","-5.260000","","","","","-4.703586","-5.260000","","","","","","","","D1 PROFILE","","","",""
"60601500000128","Nodes","128","21.000000","37.074811","Default Known Flow Node","Known Flow","371266.361181","863790.252255","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000129","Nodes","129","21.000000","36.775007","Default Known Flow Node","Known Flow","371266.121181","863745.732243","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000146","Nodes","146","21.000000","36.592147","DDS demands","Known Flow","371265.738181","863721.503236","","0.000000","","","","","","-10.609999","","","","","-9.487651","-10.609999","","","","","","","","D1 PROFILE","","","",""
"60601500000130","Nodes","130","21.000000","36.775007","Default Known Flow Node","Known Flow","371240.924174","863746.065243","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000002","Nodes","2","21.000000","47.649437","Default Known Flow Node","Known Flow","370039.760847","864382.052416","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000192","Nodes","192","21.000000","46.556186","DDS demands","Known Flow","370189.044888","864469.507440","","0.000000","","","","","","-13.120000","","","-10.840000","","-21.425462","-23.960001","","","","","","","","D1 PROFILE","","","I2 PROFILE",""
"60601500000167","Nodes","167","21.000000","32.665804","DDS demands","Known Flow","370255.367906","864432.587429","","0.000000","","","","","","-22.059999","","","","","-19.726446","-22.059999","","","","","","","","D1 PROFILE","","","",""
"60601500000007","Nodes","7","21.000000","32.652298","Default Known Flow Node","Known Flow","370253.383337","864431.731660","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000166","Nodes","166","21.000000","31.813260","DDS demands","Known Flow","370326.867925","864454.208435","","0.000000","","","","","","-8.279999","","","","","-7.404124","-8.279999","","","","","","","","D1 PROFILE","","","",""
"60601500000165","Nodes","165","21.000000","31.615644","DDS demands","Known Flow","370351.485932","864474.315441","","0.000000","","","-15.609999","","","-5.169999","","","","","-18.581846","-20.779998","","","","","C3 PROFILE","","","D1 PROFILE","","","",""
"60601500000168","Nodes","168","21.000000","32.526483","DDS demands","Known Flow","370358.443934","864345.663406","","0.000000","","","-2.850000","","","-35.799999","","","","","-34.561519","-38.649998","","","","","C3 PROFILE","","","D1 PROFILE","","","",""
"60601500000100","Nodes","100","21.000000","29.102203","DDS demands","Known Flow","370295.361917","864243.764378","","0.000000","","","","","","-25.309999","","","","","-22.632654","-25.309999","","","","","","","","D1 PROFILE","","","",""
"60601500000114","Nodes","114","21.000000","29.084230","DDS demands","Known Flow","370356.050024","864206.712845","","0.000000","","","","","","-8.790000","","","","","-7.860175","-8.790000","","","","","","","","D1 PROFILE","","","",""
"60601500000169","Nodes","169","21.000000","28.460260","DDS demands","Known Flow","370266.601909","864197.583366","","0.000000","","","","","","-28.069999","","","","","-25.100696","-28.069999","","","","","","","","D1 PROFILE","","","",""
"60601500000010","Nodes","10","21.000000","29.084230","Default Known Flow Node","Known Flow","370357.696933","864205.707368","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
