"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60601100004370","Nodes","4370","21.000000","39.657186","DDS demands","Known Flow","399722.749924","866493.262990","","0.000000","","","","","","","-8.960000","","","","","","-8.012192","-8.960000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000473","Nodes","473","21.000000","26.050886","DDS demands","Known Flow","398588.888616","865332.348674","","0.000000","","","","","","","-25.829999","","","-2.419999","","","-25.261655","-28.249999","","","","","","","","","D1 PROFILE","","","I2 PROFILE","",""
"60601100000104","Nodes","Logger 9420, 2 Craigelle Circle","21.000000","26.578795","Val Log Cath","Known Flow","398507.808511","865440.670417","","0.000000","","","","","","","-15.739999","","","","","","-14.074989","-15.739999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000431","Nodes","431","21.000000","26.890481","DDS demands","Known Flow","398520.890597","865468.867711","","0.000000","","","","","","","-9.930000","","","","","","-8.879584","-9.930000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000100","Nodes","Logger 9180, 261 West Road","21.000000","39.191988","Val Log Cath","Known Flow","398966.743987","865849.939698","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601100000622","Nodes","622","21.000000","38.840946","Default Known Flow Node","Known Flow","398978.400079","865822.452883","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601100000536","Nodes","536","21.000000","24.799660","DDS demands","Known Flow","398327.249544","865290.762663","","0.000000","","","","","","","-1.429999","","","","","","-1.278731","-1.429999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000537","Nodes","537","21.000000","24.678633","Default Known Flow Node","Known Flow","398325.124544","865277.387659","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601100004000","Nodes","4000","21.000000","24.359866","DDS demands","Known Flow","398344.469858","865221.672904","","0.000000","","","","","","","-8.909999","","","","","","-7.967481","-8.909999","","","","","","","","","D1 PROFILE","","","","",""
"60601100004192","Nodes","4192","21.000000","23.137051","DDS demands","Known Flow","398562.861608","865088.505608","","0.000000","","","","","","","-7.040000","","","","","","-6.295294","-7.040000","","","","","","","","","D1 PROFILE","","","","",""
