"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"62506300000051","Nodes","51",21.000000,69.294792,"Default Known Flow Node","Known Flow",224018.889059,691043.383115,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132024","Nodes","-132024",21.000000,69.490812,"DDS demands","Known Flow",224038.209435,691019.338946,,0.000000,,,,,-4.439999,,,,,-3.970327,-4.439999,,,"",,,,,"D1 PROFILE",,,,,
"62506300132006","Nodes","-132006",21.000000,67.345377,"Default Known Flow Node","Known Flow",223800.803741,691268.036860,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000035","Nodes","35",21.000000,66.927402,"Default Known Flow Node","Known Flow",223691.125025,691305.454320,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000034","Nodes","34",21.000000,66.890518,"Default Known Flow Node","Known Flow",223642.520012,691278.787313,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000021","Nodes","21",21.000000,66.736729,"DDS demands","Known Flow",223617.685005,691247.923304,,0.000000,,,,,-22.739999,,,,,-20.334515,-22.739999,,,"",,,,,"D1 PROFILE",,,,,
"62506300000036","Nodes","36,Various Flats at Rockville(MAX REF:178520)",21.000000,57.018115,"DDS demands","Known Flow",223449.745960,690332.448055,,0.000000,,,,,,,-10.060000,,,-8.995832,-10.060000,,,"",,,,,,,"PL-AF PROFILE",,,
"62506300132000","Nodes","-132000",21.000000,57.722438,"Default Known Flow Node","Known Flow",223376.590940,690299.381046,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000037","Nodes","37",21.000000,57.517747,"DDS demands","Known Flow",223405.297947,690301.346047,,0.000000,,,,,-9.379999,,,,,-8.387763,-9.379999,,,"",,,,,"D1 PROFILE",,,,,
"62506300132002","Nodes","-132002",21.000000,57.517747,"Default Known Flow Node","Known Flow",223411.053949,690308.309049,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000022","Nodes","22",21.000000,62.483968,"DDS demands","Known Flow",223439.742957,690746.688168,,0.000000,,,,,-18.830000,,,,,-16.838123,-18.830000,,,"",,,,,"D1 PROFILE",,,,,
"62506300132004","Nodes","-132004",21.000000,65.602838,"Default Known Flow Node","Known Flow",223527.456981,691148.730277,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132005","Nodes","-132005",21.000000,65.602838,"Default Known Flow Node","Known Flow",223541.747985,691137.384274,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132007","Nodes","-132007",21.000000,67.471697,"Default Known Flow Node","Known Flow",223833.349064,691261.328308,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132011","Nodes","-132011",21.000000,68.003923,"Default Known Flow Node","Known Flow",223853.883069,691156.075279,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132010","Nodes","-132010",21.000000,68.003923,"Default Known Flow Node","Known Flow",223852.905069,691130.674272,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132015","Nodes","-132015",21.000000,68.416111,"DDS demands","Known Flow",223922.935088,691071.128256,,0.000000,,,,,-1.760000,,,,,-1.573823,-1.760000,,,"",,,,,"D1 PROFILE",,,,,
"62506300132018","Nodes","-132018",21.000000,69.202367,"DDS demands","Known Flow",223996.946108,691077.156258,,0.000000,,,,,-6.939999,,,,,-6.205872,-6.939999,,,"",,,,,"D1 PROFILE",,,,,
"62506300000013","Nodes","13",21.000000,63.987858,"DDS demands","Known Flow",223899.074044,691455.557722,,0.000000,,,,,-29.620000,,,,,-26.486735,-29.620000,,,"",,,,,"D1 PROFILE",,,,,
"62506300000012","Nodes","12",21.000000,65.198245,"DDS demands","Known Flow",223997.177108,691351.067332,,0.000000,-7.400000,,,,-9.379999,,,,,-15.004976,-16.780000,,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,
"62506300000031","Nodes","31",21.000000,66.744994,"DDS demands","Known Flow",223979.544538,691231.753344,,0.000000,,,,,-6.800000,,,,,-6.080681,-6.800000,,,"",,,,,"D1 PROFILE",,,,,
"62506300132017","Nodes","-132017",21.000000,65.050554,"Default Known Flow Node","Known Flow",223998.217162,691369.569759,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000005","Nodes","5",21.000000,66.987686,"DDS demands","Known Flow",223978.394529,691212.544611,,0.000000,,,,,-14.109999,,,,,-12.617414,-14.109999,,,"",,,,,"D1 PROFILE",,,,,
"62506300132014","Nodes","-132014",21.000000,66.143887,"Default Known Flow Node","Known Flow",223919.803194,691249.310447,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000004","Nodes","4",21.000000,68.913372,"DDS demands","Known Flow",223986.318105,691136.811274,,0.000000,-3.099999,,,,-18.469999,,,,,-19.288279,-21.569999,,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,
"62506300132008","Nodes","-132008",21.000000,65.231783,"Default Known Flow Node","Known Flow",223849.677068,691348.885332,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000032","Nodes","32",21.000000,65.208473,"DDS demands","Known Flow",223845.671067,691348.753332,,0.000000,,-34.540000,,,-1.990000,,,,,-32.665780,-36.530001,,,"",,"C2 PROFILE",,,"D1 PROFILE",,,,,
"62506300132009","Nodes","-132009",21.000000,65.433930,"Default Known Flow Node","Known Flow",223867.455073,691377.911340,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132013","Nodes","-132013",21.000000,65.393257,"Default Known Flow Node","Known Flow",223868.364076,691351.069191,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132012","Nodes","-132012",21.000000,65.393257,"Default Known Flow Node","Known Flow",223868.403587,691349.902470,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132016","Nodes","-132016",21.000000,66.076580,"Default Known Flow Node","Known Flow",223927.788090,691194.818290,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132023","Nodes","-132023",21.000000,66.091917,"Default Known Flow Node","Known Flow",224037.134119,691221.129297,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000044","Nodes","44",21.000000,57.733813,"DDS demands","Known Flow",224235.694173,691489.065370,,0.000000,,,,,-4.990000,,,,,-4.462147,-4.990000,,,"",,,,,"D1 PROFILE",,,,,
"62506300112306","Nodes","-112306",21.000000,57.788422,"Default Known Flow Node","Known Flow",224263.482181,691490.876370,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000008","Nodes","8",21.000000,64.618344,"DDS demands","Known Flow",224064.792127,691316.495323,,0.000000,,,,,-6.989999,,,,,-6.250582,-6.989999,,,"",,,,,"D1 PROFILE",,,,,
"62506300132020","Nodes","-132020",21.000000,65.052062,"Default Known Flow Node","Known Flow",224019.977115,691356.672334,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000028","Nodes","28",21.000000,65.969669,"DDS demands","Known Flow",224096.019135,691150.558278,,0.000000,,,,,-5.019999,,,,,-4.488973,-5.019999,,,"",,,,,"D1 PROFILE",,,,,
"62506300000003","Nodes","3",21.000000,65.965264,"DDS demands","Known Flow",224099.312136,691102.009265,,0.000000,,,,,-21.929999,,,,,-19.610198,-21.929999,,,"",,,,,"D1 PROFILE",,,,,
"62506300132022","Nodes","-132022",21.000000,66.254082,"Default Known Flow Node","Known Flow",224035.643119,691230.364300,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132025","Nodes","-132025",21.000000,65.977190,"Default Known Flow Node","Known Flow",224045.004121,691222.154297,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132026","Nodes","-132026",21.000000,66.139387,"Default Known Flow Node","Known Flow",224045.020121,691241.543303,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132042","Nodes","-132042",21.000000,57.841933,"Default Known Flow Node","Known Flow",224252.205178,691446.176358,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132031","Nodes","-132031",21.000000,65.310034,"Default Known Flow Node","Known Flow",224093.773135,691233.452300,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000009","Nodes","9",21.000000,60.781510,"DDS demands","Known Flow",224067.115127,691394.143344,,0.000000,,,,,-14.420000,,,,,-12.894622,-14.420000,,,"",,,,,"D1 PROFILE",,,,,
"62506300132027","Nodes","-132027",21.000000,61.092253,"Default Known Flow Node","Known Flow",224044.995121,691384.435342,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000010","Nodes","10",21.000000,59.071294,"DDS demands","Known Flow",224176.419157,691365.366336,,0.000000,,,,,-15.819999,,,,,-14.146526,-15.819999,,,"",,,,,"D1 PROFILE",,,,,
"62506300000041","Nodes","41",21.000000,58.830282,"DDS demands","Known Flow",224213.713982,691336.863700,,0.000000,,,,,-9.580000,,,,,-8.566607,-9.580000,,,"",,,,,"D1 PROFILE",,,,,
"62506300132037","Nodes","-132037",21.000000,59.425820,"Default Known Flow Node","Known Flow",224160.561153,691341.752330,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000006","Nodes","6",21.000000,65.518357,"DDS demands","Known Flow",224095.592135,691230.974300,,0.000000,,,-2.089999,,-10.289999,,,,,-11.070416,-12.379999,,,"",,,"C3  PROFILE",,"D1 PROFILE",,,,,
"62506300000007","Nodes","7",21.000000,65.808992,"DDS demands","Known Flow",224200.106164,691049.260250,,0.000000,,,,,-4.419999,,,,,-3.952443,-4.419999,,,"",,,,,"D1 PROFILE",,,,,
"62506300132019","Nodes","-132019",21.000000,65.052062,"Default Known Flow Node","Known Flow",224012.264113,691371.217338,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132028","Nodes","-132028",21.000000,69.600875,"Default Known Flow Node","Known Flow",224048.920745,691006.008742,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132021","Nodes","-132021",21.000000,60.764048,"Default Known Flow Node","Known Flow",224022.668115,691402.661346,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300168104","Nodes","-168104",21.000000,65.310034,"Default Known Flow Node","Known Flow",224114.407140,691239.381302,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132033","Nodes","-132033",21.000000,59.790740,"Default Known Flow Node","Known Flow",224112.491140,691330.529327,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000040","Nodes","40",21.000000,59.351622,"DDS demands","Known Flow",224125.715143,691290.970316,,0.000000,,,,,-16.120001,,,,,-14.414793,-16.120001,,,"",,,,,"D1 PROFILE",,,,,
"62506300000042","Nodes","P12128994, DEV@UPLAND ROAD, -12.37SCMH",22.999998,57.176795,"CSEP Unmatched","Known Flow",224118.087141,691408.516348,,0.000000,,,,,-11.920000,,,-12.369999,,-21.720552,-24.290000,,,"",,,,,"D1 PROFILE",,,"DC PROFILE",,
"62506300132032","Nodes","-132032",21.000000,57.176795,"Default Known Flow Node","Known Flow",224103.248137,691419.534351,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000039","Nodes","39",21.000000,59.203984,"DDS demands","Known Flow",224162.786153,691303.633320,,0.000000,,,,,-6.300000,,,,,-5.633573,-6.300000,,,"",,,,,"D1 PROFILE",,,,,
"62506300132039","Nodes","-132039",21.000000,58.720055,"Default Known Flow Node","Known Flow",224171.502156,691391.433343,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132040","Nodes","-132040",21.000000,58.421065,"Default Known Flow Node","Known Flow",224187.570160,691440.406357,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000043","Nodes","43",21.000000,57.395853,"DDS demands","Known Flow",224301.314191,691423.287352,,0.000000,,,,,-9.180000,,,,,-8.208920,-9.180000,,,"",,,,,"D1 PROFILE",,,,,
"62506300168102","Nodes","-168102",21.000000,69.174471,"DDS demands","Known Flow",223998.972109,691049.355250,,0.000000,,,-5.700000,,,,,,,-5.097042,-5.700000,,,"",,,"C3  PROFILE",,,,,,,
"62506300000025","Nodes","25",21.000000,33.057854,"DDS demands","Known Flow",223599.224458,691864.417299,,0.000000,,,,,-8.350000,,,,,-7.466719,-8.350000,,,"",,,,,"D1 PROFILE",,,,,
"62506300132110","Nodes","-132110",21.000000,33.300833,"Default Known Flow Node","Known Flow",223626.850865,691875.416643,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000019","Nodes","19",21.000000,45.839896,"DDS demands","Known Flow",223712.499031,691743.242439,,0.000000,,,,,-16.760000,,,,,-14.987092,-16.760000,,,"",,,,,"D1 PROFILE",,,,,
"62506300000047","Nodes","47",21.000000,45.120076,"DDS demands","Known Flow",223676.710021,691725.982434,,0.000000,-14.550000,,,,-6.269999,,,,,-18.617616,-20.820000,,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,
"62506300000023","Nodes","23",21.000000,47.418083,"DDS demands","Known Flow",223762.399489,691705.465257,,0.000000,,,,,-20.370001,,,,,-18.215221,-20.370001,,,"",,,,,"D1 PROFILE",,,,,
"62506300000024","Nodes","24",21.000000,37.238138,"DDS demands","Known Flow",223800.078055,691818.914460,,0.000000,,,,,-12.479999,,,,,-11.159838,-12.479999,,,"",,,,,"D1 PROFILE",,,,,
"62506300000017","Nodes","17",21.000000,61.222535,"DDS demands","Known Flow",223765.108045,691580.675395,,0.000000,,,,,-11.729999,,,,,-10.489175,-11.729999,,,"",,,,,"D1 PROFILE",,,,,
"62506300132114","Nodes","-132114",21.000000,39.306070,"Default Known Flow Node","Known Flow",223671.499020,691812.674458,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000049","Nodes","49",21.000000,39.172800,"DDS demands","Known Flow",223587.439997,691783.991450,,0.000000,,,,,-7.269999,,,,,-6.500963,-7.269999,,,"",,,,,"D1 PROFILE",,,,,
"62506300132120","Nodes","-132120",21.000000,45.035829,"Default Known Flow Node","Known Flow",223690.186025,691704.457429,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132118","Nodes","-132118",21.000000,41.671011,"Default Known Flow Node","Known Flow",223680.839022,691785.326451,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132113","Nodes","-132113",21.000000,41.586206,"Default Known Flow Node","Known Flow",223663.961018,691772.765447,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132128","Nodes","-132128",21.000000,62.787527,"Default Known Flow Node","Known Flow",223790.190052,691565.939391,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000015","Nodes","15",21.000000,62.894113,"DDS demands","Known Flow",223834.454064,691604.854401,,0.000000,,,,,-15.880000,,,,,-14.200180,-15.880000,,,"",,,,,"D1 PROFILE",,,,,
"62506300168100","Nodes","-168100",21.000000,35.061425,"Default Known Flow Node","Known Flow",223689.105025,691884.359478,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000020","Nodes","20",21.000000,34.967537,"DDS demands","Known Flow",223691.061148,691882.452315,,0.000000,,,,,-15.140000,,,,,-13.538459,-15.140000,,,"",,,,,"D1 PROFILE",,,,,
"62506300132112","Nodes","-132112",21.000000,33.432606,"Default Known Flow Node","Known Flow",223636.560703,691871.522497,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132106","Nodes","-132106",21.000000,32.983677,"Default Known Flow Node","Known Flow",223578.322994,691856.032470,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132117","Nodes","-132117",21.000000,50.397343,"Default Known Flow Node","Known Flow",223680.247022,691658.139416,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000027","Nodes","27",21.000000,46.001987,"DDS demands","Known Flow",223578.858995,691530.374381,,0.000000,,,,,-17.059999,,,,,-15.255356,-17.059999,,,"",,,,,"D1 PROFILE",,,,,
"62506300132107","Nodes","-132107",21.000000,45.827555,"Default Known Flow Node","Known Flow",223582.897423,691517.378047,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000014","Nodes","14, Maximo 375479",21.000000,61.659447,"Point Loads","Known Flow",223773.734835,691572.299752,,0.000000,,,,,-7.610000,,-7.799999,,,-13.779898,-15.410000,,,"",,,,,"D1 PROFILE",,"PL-AF PROFILE",,,
"62506300000016","Nodes","16",21.000000,63.992337,"DDS demands","Known Flow",223932.808482,691507.333892,,0.000000,,,,,-5.989999,,,,,-5.356365,-5.989999,,,"",,,,,"D1 PROFILE",,,,,
"62506300132129","Nodes","-132129",21.000000,64.055871,"Default Known Flow Node","Known Flow",223932.388254,691501.712273,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000026","Nodes","26",21.000000,33.374734,"DDS demands","Known Flow",223560.309990,691939.311492,,0.000000,,,,,-8.159999,,,,,-7.296817,-8.159999,,,"",,,,,"D1 PROFILE",,,,,
"62506300132105","Nodes","-132105",21.000000,32.983677,"Default Known Flow Node","Known Flow",223580.581995,691856.911470,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000048","Nodes","48",21.000000,46.001456,"DDS demands","Known Flow",223605.689002,691442.340357,,0.000000,,,,,-2.599999,,,,,-2.324966,-2.599999,,,"",,,,,"D1 PROFILE",,,,,
"62506300132111","Nodes","-132111",21.000000,45.785534,"Default Known Flow Node","Known Flow",223629.601008,691532.366382,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000050","Nodes","50",21.000000,33.060122,"DDS demands","Known Flow",223595.096694,691848.435959,,0.000000,,,,,-9.630000,,,,,-8.611318,-9.630000,,,"",,,,,"D1 PROFILE",,,,,
"62506300132104","Nodes","-132104",21.000000,33.060122,"Default Known Flow Node","Known Flow",223578.106994,691833.880464,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132115","Nodes","-132115",21.000000,45.162207,"Default Known Flow Node","Known Flow",223674.939021,691725.226434,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132121","Nodes","-132121",21.000000,50.397343,"Default Known Flow Node","Known Flow",223694.898026,691628.674408,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000046","Nodes","46",21.000000,57.669502,"DDS demands","Known Flow",223730.956036,691588.899397,,0.000000,,,,,-2.499999,,,,,-2.235544,-2.499999,,,"",,,,,"D1 PROFILE",,,,,
"62506300132127","Nodes","-132127",21.000000,59.576437,"Default Known Flow Node","Known Flow",223782.160677,691549.732772,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132126","Nodes","-132126",21.000000,58.639223,"Default Known Flow Node","Known Flow",223782.022050,691537.962383,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300132123","Nodes","-132123",21.000000,56.648153,"DDS demands","Known Flow",223757.797043,691532.118382,,0.000000,,,,,,,-7.385000,,,-6.603799,-7.385000,,,"",,,,,,,"PL-AF PROFILE",,,
"62506300000045","Nodes","45",21.000000,57.298796,"DDS demands","Known Flow",224316.843195,691477.168367,,0.000000,,,,,-12.119999,,,,,-10.837920,-12.119999,,,"",,,,,"D1 PROFILE",,,,,
"62506300000011","Nodes","11",21.000000,57.742209,"DDS demands","Known Flow",224265.605181,691501.278373,,0.000000,,,,,-18.600000,,,,,-16.632453,-18.600000,,,"",,,,,"D1 PROFILE",,,,,
"62506300112305","Nodes","-112305",21.000000,57.742209,"Default Known Flow Node","Known Flow",224262.313181,691503.187374,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300001000","Nodes","1000",21.000000,34.334610,"DDS demands","Known Flow",223798.812054,691890.662479,,0.000000,,,,,,,-27.300000,,,-24.412149,-27.300000,,,"",,,,,,,"PL-AF PROFILE",,,
"62506300000033","Nodes","33",21.000000,34.157022,"DDS demands","Known Flow",223862.759072,691985.041505,,0.000000,,,,,-6.619999,,,,,-5.919722,-6.619999,,,"",,,,,"D1 PROFILE",,,,,
"62506300000055","Nodes","ref 104945",21.000000,46.969229,"Default Known Flow Node","Known Flow",223614.725128,691568.716044,,0.000000,,,,,,,,,-16.500000,0.000000,0.000000,,,"",,,,,,,,,"PL-PL PROFILE",
"62506300000030","Nodes",,21.000000,62.599858,"Default Known Flow Node","Known Flow",223424.120942,690543.618504,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300001001","Nodes",,21.000000,57.517747,"Default Known Flow Node","Known Flow",223419.938951,690288.887043,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300001002","Nodes",,21.000000,57.517747,"Default Known Flow Node","Known Flow",223414.338950,690188.494016,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300001003","Nodes",,21.000000,62.619317,"Default Known Flow Node","Known Flow",223421.776952,690543.210113,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300001010","Nodes",,21.000000,57.169669,"Default Known Flow Node","Known Flow",223425.358003,690329.649314,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300001008","Nodes",,21.000000,62.582421,"Default Known Flow Node","Known Flow",223420.184951,690540.746112,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300001009","Nodes",,21.000000,57.169669,"Default Known Flow Node","Known Flow",223433.279955,690346.959059,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300001011","Nodes",,21.000000,62.500620,"Default Known Flow Node","Known Flow",223439.318957,690745.147168,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300001013","Nodes",,21.000000,57.681523,"Default Known Flow Node","Known Flow",223381.558941,690306.465048,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300001019","Nodes",,21.000000,67.016552,"Default Known Flow Node","Known Flow",223978.311103,691210.942294,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300001021","Nodes",,21.000000,67.350469,"Default Known Flow Node","Known Flow",223800.678055,691266.417309,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300001022","Nodes",,21.000000,64.708747,"Default Known Flow Node","Known Flow",223974.680102,691408.259348,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300001023","Nodes",,21.000000,64.708747,"Default Known Flow Node","Known Flow",223972.093102,691403.432347,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300001027","Nodes",,21.000000,66.890518,"Default Known Flow Node","Known Flow",223639.607011,691276.224312,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
