"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"62102000000090","Nodes","90,",21.000000,51.026896,"DDS demands","Known Flow",252505.584865,685697.463794,,0.000000,,,,,-8.489999,,-7.591909,-8.489999,,"",,,,,"D1 PROFILE",
"62102000000151","Nodes","151,",21.000000,51.004659,"DDS demands","Known Flow",252535.709873,685790.338819,,0.000000,,,,,-2.559999,,-2.289197,-2.559999,,"",,,,,"D1 PROFILE",
"62102000000097","Nodes","97,",21.000000,62.009983,"DDS demands","Known Flow",252562.959881,685832.463831,,0.000000,,,,,-10.090000,,-9.022658,-10.090000,,"",,,,,"D1 PROFILE",
"62102000000160","Nodes","160,",21.000000,43.738466,"DDS demands","Known Flow",252686.959914,685515.463745,,0.000000,,,,,-7.860000,,-7.028552,-7.860000,,"",,,,,"D1 PROFILE",
"62102000161656","Nodes","161656,",21.000000,43.824353,"Default Known Flow Node","Known Flow",252745.459930,685547.338753,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000095","Nodes","95,",21.000000,44.791263,"DDS demands","Known Flow",252656.584906,685590.838765,,0.000000,,,,,-7.889999,,-7.055379,-7.889999,,"",,,,,"D1 PROFILE",
"62102000000093","Nodes","93,",21.000000,41.800274,"DDS demands","Known Flow",252566.459881,685562.338757,,0.000000,,,,,-9.039999,,-8.083729,-9.039999,,"",,,,,"D1 PROFILE",
"62102000000094","Nodes","94,",21.000000,40.692586,"DDS demands","Known Flow",252641.209902,685525.088747,,0.000000,,,,,-14.029999,,-12.545876,-14.029999,,"",,,,,"D1 PROFILE",
"62102000000111","Nodes","111,",21.000000,41.397764,"DDS demands","Known Flow",252527.959871,685600.463768,,0.000000,,,,,-7.780000,,-6.957015,-7.780000,,"",,,,,"D1 PROFILE",
"62102000000113","Nodes","113,",21.000000,51.139729,"DDS demands","Known Flow",252466.435077,685780.994098,,0.000000,,,,,-7.639999,,-6.831824,-7.639999,,"",,,,,"D1 PROFILE",
"62102000000112","Nodes","112,",21.000000,41.327642,"DDS demands","Known Flow",252577.209884,685607.213769,,0.000000,,,,,-5.960000,,-5.329538,-5.960000,,"",,,,,"D1 PROFILE",
"62102000000146","Nodes","146,",21.000000,60.634198,"DDS demands","Known Flow",252568.584882,685816.338826,,0.000000,,,,,-11.090000,,-9.916877,-11.090000,,"",,,,,"D1 PROFILE",
"62102000000147","Nodes","147,",21.000000,60.041775,"Default Known Flow Node","Known Flow",252661.959907,685847.963835,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000149","Nodes","149,",21.000000,55.441292,"DDS demands","Known Flow",252659.084907,685704.338796,,0.000000,,,,,-4.829999,,-4.319072,-4.829999,,"",,,,,"D1 PROFILE",
"62102000161652","Nodes","161652,",21.000000,51.031589,"DDS demands","Known Flow",252451.827612,685713.883070,,0.000000,,,,,-9.850000,,-8.808046,-9.850000,,"",,,,,"D1 PROFILE",
"62102000000096","Nodes","96,",21.000000,53.263958,"DDS demands","Known Flow",252624.334897,685672.463787,,0.000000,,,,,-2.650000,,-2.369677,-2.650000,,"",,,,,"D1 PROFILE",
"62102000161655","Nodes","161655,",21.000000,53.480000,"Default Known Flow Node","Known Flow",252723.584924,685700.713795,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000158","Nodes","158,",21.000000,53.477924,"DDS demands","Known Flow",252726.209925,685701.338795,,0.000000,,,,,-3.349999,,-2.995629,-3.349999,,"",,,,,"D1 PROFILE",
"62102000000159","Nodes","159,",21.000000,53.691171,"Default Known Flow Node","Known Flow",252756.334933,685651.213781,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000161","Nodes","161,",21.000000,43.824353,"Default Known Flow Node","Known Flow",252757.959934,685544.463752,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000161657","Nodes","161657,",21.000000,43.824353,"Default Known Flow Node","Known Flow",252747.584931,685556.463756,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000176","Nodes","176,",21.000000,47.812383,"DDS demands","Known Flow",252007.959730,686121.463909,,0.000000,,,,,-8.100000,,-7.243165,-8.100000,,"",,,,,"D1 PROFILE",
"62102000000099","Nodes","99,",21.000000,69.846448,"DDS demands","Known Flow",252307.709811,686011.713880,,0.000000,,,,-6.000000,-2.300000,,-7.422008,-8.300000,,"",,,,"C4 PROFILE","D1 PROFILE",
"62102000000169","Nodes","169,",21.000000,61.619222,"DDS demands","Known Flow",252231.459790,686183.963926,,0.000000,,,,,-3.980000,,-3.558987,-3.980000,,"",,,,,"D1 PROFILE",
"62102000000170","Nodes","170,",21.000000,61.466781,"DDS demands","Known Flow",252258.584798,686271.713950,,0.000000,,,-0.920000,,-1.159999,,-1.859973,-2.079999,,"",,,"C3  PROFILE",,"D1 PROFILE",
"62102000000101","Nodes","101,",21.000000,65.794436,"DDS demands","Known Flow",252441.834848,686279.213952,,0.000000,,,,,-4.999999,,-4.471089,-4.999999,,"",,,,,"D1 PROFILE",
"62102000000162","Nodes","162,",21.000000,65.595063,"DDS demands","Known Flow",252466.834854,686295.838957,,0.000000,,,,,-4.489999,,-4.015038,-4.489999,,"",,,,,"D1 PROFILE",
"62102000000114","Nodes","114,",21.000000,65.558714,"DDS demands","Known Flow",252390.834834,686393.338983,,0.000000,,,,,-1.770000,,-1.582765,-1.770000,,"",,,,,"D1 PROFILE",
"62102000000163","Nodes","163,",21.000000,65.677834,"Default Known Flow Node","Known Flow",252467.959855,686228.588939,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000126","Nodes","126,",21.000000,47.385289,"DDS demands","Known Flow",251916.334705,686250.838945,,0.000000,,,,,-2.809999,,-2.512752,-2.809999,,"",,,,,"D1 PROFILE",
"62102000000124","Nodes","124,",21.000000,65.375327,"DDS demands","Known Flow",252530.959872,686335.588968,,0.000000,,,,,-4.719999,,-4.220708,-4.719999,,"",,,,,"D1 PROFILE",
"62102000000125","Nodes","125,",21.000000,65.589416,"DDS demands","Known Flow",252551.709877,686255.088946,,0.000000,,,,,-2.470000,,-2.208718,-2.470000,,"",,,,,"D1 PROFILE",
