"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"62500400004022","Nodes","4022",21.000000,34.866182,"DDS demands","Known Flow",251286.875000,664017.375000,,0.000000,,,,,,-14.840000,,,,,,,,,-13.270194,-14.840000,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"62500400001534","Nodes","1534, P08119818, COMMERCIAL DEV ROCEP DRIVE,FY1(-32.31)&FY5( -64.62)",24.000000,72.532989,"CSEP Unmatched","Known Flow",251954.500000,666781.250000,,0.000000,,,,,,,,,,,,-32.310001,,,-28.892181,-32.310001,,,"",,,,,,,,,,,,"CC PROFILE",,,
"62500400001146","Nodes","1146,  P09121056, 82-86(FLATS1-24) SEEDHILL ROAD, -22-25SCMH",24.000000,34.124994,"CSEP Unmatched","Known Flow",249664.467011,663680.781440,,0.000000,,,,,,,,,,,-22.250000,,,,-19.896348,-22.250000,,,"",,,,,,,,,,,"PL-AF PROFILE",,,,
"62500400002044","Nodes","2044",21.000000,28.676770,"DDS demands","Known Flow",245435.250000,661859.375000,,0.000000,,,,,,-2.619999,,,,,,,,,-2.342850,-2.619999,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"625004-2907","Nodes","-2907",21.000000,25.302580,"Default Known Flow Node","Known Flow",248339.625000,662728.000000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400001183","Nodes","1183, P08119923, 26 OAKSHAW STREET EAST, -7.38",22.999998,21.564613,"CSEP Unmatched","Known Flow",247951.094145,664104.609588,,0.000000,,,,,,,,,,,-7.380000,,,,-6.599328,-7.380000,,,"",,,,,,,,,,,"PL-AF PROFILE",,,,
"62500400001863","Nodes","1863",21.000000,25.399803,"DDS demands","Known Flow",248344.750000,662681.875000,,0.000000,-1.760000,,,-0.629999,,-24.830000,,,,,,,,,-24.340612,-27.219999,,,"","C1 PROFILE",,,"C4 PROFILE",,"D1 PROFILE",,,,,,,,,
"625004-612","Nodes","-612",21.000000,25.091955,"Default Known Flow Node","Known Flow",246034.875000,661712.250000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400001182","Nodes","1182, P09121257, BLACKFORD ROAD, -60.56SCMH",24.000000,31.721814,"CSEP Unmatched","Known Flow",249417.038140,663163.743742,,0.000000,,,,,,,,,,,-60.560002,,,,-54.153836,-60.560002,,,"",,,,,,,,,,,"PL-AF PROFILE",,,,
"62500400004977","Nodes","4977",21.000000,24.523327,"DDS demands","Known Flow",246011.875000,661759.750000,,0.000000,,-252.949991,,,,-4.050000,,,,,,,,,-229.813996,-256.999990,,,"",,"C2 PROFILE",,,,"D1 PROFILE",,,,,,,,,
