"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"62505600001000","Nodes","1000",21.000000,64.632370,"DDS demands","Known Flow",240732.015625,619781.812500,,0.000000,,,,,-2.750000,,-2.459098,-2.750000,,"",,,,,"D1 PROFILE",
"62505600000099","Nodes","99",21.000000,39.592739,"DDS demands","Known Flow",240851.500000,619483.250000,,0.000000,-15.999999,,,,-0.769999,,-14.996032,-16.769999,,"","C1 PROFILE",,,,"D1 PROFILE",
"62505600000100","Nodes","100",21.000000,39.567219,"DDS demands","Known Flow",240982.000000,619472.875000,,0.000000,-2.619999,,,,,,-2.342850,-2.619999,,"","C1 PROFILE",,,,,
"62505600000050","Nodes","50",21.000000,42.481017,"DDS demands","Known Flow",240743.625000,619357.500000,,0.000000,,,,,-17.830000,,-15.943903,-17.830000,,"",,,,,"D1 PROFILE",
"62505600000051","Nodes","51",21.000000,42.435330,"DDS demands","Known Flow",240746.875000,619437.875000,,0.000000,,,,,-0.519999,,-0.464993,-0.519999,,"",,,,,"D1 PROFILE",
"62505600000052","Nodes","52",21.000000,41.327112,"DDS demands","Known Flow",240801.595893,619342.627669,,0.000000,,,,,-16.419999,,-14.683056,-16.419999,,"",,,,,"D1 PROFILE",
"62505600001015","Nodes","1015",21.000000,34.978576,"Default Known Flow Node","Known Flow",240809.750000,619427.125000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000056","Nodes","56",21.000000,34.935215,"Default Known Flow Node","Known Flow",240811.375000,619399.625000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000057","Nodes","57",21.000000,34.177552,"DDS demands","Known Flow",240854.750000,619365.500000,,0.000000,,-16.829999,,,-6.170000,,-20.567009,-22.999999,,"",,"C2 PROFILE",,,"D1 PROFILE",
"62505600000059","Nodes","59",21.000000,71.459292,"DDS demands","Known Flow",240475.500000,619921.000000,,0.000000,,,,,-13.520000,,-12.089824,-13.520000,,"",,,,,"D1 PROFILE",
"62505600000058","Nodes","58",21.000000,74.182203,"DDS demands","Known Flow",240580.250000,619869.000000,,0.000000,,,,,-13.890000,,-12.420686,-13.890000,,"",,,,,"D1 PROFILE",
"62505600000009","Nodes","9",21.000000,54.950154,"DDS demands","Known Flow",240849.250000,619644.750000,,0.000000,,,,,-7.989999,,-7.144799,-7.989999,,"",,,,,"D1 PROFILE",
"62505600000002","Nodes","2",21.000000,74.186378,"Default Known Flow Node","Known Flow",240576.125000,619863.000000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
