"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96113300006775","Nodes","Logger 6775, Os 95 Bradbourne Vale Road","21.000000","24.935988","Val Log Post","Known Flow","552138.833272","156327.063428","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507131","Nodes","6507131","21.000000","24.950369","DDS demands","Known Flow","552136.291397","156373.194761","","0.000000","","","","","-15.829999","","","","","","","-14.155468","-15.829999","","","","","","","D1 PROFILE","","","","","",""
"96113316509163","Nodes","-1787","21.000000","28.429403","Default Known Flow Node","Known Flow","553789.916847","155773.694597","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113300006771","Nodes","Logger 6771, Os Newlands","21.000000","29.328258","Val Log Cath","Known Flow","553863.852705","155930.184925","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509197","Nodes","-1831","21.000000","29.343089","Default Known Flow Node","Known Flow","553864.666868","155932.444641","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509574","Nodes","-2327","21.000000","32.002674","Default Known Flow Node","Known Flow","552824.387817","158568.588451","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113300006770","Nodes","Logger 6770, Sevenoaks Road","21.000000","32.046180","Val Log Post","Known Flow","552827.741845","158563.465970","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509570","Nodes","-2320","21.000000","32.046180","Default Known Flow Node","Known Flow","552844.431590","158537.976350","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508219","Nodes","-1200","21.000000","33.518336","Default Known Flow Node","Known Flow","551631.429089","158899.854705","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113300006769","Nodes","Logger 6769, Os 2 Hale Lane","21.000000","33.387815","Val Log Post","Known Flow","551677.536469","158889.299407","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508212","Nodes","-1193","21.000000","33.387815","Default Known Flow Node","Known Flow","551690.511276","158884.975444","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507253","Nodes","6507253","21.000000","30.513130","DDS demands","Known Flow","553485.790765","159395.637583","","0.000000","","","","","-1.019999","","","","","","","-0.912102","-1.019999","","","","","","","D1 PROFILE","","","","","",""
"96113300006768","Nodes","Logger 6768, Os 2 Tudor Drive","21.000000","30.515576","Val Log Post","Known Flow","553485.335215","159394.009802","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306508053","Nodes","6508053","21.000000","29.486837","Default Known Flow Node","Known Flow","553892.415082","158904.033568","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306508033","Nodes","6508033","21.000000","29.701689","DDS demands","Known Flow","554045.894170","158863.710966","","0.000000","","","","","-13.999999","","","","","","","-12.519050","-13.999999","","","","","","","D1 PROFILE","","","","","",""
"96113316508710","Nodes","-1463043","21.000000","29.699245","Default Known Flow Node","Known Flow","554052.345919","158864.741439","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316510342","Nodes","-680","21.000000","31.697337","Default Known Flow Node","Known Flow","552113.791391","154574.319271","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507075","Nodes","6507075","21.000000","24.878634","DDS demands","Known Flow","552169.791406","155972.069651","","0.000000","","","","","-2.740000","","","","","","","-2.450157","-2.740000","","","","","","","D1 PROFILE","","","","","",""
"96113316510602","Nodes","-987","21.000000","24.855417","Default Known Flow Node","Known Flow","552171.291407","155959.569648","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508779","Nodes","-1463181","21.000000","24.850015","Default Known Flow Node","Known Flow","552175.416408","155925.444639","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507138","Nodes","6507138","21.000000","26.083052","DDS demands","Known Flow","552404.146364","156256.665510","","0.000000","","","","","-6.659999","","","","","","","-5.955491","-6.659999","","","","","","","D1 PROFILE","","","","","",""
"96113306507311","Nodes","6507311","21.000000","26.260120","Default Known Flow Node","Known Flow","552414.303412","156279.526271","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507136","Nodes","6507136","21.000000","26.583471","DDS demands","Known Flow","552426.194815","156307.567542","","0.000000","","","","","-2.689999","","","","","","","-2.405446","-2.689999","","","","","","","D1 PROFILE","","","","","",""
"96113316508165","Nodes","-1113","21.000000","26.478609","Default Known Flow Node","Known Flow","551563.659948","156285.457556","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507024","Nodes","6507024","21.000000","25.350496","DDS demands","Known Flow","551722.912596","156371.868919","","0.000000","","","","","-16.809999","","","","","","","-15.031803","-16.809999","","","","","","","D1 PROFILE","","","","","",""
"96113316510003","Nodes","-338313","21.000000","31.321617","Default Known Flow Node","Known Flow","554282.813981","159221.836536","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316510004","Nodes","-338317","21.000000","31.512237","Default Known Flow Node","Known Flow","554332.166995","159206.175531","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507312","Nodes","6507312","21.000000","25.650293","Default Known Flow Node","Known Flow","552382.166464","156207.194715","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508173","Nodes","-1132","21.000000","27.089845","Default Known Flow Node","Known Flow","552425.916476","156354.319755","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507092","Nodes","6507092","21.000000","26.791622","DDS demands","Known Flow","553054.916647","155052.194401","","0.000000","-16.940001","","-4.800000","","-46.209999","","","","","","","-60.762108","-67.950002","","","C1 PROFILE","","C3 PROFILE","","D1 PROFILE","","","","","",""
"96113316508657","Nodes","-1462951","21.000000","23.161695","DDS demands","Known Flow","552476.916490","155074.694407","","0.000000","-7.450000","","0.000000","","-30.920000","","","","","","","-34.311142","-38.370001","","","C1 PROFILE","","C3 PROFILE","","D1 PROFILE","","","","","",""
"96113306507064","Nodes","6507064","21.000000","21.138241","Default Known Flow Node Sub","Known Flow","552638.806218","155036.626554","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509050","Nodes","-1657","21.000000","19.236844","DDS demands","Known Flow","552791.416576","155004.819388","","0.000000","","","","","-9.079999","","","","","","","-8.119498","-9.079999","","","","","","","D1 PROFILE","","","","","",""
"96113316510418","Nodes","-770","21.000000","21.144742","Default Known Flow Node","Known Flow","552664.791541","155136.944424","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509637","Nodes","-240","21.000000","29.668839","Default Known Flow Node","Known Flow","551013.168092","157545.567080","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509646","Nodes","-241","21.000000","29.668839","Default Known Flow Node","Known Flow","551020.963094","157550.424081","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507086","Nodes","6507086","21.000000","24.750173","DDS demands","Known Flow","552799.291578","155430.194504","","0.000000","","","","","-19.069999","","","","","","","-17.052735","-19.069999","","","","","","","D1 PROFILE","","","","","",""
"96113306507084","Nodes","6507084","21.000000","25.591616","DDS demands","Known Flow","553019.291638","155464.319513","","0.000000","","","","","-9.130000","","","","","","","-8.164209","-9.130000","","","","","","","D1 PROFILE","","","","","",""
"96113316508355","Nodes","-1368","21.000000","25.932505","Default Known Flow Node","Known Flow","553304.416715","153338.693935","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306506147","Nodes","6506147","21.000000","25.776780","DDS demands","Known Flow","553352.189673","153226.085472","","0.000000","","","","","-56.630000","","","","","","","-50.639560","-56.630000","","","","","","","D1 PROFILE","","","","","",""
"96113316508331","Nodes","-1338","21.000000","25.854754","Default Known Flow Node","Known Flow","553426.791748","153017.693848","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306506144","Nodes","6506144","21.000000","27.728922","DDS demands","Known Flow","553133.291669","153237.068907","","0.000000","","","","","-34.439998","","","","","","","-30.796863","-34.439998","","","","","","","D1 PROFILE","","","","","",""
"96113306506146","Nodes","6506146","21.000000","26.906264","DDS demands","Known Flow","553261.428823","153112.663865","","0.000000","","","","","-22.190001","","","","","","","-19.842696","-22.190001","","","","","","","D1 PROFILE","","","","","",""
"96113316508332","Nodes","-1339","21.000000","26.616989","Default Known Flow Node","Known Flow","553292.666712","153023.068849","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306508049","Nodes","6508049","21.000000","31.163702","DDS demands","Known Flow","554083.061927","159246.344542","","0.000000","","","","","-32.799998","","","","","","","-29.330346","-32.799998","","","","","","","D1 PROFILE","","","","","",""
"96113306508048","Nodes","6508048","21.000000","30.193605","DDS demands","Known Flow","554024.214429","159082.158470","","0.000000","","","","","-38.509999","","","","","","","-34.436330","-38.509999","","","","","","","D1 PROFILE","","","","","",""
"96113316509598","Nodes","-2352","21.000000","29.771657","Default Known Flow Node","Known Flow","553977.298898","158947.706461","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509848","Nodes","-2704","21.000000","29.882441","Default Known Flow Node","Known Flow","555463.536303","158482.826335","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306508065","Nodes","6508065","21.000000","29.844820","Default Known Flow Node","Known Flow","555465.110418","158459.092336","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509847","Nodes","-2702","21.000000","29.811604","Default Known Flow Node","Known Flow","555469.927854","158419.418633","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508659","Nodes","-1462954","21.000000","29.795262","Default Known Flow Node","Known Flow","553449.655755","159345.186569","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507247","Nodes","6507247","21.000000","28.765044","DDS demands","Known Flow","553374.998062","159152.070190","","0.000000","","","","","-19.650000","","","","","","","-17.571382","-19.650000","","","","","","","D1 PROFILE","","","","","",""
"96113316509602","Nodes","-2357","21.000000","28.540070","Default Known Flow Node","Known Flow","553399.268741","158956.459463","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508528","Nodes","-1462661","21.000000","29.310268","Default Known Flow Node","Known Flow","553104.519661","159742.442677","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507256","Nodes","6507256","21.000000","29.146661","DDS demands","Known Flow","553293.671326","159809.543642","","0.000000","","","","","-50.200002","","","","","","","-44.889742","-50.200002","","","","","","","D1 PROFILE","","","","","",""
"96113306507295","Nodes","P12129314, SHOREHAM ROAD, SCH 7.75","22.999998","29.210573","CSEP Unmatched","Known Flow","553193.509685","159771.735685","","0.000000","","","","","","","","","","","-7.750000","-6.930188","-7.750000","","","","","","","","","","","","","DC PROFILE"
"96113306507257","Nodes","6507257","21.000000","28.237623","DDS demands","Known Flow","553684.820546","159960.482797","","0.000000","","","","","-26.650000","","","","","","","-23.830907","-26.650000","","","","","","","D1 PROFILE","","","","","",""
"96113316509664","Nodes","-2433","21.000000","28.065640","Default Known Flow Node","Known Flow","553682.838818","160016.193752","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509611","Nodes","-2369","21.000000","31.833679","Default Known Flow Node","Known Flow","552725.778558","159093.436501","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507239","Nodes","6507239","21.000000","31.676269","DDS demands","Known Flow","552707.768468","159169.041780","","0.000000","","","","","-4.709999","","","","","","","-4.211766","-4.709999","","","","","","","D1 PROFILE","","","","","",""
"96113316509630","Nodes","-2391","21.000000","31.542508","Default Known Flow Node","Known Flow","552755.037566","159267.968548","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509599","Nodes","-2353","21.000000","28.535739","Default Known Flow Node","Known Flow","553406.567743","158950.423462","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507225","Nodes","6507225","21.000000","28.593249","DDS demands","Known Flow","553460.362332","158967.412761","","0.000000","","","","","-20.290001","","","","","","","-18.143681","-20.290001","","","","","","","D1 PROFILE","","","","","",""
"96113306507250","Nodes","6507250","21.000000","28.818448","DDS demands","Known Flow","553481.655763","159122.064509","","0.000000","","","","","-45.450001","","","","","","","-40.642206","-45.450001","","","","","","","D1 PROFILE","","","","","",""
"96113316509559","Nodes","-2306","21.000000","33.013137","Default Known Flow Node","Known Flow","552994.196678","157980.601984","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508603","Nodes","-1462826","21.000000","33.413685","Default Known Flow Node","Known Flow","553072.541652","157787.570145","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508495","Nodes","-1462572","21.000000","33.413685","Default Known Flow Node","Known Flow","553081.837648","157753.110563","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509550","Nodes","-2291","21.000000","33.413685","Default Known Flow Node","Known Flow","553078.487681","157753.131296","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507303","Nodes","6507303","21.000000","32.205727","Default Known Flow Node","Known Flow","552883.201601","158434.806322","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509563","Nodes","-2311","21.000000","32.221621","Default Known Flow Node","Known Flow","552896.777604","158371.355304","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509565","Nodes","-2314","21.000000","32.199624","Default Known Flow Node","Known Flow","552890.200892","158437.687666","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509564","Nodes","-2313","21.000000","32.199624","Default Known Flow Node","Known Flow","552891.546603","158435.308322","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509562","Nodes","-2310","21.000000","32.222566","Default Known Flow Node","Known Flow","552897.033604","158370.209304","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507304","Nodes","6507304","21.000000","32.287859","Default Known Flow Node","Known Flow","552933.348614","158301.001285","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508699","Nodes","-1463020","21.000000","30.205013","Default Known Flow Node","Known Flow","554427.248021","158468.161331","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509853","Nodes","-2709","21.000000","30.248836","DDS demands","Known Flow","554431.197022","158499.016339","","0.000000","","","","","-11.859999","","","","","","","-10.605423","-11.859999","","","","","","","D1 PROFILE","","","","","",""
"96113316509843","Nodes","-2698","21.000000","29.664524","Default Known Flow Node","Known Flow","555279.995989","158341.401912","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508489","Nodes","-1462558","21.000000","29.622341","Default Known Flow Node","Known Flow","555343.911740","158303.271095","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509838","Nodes","-2691","21.000000","29.628780","Default Known Flow Node","Known Flow","555344.884726","158301.009943","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508722","Nodes","-1463067","21.000000","29.627529","DDS demands","Known Flow","555342.390328","158298.907817","","0.000000","","","","","-11.520000","","","","","","","-10.301390","-11.520000","","","","","","","D1 PROFILE","","","","","",""
"96113316508445","Nodes","-1462482","21.000000","29.630439","Default Known Flow Node","Known Flow","555346.498105","158302.420927","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509844","Nodes","-2699","21.000000","29.874366","Default Known Flow Node","Known Flow","555485.836172","158366.023608","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509839","Nodes","-2692","21.000000","29.926052","DDS demands","Known Flow","555497.056971","158312.566692","","0.000000","","","","","-13.460000","","","","","","","-12.036173","-13.460000","","","","","","","D1 PROFILE","","","","","",""
"96113316509836","Nodes","-2688","21.000000","29.870439","DDS demands","Known Flow","555498.600312","158251.000272","","0.000000","","","","","-10.819999","","","","","","","-9.675437","-10.819999","","","","","","","D1 PROFILE","","","","","",""
"96113316509846","Nodes","-2700","21.000000","29.916507","Default Known Flow Node","Known Flow","555535.305115","158408.562904","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509840","Nodes","-2693","21.000000","29.927667","Default Known Flow Node","Known Flow","555502.503318","158318.746864","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508220","Nodes","-1201","21.000000","33.997340","Default Known Flow Node","Known Flow","551473.177217","158906.047450","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508221","Nodes","-1203","21.000000","33.779525","Default Known Flow Node","Known Flow","551566.022242","158914.536452","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508207","Nodes","-1189","21.000000","33.779525","Default Known Flow Node","Known Flow","551482.303219","158854.445436","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508210","Nodes","-1191","21.000000","33.387815","Default Known Flow Node","Known Flow","551678.661273","158857.429437","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508209","Nodes","-1190","21.000000","33.387815","Default Known Flow Node","Known Flow","551682.734274","158855.565436","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
