"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-DC)"
"96110900005405","Nodes","","21.000000","30.398060","Default Known Flow Node","Known Flow","587188.485000","152377.520000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910493","Nodes","","21.000000","30.398060","Default Known Flow Node","Known Flow","587184.110000","152379.645000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910420","Nodes","","21.000000","30.516847","DDS demands","Known Flow","587254.735000","152467.270000","","0.000000","","","","","-7.219999","","","","-6.456253","-7.219999","","","","","","","D1 PROFILE","","",""
"96110905910418","Nodes","","21.000000","30.402490","Default Known Flow Node","Known Flow","587190.985000","152367.520000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910494","Nodes","","21.000000","30.560728","Default Known Flow Node","Known Flow","587260.360000","152477.520000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910421","Nodes","","21.000000","30.516847","Default Known Flow Node","Known Flow","587261.985000","152463.145000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910498","Nodes","","21.000000","30.648505","Default Known Flow Node","Known Flow","587304.360000","152447.770000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910497","Nodes","","21.000000","30.692403","Default Known Flow Node","Known Flow","587293.360000","152497.145000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910496","Nodes","","21.000000","30.446351","Default Known Flow Node","Known Flow","587282.235000","152149.520000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910495","Nodes","","21.000000","30.358632","Default Known Flow Node","Known Flow","587265.735000","152039.645000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910510","Nodes","","21.000000","29.703392","Default Known Flow Node","Known Flow","585676.470311","152895.494344","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910435","Nodes","","21.000000","29.703392","Default Known Flow Node","Known Flow","585721.651183","152885.924012","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910189","Nodes","","21.000000","28.458049","DDS demands","Known Flow","585957.985000","152696.145000","","0.000000","-26.340000","","","","-5.010000","","","","-28.033731","-31.350001","","","C1 PROFILE","","","","D1 PROFILE","","",""
"96110905910190","Nodes","","21.000000","28.888876","DDS demands","Known Flow","585700.869265","152841.070844","","0.000000","","","","","-11.600000","","","","-10.372928","-11.600000","","","","","","","D1 PROFILE","","",""
"96110905910511","Nodes","","21.000000","28.888876","Default Known Flow Node","Known Flow","585695.595273","152843.477423","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910512","Nodes","","21.000000","29.703392","Default Known Flow Node","Known Flow","585706.757703","152852.898923","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910394","Nodes","Holm Mill Lane DG, SITE ID 5401","21.000000","30.000000","Default Known Pressure Node","Known Pressure","585702.354176","152854.947075","","499.999994","","","","","","","","","86.917152","97.199088","","","","","","","","","",""
"96110905910436","Nodes","","21.000000","29.747139","Default Known Flow Node","Known Flow","585796.235000","152866.770000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910513","Nodes","","21.000000","29.878409","Default Known Flow Node","Known Flow","585916.610000","152884.895000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910430","Nodes","P00047551 Hook Lane, 17448, -9.27","27.000000","27.745075","CSEP DDS Matched","Known Flow","586307.360000","152575.020000","","0.000000","","","","","","-9.270000","","","-8.289400","-9.270000","","","","","","","","DC PROFILE","",""
"96110905910455","Nodes","","21.000000","27.789073","Default Known Flow Node","Known Flow","586410.735000","152566.770000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910203","Nodes","","21.000000","28.068455","DDS demands","Known Flow","586395.610000","152695.645000","","0.000000","","","","","-18.469999","","","","-16.516204","-18.469999","","","","","","","D1 PROFILE","","",""
"96110905910431","Nodes","P13132336, CSEP, ASHFORD RD, -12.18 SCMH","22.999998","27.735995","CSEP Unmatched","Known Flow","586304.735000","152555.645000","","0.000000","","","","","","","","-12.180000","-10.891574","-12.180000","","","","","","","","","","DC PROFILE"
"96110905910480","Nodes","","21.000000","27.925223","Default Known Flow Node","Known Flow","586439.110000","152630.145000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910429","Nodes","","21.000000","27.925223","Default Known Flow Node","Known Flow","586445.735000","152630.645000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910428","Nodes","","21.000000","28.065496","Default Known Flow Node","Known Flow","586444.360000","152644.645000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910482","Nodes","","21.000000","27.925223","Default Known Flow Node","Known Flow","586452.985000","152640.520000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910205","Nodes","","21.000000","27.925223","DDS demands","Known Flow","586482.110000","152666.770000","","0.000000","","","","","-1.209999","","","","-1.082003","-1.209999","","","","","","","D1 PROFILE","","",""
"96110905910432","Nodes","","21.000000","27.819716","DDS demands","Known Flow","586487.235000","152544.145000","","0.000000","","","","","-3.219999","","","","-2.879381","-3.219999","","","","","","","D1 PROFILE","","",""
"96110905910483","Nodes","","21.000000","27.776366","Default Known Flow Node","Known Flow","586462.860000","152544.270000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910427","Nodes","","21.000000","27.928373","DDS demands","Known Flow","586487.610000","152671.645000","","0.000000","","","","","-25.379998","","","","-22.695248","-25.379998","","","","","","","D1 PROFILE","","",""
"96110905910434","Nodes","","21.000000","28.408921","Default Known Flow Node","Known Flow","586062.235000","152749.895000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910500","Nodes","","21.000000","28.452861","Default Known Flow Node","Known Flow","586009.485000","152763.645000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910502","Nodes","","21.000000","28.392012","Default Known Flow Node","Known Flow","586452.110000","152749.270000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910501","Nodes","","21.000000","28.392012","Default Known Flow Node","Known Flow","586451.985000","152750.770000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910206","Nodes","","21.000000","27.819227","DDS demands","Known Flow","586584.110000","152597.020000","","0.000000","","","","","-13.279999","","","","-11.875213","-13.279999","","","","","","","D1 PROFILE","","",""
"96110905910456","Nodes","","21.000000","28.719473","Default Known Flow Node","Known Flow","586583.610000","152659.770000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910426","Nodes","","21.000000","28.719473","Default Known Flow Node","Known Flow","586621.610000","152644.895000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910485","Nodes","","21.000000","28.445815","Default Known Flow Node","Known Flow","586534.235000","152753.145000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910503","Nodes","","21.000000","28.445815","Default Known Flow Node","Known Flow","586534.026465","152749.935436","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910486","Nodes","","21.000000","27.819716","Default Known Flow Node","Known Flow","586544.360000","152544.770000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910425","Nodes","","21.000000","28.807397","Default Known Flow Node","Known Flow","586638.485000","152684.770000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910504","Nodes","","21.000000","28.851370","Default Known Flow Node","Known Flow","586658.365733","152733.704684","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910458","Nodes","","21.000000","28.763433","Default Known Flow Node","Known Flow","586681.235000","152662.895000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910484","Nodes","","21.000000","28.149893","Default Known Flow Node","Known Flow","586509.360000","152701.895000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910204","Nodes","","21.000000","28.149618","DDS demands","Known Flow","586514.110000","152697.270000","","0.000000","","","","","-10.609999","","","","-9.487651","-10.609999","","","","","","","D1 PROFILE","","",""
"96110905910487","Nodes","","21.000000","27.194157","DDS demands","Known Flow","586660.360000","152606.020000","","0.000000","","","","","-13.250000","","","","-11.848387","-13.250000","","","","","","","D1 PROFILE","","",""
"96110905910488","Nodes","","21.000000","30.083450","Default Known Flow Node","Known Flow","586843.860000","152640.520000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910196","Nodes","","21.000000","30.196537","Default Known Flow Node","Known Flow","586839.610000","152615.145000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
