"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96105400000579","Nodes","579","21.000000","24.585281","Default Known Flow Node","Known Flow","599388.304254","141630.190749","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000580","Nodes","580","21.000000","24.585281","Default Known Flow Node","Known Flow","599411.553329","141631.618804","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000567","Nodes","567","21.000000","24.673091","Default Known Flow Node","Known Flow","599400.054257","141588.690738","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000628","Nodes","628","21.000000","24.716846","Default Known Flow Node","Known Flow","599435.804267","141778.190789","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002636","Nodes","5002636","21.000000","24.756793","DDS demands","Known Flow","599432.804266","141788.815792","","0.000000","","","","","","","-3.950000","","","","","","","","","-3.532160","-3.950000","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105400000688","Nodes","688","21.000000","25.650704","Default Known Flow Node","Known Flow","599439.179268","141954.065837","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002074","Nodes","5002074","21.000000","25.650704","DDS demands","Known Flow","599474.804278","141938.315833","","0.000000","","","","","","","-22.809998","","","","","","","","","-20.397110","-22.809998","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105400000633","Nodes","633","21.000000","24.756793","Default Known Flow Node","Known Flow","599465.304275","141784.065791","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000629","Nodes","629","21.000000","24.756793","Default Known Flow Node","Known Flow","599452.304271","141779.190789","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002597","Nodes","5002597","21.000000","25.566414","Default Known Flow Node","Known Flow","599347.054243","141542.315725","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002596","Nodes","5002596","21.000000","25.551517","DDS demands","Known Flow","599347.429243","141540.815725","","0.000000","","","","","","","-23.240000","","","","","","","","","-20.781623","-23.240000","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105400000560","Nodes","560","21.000000","25.602071","Default Known Flow Node","Known Flow","599358.304246","141543.690725","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002070","Nodes","5002070","21.000000","25.894738","DDS demands","Known Flow","599426.804265","141504.315715","","0.000000","","","","","","","-28.219998","","","","","","","","","-25.234828","-28.219998","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105405002633","Nodes","5002633","21.000000","24.538754","DDS demands","Known Flow","599371.429249","141696.440767","","0.000000","","","","","","","-7.519999","","","","","","","","","-6.724518","-7.519999","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105405002071","Nodes","5002071","21.000000","24.586029","DDS demands","Known Flow","599354.804245","141667.940759","","0.000000","","","","","","","-33.779997","","","","","","","","","-30.206679","-33.779997","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105400000609","Nodes","609","21.000000","24.538754","Default Known Flow Node","Known Flow","599323.054236","141719.940773","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002073","Nodes","5002073","21.000000","24.543840","DDS demands","Known Flow","599396.554256","141732.815777","","0.000000","","","","","","","-22.340001","","","","","","","","","-19.976828","-22.340001","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105405002635","Nodes","5002635","21.000000","24.555632","Default Known Flow Node","Known Flow","599398.179257","141735.690778","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000581","Nodes","581","21.000000","24.585281","Default Known Flow Node","Known Flow","599421.381688","141642.098048","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002639","Nodes","5002639","21.000000","24.928077","DDS demands","Known Flow","599422.503262","141833.827254","","0.000000","","","","","","","-7.360000","","","","","","","","","-6.581443","-7.360000","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105405002640","Nodes","5002640","21.000000","25.192139","Default Known Flow Node","Known Flow","599441.927504","141876.441763","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002066","Nodes","5002066","21.000000","25.822623","DDS demands","Known Flow","599388.929254","141429.440694","","0.000000","","","","","","","-30.500000","","","","","","","","","-27.273646","-30.500000","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105400000573","Nodes","573","21.000000","24.672711","DDS demands","Known Flow","599442.925971","141617.950225","","0.000000","","","","","","","-1.200000","","","","","","","","","-1.073061","-1.200000","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105400000643","Nodes","643","21.000000","24.756793","Default Known Flow Node","Known Flow","599445.304270","141792.315793","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002637","Nodes","5002637","21.000000","24.756793","Default Known Flow Node","Known Flow","599449.054271","141785.690791","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000638","Nodes","638","21.000000","24.756793","Default Known Flow Node","Known Flow","599456.679273","141788.940792","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002607","Nodes","5002607","21.000000","24.587359","Default Known Flow Node","Known Flow","599484.109280","141682.355763","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002072","Nodes","5002072","21.000000","24.672713","DDS demands","Known Flow","599488.287063","141609.002678","","0.000000","","","","","","","-17.030000","","","","","","","","","-15.228531","-17.030000","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105405002609","Nodes","5002609","21.000000","26.375026","Default Known Flow Node","Known Flow","599495.838978","141544.195522","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000589","Nodes","589","21.000000","26.472539","Default Known Flow Node","Known Flow","599496.554284","141655.440756","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002094","Nodes","5002094","21.000000","26.533308","DDS demands","Known Flow","599476.304278","141740.440779","","0.000000","","","","","","","-25.889999","","","","","","","","","-23.151301","-25.889999","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105405002079","Nodes","5002079","21.000000","27.373636","DDS demands","Known Flow","599879.429388","141521.065719","","0.000000","","","","","","","-10.909999","","","","","","","","","-9.755916","-10.909999","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105405002674","Nodes","5002674","21.000000","27.394327","Default Known Flow Node","Known Flow","599880.304388","141522.315720","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000540","Nodes","540","21.000000","27.177585","Default Known Flow Node","Known Flow","599807.304368","141502.565714","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002641","Nodes","5002641","21.000000","26.436855","Default Known Flow Node","Known Flow","599506.179286","141980.690844","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000588","Nodes","588","21.000000","26.472539","Default Known Flow Node","Known Flow","599509.700316","141655.063191","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002643","Nodes","5002643","21.000000","27.094682","Default Known Flow Node","Known Flow","599520.679290","141849.565809","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002095","Nodes","5002095","21.000000","27.028662","DDS demands","Known Flow","599508.304287","141824.690802","","0.000000","","","","","","","-20.009999","","","","","","","","","-17.893300","-20.009999","","","","","","","","","D1 PROFILE","","","","","","","",""
