"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"96114105511117","Nodes","-421970","21.000000","32.118328","DDS demands","Known Flow","607024.495000","153720.075000","","0.000000","","","","-5.110000","","-4.569453","-5.110000","","","","","","D1 PROFILE",""
"96114105511119","Nodes","-421974","21.000000","31.691356","Default Known Flow Node","Known Flow","607077.495000","153744.450000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511132","Nodes","-429524","21.000000","31.589528","Default Known Flow Node","Known Flow","607100.120000","153581.950000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511120","Nodes","-421977","21.000000","31.895730","Default Known Flow Node","Known Flow","607112.120000","153715.325000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511094","Nodes","5511094","21.000000","31.859670","DDS demands","Known Flow","607170.245000","153700.325000","","0.000000","","","","-5.099999","","-4.560511","-5.099999","","","","","","D1 PROFILE",""
"96114105511095","Nodes","5511095","21.000000","31.713671","DDS demands","Known Flow","607179.745000","153736.450000","","0.000000","","","","-5.409999","","-4.837718","-5.409999","","","","","","D1 PROFILE",""
"96114105511121","Nodes","-421980","21.000000","31.713671","Default Known Flow Node","Known Flow","607182.370000","153746.200000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511135","Nodes","-429528","21.000000","31.995852","Default Known Flow Node","Known Flow","607204.120000","153630.700000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511134","Nodes","-429527","21.000000","31.962903","Default Known Flow Node","Known Flow","607201.745000","153633.075000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511138","Nodes","-429532","21.000000","31.864008","Default Known Flow Node","Known Flow","607211.370000","153674.950000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511089","Nodes","5511089","21.000000","32.000015","DDS demands","Known Flow","607204.995000","153631.325000","","0.000000","-7.050000","","","-7.369999","","-12.894622","-14.420000","","","C1 PROFILE","","","D1 PROFILE",""
"96114105511088","Nodes","5511088","21.000000","34.788778","DDS demands","Known Flow","607496.745000","153653.950000","","0.000000","","","","-3.299999","","-2.950918","-3.299999","","","","","","D1 PROFILE",""
"96114105511092","Nodes","5511092","21.000000","31.898551","DDS demands","Known Flow","607233.870000","153697.700000","","0.000000","","","","-5.059999","","-4.524742","-5.059999","","","","","","D1 PROFILE",""
"96114105511139","Nodes","-429534","21.000000","31.898551","Default Known Flow Node","Known Flow","607247.370000","153723.575000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511093","Nodes","5511093","21.000000","31.695601","DDS demands","Known Flow","607288.620000","153694.575000","","0.000000","","","","-2.759999","","-2.468041","-2.759999","","","","","","D1 PROFILE",""
"96114105511141","Nodes","-429537","21.000000","31.687211","DDS demands","Known Flow","607300.745000","153704.325000","","0.000000","","","","-1.919999","","-1.716898","-1.919999","","","","","","D1 PROFILE",""
"96114105511140","Nodes","-429535","21.000000","31.731126","DDS demands","Known Flow","607269.745000","153679.950000","","0.000000","","","","-2.009999","","-1.797377","-2.009999","","","","","","D1 PROFILE",""
"96114105511142","Nodes","-429547","21.000000","34.553077","Default Known Flow Node","Known Flow","607606.245000","153661.450000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511004","Nodes","BAGHAM LANE DG, Site ID 266,","21.000000","34.999999","Default Known Pressure Node","Known Pressure","607511.120000","153644.950000","","1744.000021","","","","","","288.251100","322.349997","","","","","","",""
"96114105511079","Nodes","P14133647, ASHFORD ROAD CSEP, 30.65 SCMH","24.000000","34.517311","CSEP Unmatched","Known Flow","607670.495000","153686.825000","","0.000000","","","","-2.119999","-30.649999","-29.303519","-32.769998","","","","","","D1 PROFILE","DC PROFILE"
"96114105511143","Nodes","-429549","21.000000","34.300394","DDS demands","Known Flow","607783.870000","153758.450000","","0.000000","","","","-2.519999","","-2.253428","-2.519999","","","","","","D1 PROFILE",""
"96114105511146","Nodes","-991001","21.000000","23.043612","Default Known Flow Node","Known Flow","606625.307500","153565.075000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511153","Nodes","-9991000","21.000000","22.559109","DDS demands","Known Flow","606613.057500","153576.543750","","0.000000","","","","-0.460000","","-0.411340","-0.460000","","","","","","D1 PROFILE",""
"96114105511145","Nodes","-991000","21.000000","22.735591","Default Known Flow Node","Known Flow","606710.120000","153616.559375","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511144","Nodes","-91000","21.000000","22.934424","DDS demands","Known Flow","606934.745000","153687.481250","","0.000000","","","","-2.359999","","-2.110354","-2.359999","","","","","","D1 PROFILE",""
