"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"96105600211868","Nodes","","21.000000","37.179096","DDS demands","Known Flow","598557.554028","141643.690753","","0.000000","","","","","-4.239999","","","","-3.791483","-4.239999","","","","","","","D1 PROFILE","","",""
"96105600211863","Nodes","","21.000000","37.192838","DDS demands","Known Flow","598541.804024","141633.565750","","0.000000","","","","","-2.529999","","","","-2.262371","-2.529999","","","","","","","D1 PROFILE","","",""
"96105600211869","Nodes","","21.000000","37.307484","DDS demands","Known Flow","598558.951381","141687.825176","","0.000000","","","","","-2.170000","","","","-1.940452","-2.170000","","","","","","","D1 PROFILE","","",""
"96105600211879","Nodes","","21.000000","37.286171","Default Known Flow Node","Known Flow","598580.054034","141668.815759","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211855","Nodes","","21.000000","36.388701","DDS demands","Known Flow","598501.304013","141684.815764","","0.000000","","","","","-15.359999","","","","-13.735186","-15.359999","","","","","","","D1 PROFILE","","",""
"96105600211872","Nodes","","21.000000","37.526283","Default Known Flow Node","Known Flow","598563.804030","141728.440776","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211876","Nodes","","21.000000","37.252629","DDS demands","Known Flow","598570.679032","141634.065750","","0.000000","","","","","-4.780000","","","","-4.274362","-4.780000","","","","","","","D1 PROFILE","","",""
"96105600211880","Nodes","","21.000000","37.285111","DDS demands","Known Flow","598582.054035","141669.815760","","0.000000","","","","","-1.869999","","","","-1.672187","-1.869999","","","","","","","D1 PROFILE","","",""
"96105600211881","Nodes","","21.000000","37.279727","Default Known Flow Node","Known Flow","598584.054035","141662.190758","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211886","Nodes","","21.000000","37.097245","DDS demands","Known Flow","598608.679042","141675.440761","","0.000000","","","","","-6.399999","","","","-5.722994","-6.399999","","","","","","","D1 PROFILE","","",""
"96105650021310","Nodes","","21.000000","37.722273","DDS demands","Known Flow","598593.429038","141732.065777","","0.000000","","","","","-10.410000","","","","-9.308808","-10.410000","","","","","","","D1 PROFILE","","",""
"96105600211883","Nodes","","21.000000","37.706139","Default Known Flow Node","Known Flow","598593.429038","141740.815779","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211885","Nodes","","21.000000","37.681379","DDS demands","Known Flow","598605.804041","141745.315780","","0.000000","","","","","-4.709999","","","","-4.211766","-4.709999","","","","","","","D1 PROFILE","","",""
"96105600211888","Nodes","","21.000000","39.126761","Default Known Flow Node","Known Flow","598627.554047","141928.565830","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600218515","Nodes","","21.000000","38.596877","Default Known Flow Node","Known Flow","598560.429029","141962.315839","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
