"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"90102802308025","Nodes","2308025",21.000000,53.188934,"DDS demands","Known Flow",557498.338856,163569.756719,,0.000000,,,,,,-12.119999,,,,,,,,-10.837920,-12.119999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800172881","Nodes","172881",21.000000,48.392592,"DDS demands","Known Flow",557084.607853,163572.536713,,0.000000,,,,,,-5.090000,,,,,,,,-4.551569,-5.090000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800172878","Nodes","172878",21.000000,48.370042,"DDS demands","Known Flow",557081.327377,163538.837274,,0.000000,,,,,,-2.419999,,,,,,,,-2.164007,-2.419999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102802308029","Nodes","2308029",21.000000,49.622820,"DDS demands","Known Flow",557161.432827,163604.574684,,0.000000,,,,,,-10.849999,,,,,,,,-9.702263,-10.849999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800256960","Nodes","256960",21.000000,52.285053,"DDS demands","Known Flow",557169.696789,163544.223078,,0.000000,,,,,,-6.320000,,,,,,,,-5.651457,-6.320000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800330735","Nodes","330735",21.000000,41.731652,"DDS demands","Known Flow",557189.755277,163951.620122,,0.000000,,,,,,-5.800000,,,,,,,,-5.186464,-5.800000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102802308027","Nodes","2308027",21.000000,64.452147,"DDS demands","Known Flow",557313.207763,163668.363301,,0.000000,,,,,,-3.940000,,,,,,,,-3.523218,-3.940000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800172910","Nodes","172910",21.000000,63.210503,"DDS demands","Known Flow",557321.320808,163723.292761,,0.000000,,,,,,-35.069999,,,,,,,,-31.360221,-35.069999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800172924","Nodes","172924",21.000000,55.186012,"Default Known Flow Node","Known Flow",557484.784853,163736.623764,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"90102802308022","Nodes","2308022",21.000000,48.128838,"DDS demands","Known Flow",557350.933244,163913.521670,,0.000000,,,,,,-10.859999,,,,,,,,-9.711205,-10.859999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800172923","Nodes","172923",21.000000,41.435046,"DDS demands","Known Flow",557479.848352,163914.588615,,0.000000,,,,,,-16.649999,,,,,,,,-14.888727,-16.649999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800172918","Nodes","172918",21.000000,55.932726,"DDS demands","Known Flow",557427.293200,163633.839979,,0.000000,,,,,,-7.139999,,,,,,,,-6.384715,-7.139999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800172928","Nodes","172928",21.000000,40.930335,"DDS demands","Known Flow",557506.225858,163984.946832,,0.000000,,,,,,-10.739999,,,,,,,,-9.603899,-10.739999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800172931","Nodes","172931",21.000000,40.824796,"DDS demands","Known Flow",557542.329868,163837.510792,,0.000000,,,,,,-9.679999,,,,,,,,-8.656029,-9.679999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102802308024","Nodes","2308024",21.000000,53.337278,"DDS demands","Known Flow",557523.148708,163738.931567,,0.000000,,,,,,-34.049998,,,,,,,,-30.448117,-34.049998,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102802308021","Nodes","2308021",21.000000,44.630779,"DDS demands","Known Flow",557357.186818,164016.569840,,0.000000,,,,,,-27.759999,,,,,,,,-24.823488,-27.759999,,,"",,,,,,"D1 PROFILE",,,,,,,,
