"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)"
"64403800227524","Nodes","227524",21.000000,33.282055,"Default Known Flow Node","Known Flow",272832.941508,701530.094702,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000085","Nodes","Northlea RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",272774.090380,701760.593165,,999998.967025,,,,,,,37.038505,41.419999,,"",,,,,,
"64403800227532","Nodes","227532",21.000000,32.977476,"DDS demands","Known Flow",272737.925387,701549.327782,,0.000000,-6.000000,,,,,,-5.365307,-6.000000,,"","C1 PROFILE",,,,,
"64403800227523","Nodes","227523",21.000000,33.261909,"DDS demands","Known Flow",272810.090390,701522.593100,,0.000000,,,-1.779999,,,,-1.591707,-1.779999,,"",,,"C3  PROFILE",,,
"64403800227522","Nodes","227522",21.000000,33.261909,"Default Known Flow Node","Known Flow",272809.090390,701519.968099,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000047","Nodes","47",21.000000,29.574862,"DDS demands","Known Flow",272550.286086,701541.495918,,0.000000,-3.190000,,,,-1.100000,,-3.836195,-4.290000,,"","C1 PROFILE",,,,"D1 PROFILE",
"64403800000048","Nodes","48",21.000000,29.282037,"DDS demands","Known Flow",272538.982814,701581.949193,,0.000000,,,-7.489999,,0.000000,,-6.697691,-7.489999,,"",,,"C3  PROFILE",,"D1 PROFILE",
"64403800000041","Nodes","41",21.000000,33.444127,"Default Known Flow Node","Known Flow",272852.368460,701508.795643,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000031","Nodes","31",21.000000,33.342416,"DDS demands","Known Flow",272831.465396,701514.843098,,0.000000,-0.349999,,0.000000,,-14.460000,,-13.243367,-14.810000,,"","C1 PROFILE",,"C3  PROFILE",,"D1 PROFILE",
"64403800227526","Nodes","227526",21.000000,33.116629,"DDS demands","Known Flow",272770.840379,701536.843104,,0.000000,,,,,-4.449999,,-3.979269,-4.449999,,"",,,,,"",
"64403800227525","Nodes","227525",21.000000,33.116629,"Default Known Flow Node","Known Flow",272769.715379,701533.093103,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800575823","Nodes","575823",21.000000,33.282055,"Default Known Flow Node","Known Flow",272831.965396,701525.468101,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800001002","Nodes","Logger 9346, Castle Hill",21.000000,32.675215,"Val Log Cath","Known Flow",272721.216819,701417.048573,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800001000","Nodes","Logger 9157, Main Street",21.000000,33.403473,"Val Log Post","Known Flow",272844.729408,701510.363020,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000093","Nodes","93",21.000000,28.584329,"DDS demands","Known Flow",272415.215282,701264.858030,,0.000000,,,,,-2.980000,,-2.664769,-2.980000,,"",,,,,"D1 PROFILE",
"64403800001001","Nodes","1001",21.000000,29.109001,"DDS demands","Known Flow",272481.098300,701370.234059,,0.000000,,,,,-9.779999,,-8.745450,-9.779999,,"",,,,,"",
