"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64405100002005","Nodes","P12129625, FLINT CRESCENT CSEP,27.32 SCMH",22.999998,36.251913,"CSEP Unmatched","Known Flow",283696.230462,689578.290766,,0.000000,,,,,,,,,,,-27.319999,,-24.430033,-27.319999,,"",,,,,,,,,,,"DC PROFILE",
"64405100002030","Nodes","2030",21.000000,40.545972,"DDS demands","Known Flow",283541.650062,687016.839640,,0.000000,-13.749999,,,,,,,,,,,,-12.295496,-13.749999,,"","C1 PROFILE",,,,,,,,,,,
"64405100002053","Nodes","2053",21.000000,36.733562,"Default Known Flow Node","Known Flow",283682.250000,687168.375000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100000118","Nodes","118",21.000000,38.171600,"DDS demands","Known Flow",283576.880605,687154.335609,,0.000000,,,,,-11.209999,,,,,,,,-10.024182,-11.209999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100002050","Nodes","2050",21.000000,41.895494,"Default Known Flow Node","Known Flow",283613.204264,687121.883627,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100000114","Nodes","114",21.000000,41.650521,"DDS demands","Known Flow",283628.044132,687145.936459,,0.000000,-6.000000,,,,-6.090000,,,,,,,,-10.811094,-12.090000,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,,,
"64405100002051","Nodes","2051",21.000000,36.249361,"Default Known Flow Node","Known Flow",283699.686600,687134.947016,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100002063","Nodes","2063",21.000000,58.538883,"Default Known Flow Node","Known Flow",283682.875000,687241.250000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100002034","Nodes","2034",21.000000,58.538883,"Default Known Flow Node","Known Flow",283689.625000,687257.250000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100000167","Nodes","167",21.000000,58.452204,"DDS demands","Known Flow",283707.750000,687218.000000,,0.000000,,,,,-6.489999,,,,,,,,-5.803474,-6.489999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100002049","Nodes","2049",21.000000,35.979953,"Default Known Flow Node","Known Flow",283750.661861,687105.831584,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100000115","Nodes","115",21.000000,36.099756,"DDS demands","Known Flow",283681.000000,687103.875000,,0.000000,,,,,-8.729999,,,,,,,,-7.806521,-8.729999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000069","Nodes","69",21.000000,35.873025,"DDS demands","Known Flow",283732.708895,687076.716152,,0.000000,,,,,-7.409999,,,,,,,,-6.626154,-7.409999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100002037","Nodes","2037",21.000000,56.194174,"Default Known Flow Node","Known Flow",283856.875000,687227.500000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100000077","Nodes","77",21.000000,55.891153,"DDS demands","Known Flow",283863.006166,687279.614078,,0.000000,,,,,-11.379999,,,,,,,,-10.176199,-11.379999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100002042","Nodes","2042",21.000000,73.053946,"Default Known Flow Node","Known Flow",283165.731159,687503.500169,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100000052","Nodes","52",21.000000,73.874468,"DDS demands","Known Flow",283300.875000,687550.750000,,0.000000,,,,,-11.319999,,,,,,,,-10.122546,-11.319999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000051","Nodes","51",21.000000,74.216748,"DDS demands","Known Flow",283255.900712,687570.321676,,0.000000,,,,,-26.969998,,,,,,,,-24.117055,-26.969998,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000050","Nodes","50",21.000000,74.466603,"DDS demands","Known Flow",283232.319102,687585.316450,,0.000000,,,,,-5.700000,,,,,,,,-5.097042,-5.700000,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000166","Nodes","P00059345, MAIN STREET, PLEAN, 79.29",25.000000,74.727990,"CSEP DDS Matched","Known Flow",283205.686460,687617.457521,,0.000000,,,,,,-79.289997,,,,,,,-70.902537,-79.289997,,"",,,,,,"DC PROFILE",,,,,,
"64405100000107","Nodes","107",21.000000,67.186792,"DDS demands","Known Flow",283881.537921,688989.757723,,0.000000,,,,,-14.800000,,,,,,,,-13.234425,-14.800000,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000106","Nodes","106",21.000000,67.004889,"DDS demands","Known Flow",283871.179227,688970.699968,,0.000000,-9.330000,,,,,,,,,,,,-8.343053,-9.330000,,"","C1 PROFILE",,,,,,,,,,,
"64405100002000","Nodes","2000",21.000000,63.574165,"Default Known Flow Node","Known Flow",284008.442889,688992.284896,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100002027","Nodes","2027",21.000000,63.574165,"Default Known Flow Node","Known Flow",283993.954289,688972.161840,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100000044","Nodes","44",21.000000,70.495887,"DDS demands","Known Flow",283827.858451,689400.443313,,0.000000,-6.000000,,,,-1.159999,,,,,,,,-6.402600,-7.160000,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,,,
"64405100002072","Nodes","2072",21.000000,70.566268,"Default Known Flow Node","Known Flow",283834.378316,689376.707595,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100002024","Nodes","2024",21.000000,61.774943,"Default Known Flow Node","Known Flow",283955.547807,689092.199511,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100000031","Nodes","31",21.000000,61.774943,"DDS demands","Known Flow",283962.032246,689086.998450,,0.000000,,,,,-20.709999,,,,,,,,-18.519252,-20.709999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000002","Nodes","2",21.000000,74.153337,"DDS demands","Known Flow",283703.937482,689148.238354,,0.000000,,,,,-12.489999,,,,,,,,-11.168782,-12.489999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000001","Nodes","COWIE DG, Site ID 5585",21.000000,74.999996,"Default Known Pressure Node","Known Pressure",283687.711946,689110.957052,,999998.967025,,,,,,,,,,,,,944.794727,1056.559983,,"",,,,,,,,,,,,
"64405100000003","Nodes","3",21.000000,71.844706,"DDS demands","Known Flow",283836.155895,689050.530941,,0.000000,,,,,-17.379999,,,,,,,,-15.541506,-17.379999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000025","Nodes","25",21.000000,71.207620,"DDS demands","Known Flow",283802.295318,689276.643616,,0.000000,-6.110000,,,,-17.759999,,,,,,,,-21.344981,-23.870000,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,,,
"64405100002008","Nodes","2008",21.000000,71.207620,"Default Known Flow Node","Known Flow",283828.675728,689259.400178,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100000004","Nodes","4",21.000000,71.119346,"DDS demands","Known Flow",283870.977704,689092.490893,,0.000000,,,,,-32.099998,,,,,,,,-28.704394,-32.099998,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000030","Nodes","30",21.000000,70.791712,"DDS demands","Known Flow",283866.322629,689016.758270,,0.000000,,,,,-4.719999,,,,,,,,-4.220708,-4.719999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100002002","Nodes","2002",21.000000,61.711598,"Default Known Flow Node","Known Flow",283981.620656,689072.374689,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
