"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"64301100010593","Nodes","10593",21.000000,34.923581,"Default Known Flow Node","Known Flow",332509.176634,666644.014609,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100010423","Nodes","10423",21.000000,34.122728,"DDS demands","Known Flow",332493.815783,666464.974423,,0.000000,,,,,,,-2.170000,,,,,,-1.940452,-2.170000,,"",,,,,,,"D1 PROFILE",,,,,
"64301100000677","Nodes","677",21.000000,33.666516,"DDS demands","Known Flow",332484.328636,666373.649535,,0.000000,,,,,,,-14.210000,,,,,,-12.706836,-14.210000,,"",,,,,,,"D1 PROFILE",,,,,
"64301100010828","Nodes","10828",21.000000,33.620850,"Default Known Flow Node","Known Flow",332483.203012,666359.350517,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100000729","Nodes","729",21.000000,31.114718,"DDS demands","Known Flow",333352.391864,667082.148729,,0.000000,,,,,,,-12.649999,,,,,,-11.311855,-12.649999,,"",,,,,,,"D1 PROFILE",,,,,
"64301100010487","Nodes","10487",21.000000,33.598937,"DDS demands","Known Flow",332448.481618,666363.083533,,0.000000,,,,,,,-8.979999,,,,,,-8.030076,-8.979999,,"",,,,,,,"D1 PROFILE",,,,,
"64301100010402","Nodes","10402",21.000000,33.601255,"Default Known Flow Node","Known Flow",332478.728626,666359.835532,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100010426","Nodes","10426",21.000000,34.155284,"Default Known Flow Node","Known Flow",332492.003630,666477.012564,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100000619","Nodes","619",21.000000,30.613257,"DDS demands","Known Flow",333406.675879,667063.141723,,0.000000,,,,,,,-2.140000,,,,,,-1.913626,-2.140000,,"",,,,,,,"D1 PROFILE",,,,,
"64301100010716","Nodes","10716",21.000000,30.913886,"Default Known Flow Node","Known Flow",333368.127868,667083.030729,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100010714","Nodes","10714",21.000000,30.981111,"Default Known Flow Node","Known Flow",333368.042868,667078.067728,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100010445","Nodes","10445",21.000000,33.406879,"DDS demands","Known Flow",332415.585609,666371.097535,,0.000000,,,,,,,-10.459999,,,,,,-9.353518,-10.459999,,"",,,,,,,"D1 PROFILE",,,,,
"64301100010737","Nodes","10737",21.000000,27.240918,"Default Known Flow Node","Known Flow",333021.236774,667199.138760,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100010765","Nodes","10765",21.000000,33.309848,"Default Known Flow Node","Known Flow",332498.901632,666280.252510,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100010438","Nodes","10438",21.000000,30.536539,"Default Known Flow Node","Known Flow",333423.129947,667089.258298,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100000918","Nodes","918",21.000000,30.661604,"Default Known Flow Node","Known Flow",333388.182874,667070.125725,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100010736","Nodes","10736",21.000000,27.240918,"Default Known Flow Node","Known Flow",333018.174773,667195.606760,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100010711","Nodes","10711",21.000000,30.645774,"Default Known Flow Node","Known Flow",333386.771873,667065.934724,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001022","Nodes","1022",21.000000,37.971787,"DDS demands","Known Flow",333949.448384,667405.038864,,0.000000,,,,,,,-4.079999,,,,,,-3.648408,-4.079999,,"",,,,,,,"D1 PROFILE",,,,,
"64301100001023","Nodes","1023",21.000000,37.971787,"Default Known Flow Node","Known Flow",333939.799575,667378.019122,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001021","Nodes","1021",21.000000,38.014737,"Default Known Flow Node","Known Flow",333935.235023,667365.076806,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001019","Nodes","1019",21.000000,33.205483,"Default Known Flow Node","Known Flow",332174.919544,666273.629509,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100010628","Nodes","10628",21.000000,37.095597,"Default Known Flow Node","Known Flow",332934.047222,666590.398750,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100000008","Nodes","8",21.000000,39.137832,"Default Known Flow Node","Known Flow",332908.491793,666487.863112,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100010401","Nodes","10401",21.000000,39.196525,"Default Known Flow Node","Known Flow",332976.883930,666581.688365,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100000043","Nodes","43,",21.000000,33.268271,"Default Known Flow Node","Known Flow",332507.904519,666266.204908,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100000015","Nodes","15",21.000000,25.082372,"Default Known Flow Node","Known Flow",332798.003202,667481.100604,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100000016","Nodes","16",21.000000,25.183903,"Default Known Flow Node","Known Flow",332767.688382,667466.942222,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100000014","Nodes","P14134723, IRONMILLS ROAD CSEP, 13.48 SCMH",22.999998,24.361296,"CSEP Unmatched","Known Flow",332738.899431,667430.043692,,0.000000,,,,,,,,,,,,-13.480000,-12.054057,-13.480000,,"",,,,,,,,,,,,"DC PROFILE"
"64301100000017","Nodes","17",21.000000,24.784615,"Default Known Flow Node","Known Flow",332785.092710,667453.814830,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100000021","Nodes","21",21.000000,25.619005,"Default Known Flow Node","Known Flow",332940.467479,667489.663948,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100000045","Nodes","45",21.000000,25.607120,"Default Known Flow Node","Known Flow",332952.801121,667493.239161,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100000044","Nodes","44",21.000000,25.633612,"Default Known Flow Node","Known Flow",332953.682755,667483.040838,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100000007","Nodes","7",21.000000,33.286772,"Default Known Flow Node","Known Flow",332439.215611,666084.338405,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100000685","Nodes","685",21.000000,28.710119,"Default Known Flow Node","Known Flow",332927.114339,667038.762944,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100000002","Nodes","2",21.000000,43.804195,"Default Known Flow Node","Known Flow",333707.548470,667076.792840,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001030","Nodes","1030",21.000000,32.426938,"Default Known Flow Node","Known Flow",332297.356577,666232.833498,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001090","Nodes","1090",21.000000,31.994268,"Default Known Flow Node","Known Flow",332046.238508,666254.124503,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001091","Nodes","1091",21.000000,31.926143,"DDS demands","Known Flow",332024.487503,666386.882539,,0.000000,,,,,,,-4.150000,,,,,,-3.711004,-4.150000,,"",,,,,,,"D1 PROFILE",,,,,
"64301100001092","Nodes","1092",21.000000,31.981078,"Default Known Flow Node","Known Flow",332064.082513,666334.427525,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001095","Nodes","1095",21.000000,32.499261,"DDS demands","Known Flow",332230.694559,666223.231495,,0.000000,,,,,,,-13.080000,,,,,,-11.696370,-13.080000,,"",,,,,,,"D1 PROFILE",,,,,
"64301100001098","Nodes","1098",21.000000,37.116203,"Default Known Flow Node","Known Flow",332332.432586,666466.580561,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001099","Nodes","1099",21.000000,32.859001,"Default Known Flow Node","Known Flow",332122.686529,666213.948492,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001100","Nodes","1100",21.000000,32.986587,"DDS demands","Known Flow",332123.753530,666215.161493,,0.000000,,,,,,,-12.340000,,,,,,-11.034649,-12.340000,,"",,,,,,,"D1 PROFILE",,,,,
"64301100001101","Nodes","1101",21.000000,33.608246,"Default Known Flow Node","Known Flow",332230.200559,666332.182525,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001105","Nodes","1105",21.000000,33.371821,"Default Known Flow Node","Known Flow",332193.517549,666299.579516,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001106","Nodes","1106",21.000000,33.371821,"Default Known Flow Node","Known Flow",332177.731544,666312.333519,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001107","Nodes","1107",21.000000,31.726006,"DDS demands","Known Flow",332105.450525,666074.462454,,0.000000,,,,,,,-19.709998,,,,,,-17.625034,-19.709998,,"",,,,,,,"D1 PROFILE",,,,,
"64301100001110","Nodes","1110",21.000000,31.129459,"Default Known Flow Node","Known Flow",331941.898480,666311.024519,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001112","Nodes","1112",21.000000,31.256143,"Default Known Flow Node","Known Flow",331955.701359,666305.103998,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001113","Nodes","1113",21.000000,31.656997,"Default Known Flow Node","Known Flow",332051.458510,666120.178467,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
