"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64306400000332","Nodes","332",21.000000,32.205287,"DDS demands","Known Flow",306825.483551,667057.713949,,0.000000,,,,,-4.419999,,,,-3.952443,-4.419999,,"",,,,,"D1 PROFILE",,,
"64306400001160","Nodes","-417",21.000000,32.207299,"Default Known Flow Node","Known Flow",306824.849645,667056.583722,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000238","Nodes","238",21.000000,23.709724,"DDS demands","Known Flow",306750.224625,667163.833751,,0.000000,,,,,-2.039999,,,,-1.824204,-2.039999,,"",,,,,"D1 PROFILE",,,
"64306400001054","Nodes","-1462511",21.000000,25.341714,"Default Known Flow Node","Known Flow",306675.849605,667002.458707,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000230","Nodes","230",21.000000,25.278159,"DDS demands","Known Flow",306697.599611,666991.708704,,0.000000,,,,,-5.489999,,,,-4.909256,-5.489999,,"",,,,,"D1 PROFILE",,,
"64306400000235","Nodes","235",21.000000,24.395459,"DDS demands","Known Flow",306760.599628,667092.458731,,0.000000,,,,,-5.110000,,,,-4.569453,-5.110000,,"",,,,,"D1 PROFILE",,,
"64306400000236","Nodes","236",21.000000,24.411180,"DDS demands","Known Flow",306783.724634,667082.958729,,0.000000,,,,,-3.390000,,,,-3.031398,-3.390000,,"",,,,,"D1 PROFILE",,,
"64306400001157","Nodes","-401",21.000000,32.750293,"Default Known Flow Node","Known Flow",306816.224643,667003.458707,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400001066","Nodes","-1462576",21.000000,32.750293,"Default Known Flow Node","Known Flow",306826.224646,667001.333707,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400001050","Nodes","-1462483",21.000000,32.750293,"Default Known Flow Node","Known Flow",306808.974641,666991.333704,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
