"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64404500000919","Nodes","919,",21.000000,29.874918,"DDS demands","Known Flow",271806.243117,668487.812111,,0.000000,,,,-1.490000,,,,,-1.332384,-1.490000,,"",,,,"D1 PROFILE",,,,
"64404500007388","Nodes","7388,",21.000000,29.874918,"Default Known Flow Node","Known Flow",271804.868494,668485.155806,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001702","Nodes","1702,",21.000000,38.814624,"DDS demands","Known Flow",272626.723933,668237.219818,,0.000000,,,,-19.619999,,,,,-17.544556,-19.619999,,"",,,,"D1 PROFILE",,,,
"64404500002603","Nodes","2603,",21.000000,43.423384,"Default Known Flow Node","Known Flow",272727.532847,668203.015124,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500002604","Nodes","2604,",21.000000,43.254114,"DDS demands","Known Flow",272756.702169,668209.734581,,0.000000,,,,-10.459999,,,,,-9.353518,-10.459999,,"",,,,"D1 PROFILE",,,,
"64404500007436","Nodes","7436,",21.000000,38.843182,"Default Known Flow Node","Known Flow",272603.242397,668272.459300,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001700","Nodes","1700,",21.000000,38.781337,"DDS demands","Known Flow",272540.788316,668232.247042,,0.000000,,,,-3.459999,,,,,-3.093993,-3.459999,,"",,,,"D1 PROFILE",,,,
"64404500000906","Nodes","906,",21.000000,20.989841,"DDS demands","Known Flow",271175.798741,668868.406442,,0.000000,-6.000000,,,-3.349999,,,,,-8.360937,-9.350000,,"","C1 PROFILE",,,"D1 PROFILE",,,,
"64404500001756","Nodes","1756,",21.000000,22.397433,"DDS demands","Known Flow",271391.904004,668672.208161,,0.000000,,,,-11.439999,,,,,-10.229852,-11.439999,,"",,,,"D1 PROFILE",,,,
"64404500005957","Nodes","5957,",21.000000,21.423393,"DDS demands","Known Flow",271321.583138,668729.785781,,0.000000,,,,-8.839999,,,,,-7.904886,-8.839999,,"",,,,"D1 PROFILE",,,,
"64404500001723","Nodes","1723,",21.000000,21.824864,"DDS demands","Known Flow",271339.599819,668847.546382,,0.000000,,,,-10.520000,,,,,-9.407172,-10.520000,,"",,,,"D1 PROFILE",,,,
"64404500003331","Nodes","3331,",21.000000,22.034821,"DDS demands","Known Flow",271489.182030,668814.463200,,0.000000,,,,-15.120000,,,,,-13.520574,-15.120000,,"",,,,"D1 PROFILE",,,,
"64404500007384","Nodes","7384,",21.000000,22.035801,"Default Known Flow Node","Known Flow",271487.074030,668813.488200,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500005236","Nodes","5236,",21.000000,18.182178,"DDS demands","Known Flow",271487.103030,668929.596231,,0.000000,,,,-3.400000,,,,,-3.040340,-3.400000,,"",,,,"D1 PROFILE",,,,
"64404500007424","Nodes","MAXIMO, 802104",21.000000,17.614951,"Point Loads","Known Flow",271471.050025,668935.909233,,0.000000,,,,,,,-24.370001,,-21.792091,-24.370001,,"",,,,,,,"PL-AF PROFILE",
"64404500000900","Nodes","900,",21.000000,25.001575,"Default Known Flow Node","Known Flow",271449.082565,668581.328998,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007000","Nodes","7000,",21.000000,21.957349,"DDS demands","Known Flow",271388.294003,668757.263184,,0.000000,,,,-14.330000,,,,,-12.814142,-14.330000,,"",,,,"D1 PROFILE",,,,
"64404500005960","Nodes","5960,",21.000000,21.319809,"DDS demands","Known Flow",271195.564984,668786.798989,,0.000000,,,,-7.780000,,,,,-6.957015,-7.780000,,"",,,,"D1 PROFILE",,,,
"64404500007410","Nodes","7410,",21.000000,21.038452,"Default Known Flow Node","Known Flow",271177.920527,668861.040103,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500000937","Nodes","937,",21.000000,21.283770,"DDS demands","Known Flow",271211.679730,668758.619232,,0.000000,,,,-4.550000,,,,,-4.068691,-4.550000,,"",,,,"D1 PROFILE",,,,
"64404500003176","Nodes","3176,",21.000000,21.309868,"DDS demands","Known Flow",271250.705489,668760.275209,,0.000000,,,,-5.209999,,,,,-4.658875,-5.209999,,"",,,,"D1 PROFILE",,,,
"64404500000938","Nodes","938,",21.000000,21.504669,"DDS demands","Known Flow",271215.090898,668696.920537,,0.000000,,,,-3.800000,,,,,-3.398028,-3.800000,,"",,,,"D1 PROFILE",,,,
"64404500000934","Nodes","934,",21.000000,20.217009,"DDS demands","Known Flow",271097.715924,668581.875137,,0.000000,,,,-10.450000,,,,,-9.344577,-10.450000,,"",,,,"D1 PROFILE",,,,
"64404500001738","Nodes","1738,",21.000000,22.205848,"DDS demands","Known Flow",271275.647045,668620.455390,,0.000000,,,,-12.239999,,,,,-10.945226,-12.239999,,"",,,,"D1 PROFILE",,,,
"64404500007448","Nodes","7448,",21.000000,22.058992,"Default Known Flow Node","Known Flow",271235.798166,668600.261220,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007449","Nodes","7449,",21.000000,22.484826,"Default Known Flow Node","Known Flow",271287.503219,668603.547528,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001754","Nodes","1754,",21.000000,23.003301,"DDS demands","Known Flow",271325.966414,668589.297678,,0.000000,,,,-15.810000,,,,,-14.137584,-15.810000,,"",,,,"D1 PROFILE",,,,
"64404500007454","Nodes","7454,",21.000000,22.608751,"Default Known Flow Node","Known Flow",271391.919725,668679.892086,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001752","Nodes","1752,",21.000000,22.275711,"DDS demands","Known Flow",271400.952006,668740.437180,,0.000000,,,,-7.340000,,,,,-6.563559,-7.340000,,"",,,,"D1 PROFILE",,,,
"64404500002241","Nodes","2241,",21.000000,22.454067,"DDS demands","Known Flow",271295.412474,668701.979131,,0.000000,,,,-3.250000,,,,,-2.906208,-3.250000,,"",,,,"D1 PROFILE",,,,
"64404500007378","Nodes","7378,",21.000000,22.254247,"Default Known Flow Node","Known Flow",271400.098439,668741.571809,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007404","Nodes","7404,",21.000000,22.275711,"Default Known Flow Node","Known Flow",271402.501329,668741.335616,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001726","Nodes","1726,",21.000000,21.998509,"DDS demands","Known Flow",271432.922015,668863.320213,,0.000000,,,,-6.730000,,,,,-6.018086,-6.730000,,"",,,,"D1 PROFILE",,,,
"64404500001730","Nodes","1730,",21.000000,22.139153,"DDS demands","Known Flow",271450.663020,668831.728205,,0.000000,,,,-6.719999,,,,,-6.009144,-6.719999,,"",,,,"D1 PROFILE",,,,
"64404500003330","Nodes","3330,",21.000000,22.236582,"Default Known Flow Node","Known Flow",271463.307023,668802.329197,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500000925","Nodes","925,",21.000000,22.038427,"Default Known Flow Node","Known Flow",271484.564029,668812.251199,,0.000000,,,,0.000000,,,,,0.000000,0.000000,,"",,,,"D1 PROFILE",,,,
"64404500000928","Nodes","928,",21.000000,21.906034,"DDS demands","Known Flow",271469.876025,668858.852212,,0.000000,,,,-10.300000,,,,,-9.210445,-10.300000,,"",,,,"D1 PROFILE",,,,
"64404500000910","Nodes","910,",21.000000,20.594385,"DDS demands","Known Flow",271151.986939,668846.396209,,0.000000,,,,-1.169999,,,,,-1.046234,-1.169999,,"",,,,"D1 PROFILE",,,,
"64404500007447","Nodes","7447,",21.000000,22.083988,"Default Known Flow Node","Known Flow",271215.003260,668597.380248,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500003230","Nodes","3230,",21.000000,21.832325,"DDS demands","Known Flow",271183.548947,668631.425150,,0.000000,,,,-7.190000,,,,,-6.429426,-7.190000,,"",,,,"D1 PROFILE",,,,
"64404500007376","Nodes","7376,",21.000000,21.943171,"Default Known Flow Node","Known Flow",271351.537993,668732.310178,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007379","Nodes","7379,",21.000000,21.994939,"Default Known Flow Node","Known Flow",271389.788435,668755.276669,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007380","Nodes","7380,",21.000000,22.186681,"Default Known Flow Node","Known Flow",271451.135020,668766.718187,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007389","Nodes","7389,",21.000000,22.496579,"Default Known Flow Node","Known Flow",271412.888010,668714.518173,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001022","Nodes","1022,",21.000000,22.409298,"Default Known Flow Node","Known Flow",271435.292016,668812.828200,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001026","Nodes","1026,",21.000000,22.327576,"DDS demands","Known Flow",271487.716647,668662.183447,,0.000000,,,,-1.949999,,,,,-1.743724,-1.949999,,"",,,,"D1 PROFILE",,,,
"64404500007382","Nodes","7382,",21.000000,22.504780,"Default Known Flow Node","Known Flow",271473.760026,668772.987189,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007402","Nodes","7402,",21.000000,22.415819,"Default Known Flow Node","Known Flow",271475.635027,668773.949189,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007381","Nodes","7381,",21.000000,22.493651,"Default Known Flow Node","Known Flow",271475.356440,668768.310059,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007400","Nodes","7400,",21.000000,22.582601,"Default Known Flow Node","Known Flow",271472.909026,668767.381187,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007375","Nodes","7375,",21.000000,23.831302,"Default Known Flow Node","Known Flow",271496.827664,668708.581402,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007421","Nodes","7421,",21.000000,21.452173,"Default Known Flow Node","Known Flow",271553.431048,668916.053228,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001735","Nodes","1735,",21.000000,25.294061,"DDS demands","Known Flow",271517.535305,668650.226707,,0.000000,,,,-5.480000,,,,,-4.900314,-5.480000,,"",,,,"D1 PROFILE",,,,
"64404500007451","Nodes","7451,",21.000000,25.597209,"Default Known Flow Node","Known Flow",271521.738577,668639.474234,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500003260","Nodes","3260,",21.000000,26.187497,"Default Known Flow Node","Known Flow",271578.025626,668601.828530,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007442","Nodes","7442,",21.000000,27.611694,"Default Known Flow Node","Known Flow",271716.216092,668527.330122,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500005237","Nodes","5237,",21.000000,21.441537,"Default Known Flow Node","Known Flow",271552.153738,668918.737979,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500003261","Nodes","3261,",21.000000,27.747973,"DDS demands","Known Flow",271711.531826,668522.246170,,0.000000,,,,-1.409999,,,,,-1.260847,-1.409999,,"",,,,"D1 PROFILE",,,,
"64404500001017","Nodes","1017,",21.000000,32.233243,"DDS demands","Known Flow",271945.709136,668541.987150,,0.000000,,,,-10.039999,,,,,-8.977947,-10.039999,,"",,,,"D1 PROFILE",,,,
"64404500007396","Nodes","7396,",21.000000,26.196117,"Default Known Flow Node","Known Flow",271580.602055,668601.125142,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007392","Nodes","7392,",21.000000,24.738692,"Default Known Flow Node","Known Flow",271534.333043,668750.376183,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500003326","Nodes","3326,",21.000000,24.738692,"DDS demands","Known Flow",271535.725043,668748.125182,,0.000000,,,,-14.089999,,,,,-12.599530,-14.089999,,"",,,,"D1 PROFILE",,,,
"64404500007408","Nodes","7408,",21.000000,21.840838,"DDS demands","Known Flow",271611.216064,668852.526210,,0.000000,-4.679999,,,-2.730000,,,,,-6.626154,-7.409999,,"","C1 PROFILE",,,"D1 PROFILE",,,,
"64404500007426","Nodes","7426,",21.000000,21.805245,"DDS demands","Known Flow",271665.852057,668943.835314,,0.000000,,,,-4.559999,,,,,-4.077633,-4.559999,,"",,,,"D1 PROFILE",,,,
"64404500007403","Nodes","7403,",21.000000,23.736206,"Default Known Flow Node","Known Flow",271735.200097,668847.789209,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007407","Nodes","7407,",21.000000,23.736206,"Default Known Flow Node","Known Flow",271737.116098,668847.734209,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500000926","Nodes","926,",21.000000,21.186452,"DDS demands","Known Flow",271590.374058,668943.899235,,0.000000,,,,-1.290000,,,,,-1.153541,-1.290000,,"",,,,"D1 PROFILE",,,,
"64404500000927","Nodes","927,",21.000000,19.725742,"Default Known Flow Node","Known Flow",271566.548051,668982.089246,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500005235","Nodes","5235,",21.000000,18.722855,"DDS demands","Known Flow",271527.124041,668955.073238,,0.000000,,,,-8.369999,,,,,-7.484603,-8.369999,,"",,,,"D1 PROFILE",,,,
"64404500007399","Nodes","7399,",21.000000,25.480873,"Default Known Flow Node","Known Flow",271559.330049,668658.051157,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001018","Nodes","1018,",21.000000,25.805944,"Default Known Flow Node","Known Flow",271540.773044,668623.961148,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007441","Nodes","7441,",21.000000,27.805462,"Default Known Flow Node","Known Flow",271713.980658,668520.693554,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007452","Nodes","7452,",21.000000,25.698456,"Default Known Flow Node","Known Flow",271538.499044,668646.879154,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007390","Nodes","7390,",21.000000,21.452173,"Default Known Flow Node","Known Flow",271555.311048,668917.574228,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007395","Nodes","7395,",21.000000,27.611694,"Default Known Flow Node","Known Flow",271718.460093,668525.924122,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001024","Nodes","1024,",21.000000,25.048024,"DDS demands","Known Flow",271573.599053,668700.074169,,0.000000,,,,-16.330000,,,,,-14.602578,-16.330000,,"",,,,"D1 PROFILE",,,,
"64404500007455","Nodes","7455,",21.000000,24.917310,"Default Known Flow Node","Known Flow",271541.936483,668690.079047,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001732","Nodes","1732,",21.000000,23.802389,"DDS demands","Known Flow",271709.672090,668844.931208,,0.000000,,,,-12.649999,,,,,-11.311855,-12.649999,,"",,,,"D1 PROFILE",,,,
"64404500001731","Nodes","1731,",21.000000,23.891088,"DDS demands","Known Flow",271630.753069,668789.398193,,0.000000,,,,-12.340000,,,,,-11.034649,-12.340000,,"",,,,"D1 PROFILE",,,,
"64404500007397","Nodes","7397,",21.000000,23.891088,"Default Known Flow Node","Known Flow",271629.484069,668790.750194,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007413","Nodes","7413,",21.000000,23.802393,"Default Known Flow Node","Known Flow",271699.993088,668877.454217,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500005239","Nodes","5239,",21.000000,22.094837,"DDS demands","Known Flow",271551.895698,668896.692460,,0.000000,,,,-7.880000,,,,,-7.046437,-7.880000,,"",,,,"D1 PROFILE",,,,
"64404500007383","Nodes","7383,",21.000000,22.016075,"Default Known Flow Node","Known Flow",271500.936034,668789.246193,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007377","Nodes","7377,",21.000000,24.847870,"Default Known Flow Node","Known Flow",271518.946038,668740.318180,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500000929","Nodes","929,",21.000000,34.870551,"Default Known Flow Node","Known Flow",272178.437218,668594.602140,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001692","Nodes","1692,",21.000000,34.812762,"DDS demands","Known Flow",272174.050217,668596.315141,,0.000000,-3.859999,,,-9.079999,,,,,-11.571179,-12.939999,,"","C1 PROFILE",,,"D1 PROFILE",,,,
"64404500001691","Nodes","1691,",21.000000,34.531066,"Default Known Flow Node","Known Flow",272142.099649,668671.485319,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500000931","Nodes","931,",21.000000,31.040209,"Default Known Flow Node","Known Flow",272264.980581,668802.948320,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500000932","Nodes","932,",21.000000,30.828926,"Default Known Flow Node","Known Flow",272272.242574,668810.847868,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500000922","Nodes","922,",21.000000,29.342755,"Default Known Flow Node","Known Flow",272339.040262,668886.192220,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500000905","Nodes","905,",21.000000,28.807597,"Default Known Flow Node","Known Flow",272398.071887,668885.464506,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500000923","Nodes","923,",21.000000,33.069169,"DDS demands","Known Flow",272020.560282,668577.787494,,0.000000,,,,-5.870000,,,,,-5.249059,-5.870000,,"",,,,"D1 PROFILE",,,,
"64404500000924","Nodes","924,",21.000000,32.864565,"DDS demands","Known Flow",272066.334187,668517.869119,,0.000000,,,,-6.350000,,,,,-5.678283,-6.350000,,"",,,,"D1 PROFILE",,,,
"64404500001693","Nodes","1693,",21.000000,34.612530,"DDS demands","Known Flow",272158.266951,668597.702674,,0.000000,,,,-11.570000,,,,,-10.346101,-11.570000,,"",,,,"D1 PROFILE",,,,
"64404500007450","Nodes","7450,",21.000000,36.419034,"DDS demands","Known Flow",272669.522303,668848.948731,,0.000000,,,,-5.070000,,,,,-4.533684,-5.070000,,"",,,,"D1 PROFILE",,,,
"64404500007425","Nodes","7425,",21.000000,28.865150,"Default Known Flow Node","Known Flow",272400.584047,668938.567614,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007393","Nodes","7393,",21.000000,28.865150,"Default Known Flow Node","Known Flow",272404.428125,668935.405029,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500000942","Nodes","942,",21.000000,22.307817,"Default Known Flow Node","Known Flow",271447.993544,669013.966851,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500005238","Nodes","5238,",21.000000,22.022566,"DDS demands","Known Flow",271651.421220,669011.727659,,0.000000,,,,-19.149999,,,,,-17.124272,-19.149999,,"",,,,"D1 PROFILE",,,,
"64404500005231","Nodes","5231,",21.000000,22.744051,"Default Known Flow Node","Known Flow",271677.279685,669022.124701,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007429","Nodes","7429,",21.000000,21.671857,"Default Known Flow Node","Known Flow",271605.826782,669014.185580,,0.000000,,,,0.000000,,,,,0.000000,0.000000,,"",,,,"D1 PROFILE",,,,
"64404500007405","Nodes","7405,",21.000000,35.952969,"Default Known Flow Node","Known Flow",273268.640136,669338.472900,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007387","Nodes","7387,",21.000000,35.318628,"Default Known Flow Node","Known Flow",272896.947866,669831.765872,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500000915","Nodes","915,",21.000000,35.317379,"Default Known Flow Node","Known Flow",272891.261458,669841.605383,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500000914","Nodes","914,",21.000000,35.683417,"Default Known Flow Node","Known Flow",272912.065653,669802.409799,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007430","Nodes","7430,",21.000000,35.610825,"Default Known Flow Node","Known Flow",272905.067088,669798.327033,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007431","Nodes","7431,",21.000000,35.362091,"Default Known Flow Node","Known Flow",272885.249729,669837.946619,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007394","Nodes","7394,",21.000000,35.633530,"Default Known Flow Node","Known Flow",272907.732123,669792.829874,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001019","Nodes","1019,",21.000000,35.627218,"DDS demands","Known Flow",272802.579350,670130.180397,,0.000000,,,,-6.099999,,,,,-5.454729,-6.099999,,"",,,,"D1 PROFILE",,,,
"64404500001775","Nodes","1775,",21.000000,36.022890,"DDS demands","Known Flow",272577.822495,670376.117003,,0.000000,,,,-9.609999,,,,,-8.593433,-9.609999,,"",,,,"D1 PROFILE",,,,
"64404500001012","Nodes","1012,",21.000000,35.017728,"Default Known Flow Node","Known Flow",272688.544161,670484.715509,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001013","Nodes","1013,",21.000000,34.524601,"DDS demands","Known Flow",272666.368104,670522.765471,,0.000000,,,,-17.690000,,,,,-15.818715,-17.690000,,"",,,,"D1 PROFILE",,,,
"64404500007438","Nodes","7438,",21.000000,31.744916,"Default Known Flow Node","Known Flow",271890.635140,668518.301119,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007444","Nodes","7444,",21.000000,32.920127,"Default Known Flow Node","Known Flow",272006.618228,668574.025919,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007428","Nodes","7428,",21.000000,22.033191,"Default Known Flow Node","Known Flow",271651.705071,669011.118431,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500001703","Nodes","1703,",21.000000,38.211928,"DDS demands","Known Flow",272579.365179,668149.777508,,0.000000,,,,-14.730000,,,,,-13.171829,-14.730000,,"",,,,"D1 PROFILE",,,,
"64404500007398","Nodes","7398,",21.000000,38.255313,"Default Known Flow Node","Known Flow",272568.675324,668152.273020,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007433","Nodes","7433,",21.000000,39.108382,"Default Known Flow Node","Known Flow",272580.732327,668147.901019,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007434","Nodes","7434,",21.000000,39.240444,"Default Known Flow Node","Known Flow",272617.783821,668156.515829,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404500007427","Nodes","7427,",21.000000,39.081859,"Default Known Flow Node","Known Flow",272583.217328,668122.872012,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
