"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64303200020328","Nodes",,21.000000,24.606318,"Default Known Flow Node","Known Flow",324665.405500,641334.528723,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020351","Nodes","20351,",21.000000,24.339591,"DDS demands","Known Flow",324927.599571,641096.186658,,0.000000,,,,,,-4.079999,,,,,,,,-3.648408,-4.079999,,"",,,,,,"D1 PROFILE",,,,,,,
"64303200020281","Nodes",,21.000000,24.860864,"Default Known Flow Node","Known Flow",324554.913470,641093.054657,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020353","Nodes",,21.000000,24.606318,"Default Known Flow Node","Known Flow",324673.912502,641316.569718,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020354","Nodes",,21.000000,24.561316,"Default Known Flow Node","Known Flow",324683.429505,641298.915713,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020356","Nodes",,21.000000,27.411941,"Default Known Flow Node","Known Flow",324812.653540,641032.206640,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020357","Nodes",,21.000000,26.587012,"DDS demands","Known Flow",324712.885236,641042.212241,,0.000000,,,,,,-0.629999,,,,,,,,-0.563357,-0.629999,,"",,,,,,"D1 PROFILE",,,,,,,
"64303200020358","Nodes",,21.000000,26.585425,"DDS demands","Known Flow",324710.628512,641025.881639,,0.000000,,,,,,-1.019999,,,,,,,,-0.912102,-1.019999,,"",,,,,,"D1 PROFILE",,,,,,,
"64303200020359","Nodes",,21.000000,24.732436,"Default Known Flow Node","Known Flow",324555.861470,641053.021646,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020361","Nodes",,21.000000,25.075429,"Default Known Flow Node","Known Flow",324873.827557,641253.705701,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020362","Nodes",,21.000000,29.593504,"Default Known Flow Node","Known Flow",324951.658578,641020.297637,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020364","Nodes",,21.000000,28.961766,"Default Known Flow Node","Known Flow",325002.721592,641096.917658,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020786","Nodes",,21.000000,31.439501,"Default Known Flow Node","Known Flow",325037.990601,640994.094630,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020367","Nodes",,21.000000,36.458951,"Default Known Flow Node","Known Flow",325007.752593,641737.653832,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020368","Nodes",,21.000000,36.015373,"Default Known Flow Node","Known Flow",324980.970586,641551.917782,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020370","Nodes",,21.000000,39.048066,"Default Known Flow Node","Known Flow",325229.235654,639342.679181,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020405","Nodes",,21.000000,39.054082,"Default Known Flow Node","Known Flow",325230.872368,639361.916279,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020372","Nodes",,21.000000,39.191433,"DDS demands","Known Flow",325188.142642,639152.240129,,0.000000,,,,,,-4.460000,,,,,,,,-3.988211,-4.460000,,"",,,,,,"D1 PROFILE",,,,,,,
"64303200020373","Nodes",,21.000000,39.191433,"Default Known Flow Node","Known Flow",325175.938639,639131.595123,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020374","Nodes",,21.000000,39.252140,"Default Known Flow Node","Known Flow",325228.686653,639459.807212,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020375","Nodes",,21.000000,39.252140,"Default Known Flow Node","Known Flow",325225.519653,639459.484212,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020376","Nodes",,21.000000,39.738630,"Default Known Flow Node","Known Flow",325137.696629,639493.322222,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020378","Nodes",,21.000000,37.154492,"Default Known Flow Node","Known Flow",325553.582742,639275.639162,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020399","Nodes",,21.000000,37.154492,"Default Known Flow Node","Known Flow",325552.458847,639276.014480,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
