"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(TT)"
"624042-550150","Nodes","-550150",21.000000,33.761809,"Default Known Flow Node","Known Flow",261618.250000,673781.250000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-164746","Nodes","-164746",21.000000,33.761809,"Default Known Flow Node","Known Flow",261621.250000,673788.750000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-164745","Nodes","-164745",21.000000,33.773030,"Default Known Flow Node","Known Flow",261632.625000,673788.000000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"62404200000140","Nodes","140",21.000000,33.780797,"DDS demands","Known Flow",261640.500000,673787.500000,,0.000000,,,-12.433000,,,-11.117810,-12.433000,,,"",,,"D1 PROFILE",,,
"624042-550148","Nodes","-550148",21.000000,33.773030,"Default Known Flow Node","Known Flow",261634.125000,673806.875000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-164743","Nodes","-164743",21.000000,33.873822,"Default Known Flow Node","Known Flow",261685.125000,673784.625000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-550149","Nodes","-550149",21.000000,33.780797,"Default Known Flow Node","Known Flow",261641.250000,673805.750000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-164735","Nodes","-164735",21.000000,33.873822,"Default Known Flow Node","Known Flow",261683.375000,673765.375000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-550153","Nodes","-550153",21.000000,33.873822,"Default Known Flow Node","Known Flow",261676.875000,673765.125000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-164742","Nodes","-164742",21.000000,33.915064,"Default Known Flow Node","Known Flow",261722.000000,673781.750000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-164738","Nodes","-164738",21.000000,33.915064,"Default Known Flow Node","Known Flow",261721.625000,673774.750000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-550157","Nodes","-550157",21.000000,33.915064,"Default Known Flow Node","Known Flow",261724.250000,673774.750000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-550155","Nodes","-550155",21.000000,33.915064,"Default Known Flow Node","Known Flow",261719.375000,673775.000000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"62404200000136","Nodes","136",21.000000,73.110716,"DDS demands","Known Flow",261862.875000,673861.250000,,0.000000,,,-5.202000,,,-4.651721,-5.202000,,,"",,,"D1 PROFILE",,,
"62404200000057","Nodes","57",21.000000,30.752633,"DDS demands","Known Flow",262066.125000,673972.625000,,0.000000,,,-9.086000,,,-8.124864,-9.086000,,,"",,,"D1 PROFILE",,,
"624042-551818","Nodes","-551818",21.000000,30.709121,"Default Known Flow Node","Known Flow",262076.625000,673977.375000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"62404200000056","Nodes","56",21.000000,30.948047,"DDS demands","Known Flow",262104.625000,673959.375000,,0.000000,,,-11.935000,,,-10.672490,-11.935000,,,"",,,"D1 PROFILE",,,
"62404200000058","Nodes","58",21.000000,33.135338,"DDS demands","Known Flow",262134.000000,673933.125000,,0.000000,,,-3.569999,,,-3.192357,-3.569999,,,"",,,"D1 PROFILE",,,
"62404200000059","Nodes","59",21.000000,32.819620,"DDS demands","Known Flow",262185.000000,673952.750000,,0.000000,,,-8.204000,,,-7.336164,-8.204000,,,"",,,"D1 PROFILE",,,
"624042-173503","Nodes","-173503",21.000000,32.016741,"Default Known Flow Node","Known Flow",262099.125000,673925.875000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"62404200000050","Nodes","50",21.000000,33.115591,"DDS demands","Known Flow",262164.125000,673876.250000,,0.000000,,,-8.823000,,,-7.889684,-8.823000,,,"",,,"D1 PROFILE",,,
"62404200000044","Nodes","44",21.000000,32.372307,"DDS demands","Known Flow",262140.125000,673814.375000,,0.000000,,,-10.111000,,,-9.041437,-10.111000,,,"",,,"D1 PROFILE",,,
