"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"64306100000190","Nodes","190",21.000000,31.448092,"Default Known Flow Node","Known Flow",344140.173810,676545.521608,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000200","Nodes","200",21.000000,28.182474,"DDS demands","Known Flow",344438.300103,676550.782145,,0.000000,,-17.520000,,-15.666698,-17.520000,,"",,"D1 PROFILE",
"64306101462535","Nodes","-1462535",21.000000,29.819928,"Default Known Flow Node","Known Flow",343940.706441,676507.879283,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000059","Nodes","59",21.000000,30.685076,"DDS demands","Known Flow",344006.426134,676577.192394,,0.000000,,-12.520000,,-11.195608,-12.520000,,"",,"D1 PROFILE",
"64306100000191","Nodes","191",21.000000,31.349712,"DDS demands","Known Flow",344187.878872,676523.039898,,0.000000,,-2.570000,,-2.298140,-2.570000,,"",,"D1 PROFILE",
"64306100000036","Nodes","36",21.000000,31.182226,"DDS demands","Known Flow",344222.977888,676649.112018,,0.000000,,-9.079999,,-8.119498,-9.079999,,"",,"D1 PROFILE",
"64306100000038","Nodes","38",21.000000,30.550244,"DDS demands","Known Flow",344390.403735,676750.494874,,0.000000,,-8.989999,,-8.039018,-8.989999,,"",,"D1 PROFILE",
"64306100000196","Nodes","196",21.000000,29.189442,"DDS demands","Known Flow",344393.323897,676589.968574,,0.000000,,-7.570000,,-6.769229,-7.570000,,"",,"D1 PROFILE",
"64306100000058","Nodes","58",21.000000,31.415813,"DDS demands","Known Flow",344146.980276,676549.824173,,0.000000,,-23.870000,,-21.344981,-23.870000,,"",,"D1 PROFILE",
"64306100000192","Nodes","192",21.000000,31.229764,"DDS demands","Known Flow",344212.247303,676527.320814,,0.000000,,-1.109999,,-0.992581,-1.109999,,"",,"D1 PROFILE",
"64306100000193","Nodes","193",21.000000,31.223581,"DDS demands","Known Flow",344232.061175,676534.938371,,0.000000,,-3.180000,,-2.843613,-3.180000,,"",,"D1 PROFILE",
"64306100000194","Nodes","194",21.000000,30.605430,"DDS demands","Known Flow",344273.739697,676551.443879,,0.000000,,-4.159999,,-3.719946,-4.159999,,"",,"D1 PROFILE",
