"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"64304100000041","Nodes","-41",21.000000,37.036328,"DDS demands","Known Flow",357497.490000,638450.200000,,0.000000,,,,,-4.810000,,,,-4.301188,-4.810000,,"",,,,,"D1 PROFILE",,,
"64304100000039","Nodes","39",21.000000,38.411243,"DDS demands","Known Flow",357523.989047,638405.699810,,0.000000,,,,,-5.189999,,,,-4.640990,-5.189999,,"",,,,,"D1 PROFILE",,,
"64304100000015","Nodes","-15",21.000000,32.654702,"Default Known Flow Node","Known Flow",357506.740000,638177.700000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64304100000169","Nodes","169",21.000000,32.099235,"DDS demands","Known Flow",357426.865000,638136.325000,,0.000000,,,,,-11.130000,,,,-9.952645,-11.130000,,"",,,,,"D1 PROFILE",,,
"64304100000163","Nodes","163,",21.000000,35.899257,"DDS demands","Known Flow",357553.740000,638294.825000,,0.000000,,,,,-11.329999,,,,-10.131488,-11.329999,,"",,,,,"D1 PROFILE",,,
"64304100000164","Nodes","164",21.000000,35.735255,"DDS demands","Known Flow",357626.490000,638188.575000,,0.000000,,,,,-7.979999,,,,-7.135858,-7.979999,,"",,,,,"D1 PROFILE",,,
"64304100000002","Nodes","2, EARLSTON DG, Tel, Clocked, Site ID 6275",21.000000,39.000000,"Default Known Pressure Node","Known Pressure",357552.417449,638408.128926,,999998.967025,,,,,,,,,590.067564,659.869984,,"",,,,,,,,
"64304100000168","Nodes","168",21.000000,32.236674,"DDS demands","Known Flow",357474.115000,638097.575000,,0.000000,,,,,-8.260000,,,,-7.386240,-8.260000,,"",,,,,"D1 PROFILE",,,
"64304100000047","Nodes","47",21.000000,26.195094,"DDS demands","Known Flow",357211.489734,638691.449715,,0.000000,,,,,-11.669999,,,,-10.435522,-11.669999,,"",,,,,"D1 PROFILE",,,
"64304100000162","Nodes","162",21.000000,26.292625,"DDS demands","Known Flow",357284.615000,638621.200000,,0.000000,,,,,-3.250000,,,,-2.906208,-3.250000,,"",,,,,"D1 PROFILE",,,
"64304100000186","Nodes","186",21.000000,26.102466,"DDS demands","Known Flow",357110.740000,638745.700000,,0.000000,,,,,-4.380000,,,,-3.916674,-4.380000,,"",,,,,"D1 PROFILE",,,
"64304100000084","Nodes","-84",21.000000,26.188736,"DDS demands","Known Flow",357198.490000,638699.825000,,0.000000,,,,,-1.570000,,,,-1.403922,-1.570000,,"",,,,,"D1 PROFILE",,,
"64304101462490","Nodes","-1462490",21.000000,26.858654,"Default Known Flow Node","Known Flow",357302.240000,638729.450000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64304100000027","Nodes","27",21.000000,26.858654,"DDS demands","Known Flow",357296.115000,638728.450000,,0.000000,,,,,-3.940000,,,,-3.523218,-3.940000,,"",,,,,"D1 PROFILE",,,
"64304100000029","Nodes","29",21.000000,26.842814,"DDS demands","Known Flow",357162.115000,638799.950000,,0.000000,,,,,-7.550000,,,,-6.751345,-7.550000,,"",,,,,"D1 PROFILE",,,
"64304100000028","Nodes","28",21.000000,26.675826,"DDS demands","Known Flow",357242.990000,638754.075000,,0.000000,,,,,-5.599999,,,,-5.007620,-5.599999,,"",,,,,"D1 PROFILE",,,
"64304100000030","Nodes","30",21.000000,27.420902,"DDS demands","Known Flow",357249.990000,638833.575000,,0.000000,,,,,-7.649999,,,,-6.840766,-7.649999,,"",,,,,"D1 PROFILE",,,
"64304100000031","Nodes","31",21.000000,26.223512,"DDS demands","Known Flow",357348.240000,638655.450000,,0.000000,,,,,-7.269999,,,,-6.500963,-7.269999,,"",,,,,"D1 PROFILE",,,
"64304100000032","Nodes","32",21.000000,26.210353,"DDS demands","Known Flow",357379.240000,638662.700000,,0.000000,,,,,-5.290000,,,,-4.730413,-5.290000,,"",,,,,"D1 PROFILE",,,
"64304100000033","Nodes","33",21.000000,26.321857,"DDS demands","Known Flow",357360.490000,638600.700000,,0.000000,,,,,-13.810000,,,,-12.349149,-13.810000,,"",,,,,"D1 PROFILE",,,
"64304100000024","Nodes","24",21.000000,26.430730,"Default Known Flow Node","Known Flow",357276.497374,638582.726974,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64304100000045","Nodes","45",21.000000,26.503369,"DDS demands","Known Flow",357280.553375,638562.394968,,0.000000,,,,,-12.510000,,,,-11.186666,-12.510000,,"",,,,,"D1 PROFILE",,,
"64304100000046","Nodes","46",21.000000,26.429719,"DDS demands","Known Flow",357366.490000,638601.825000,,0.000000,,,,,-8.449999,,,,-7.556141,-8.449999,,"",,,,,"D1 PROFILE",,,
