"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-DC)"
"64303700000408","Nodes","408",21.000000,23.925362,"DDS demands","Known Flow",334431.130768,661078.440785,,0.000000,,,,,-4.510000,,,,-4.032922,-4.510000,,"",,,,,"D1 PROFILE",,,
"64303700000313","Nodes","313",21.000000,32.223166,"Default Known Flow Node","Known Flow",334528.324538,661261.332942,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000406","Nodes",,21.000000,34.627234,"DDS demands","Known Flow",334501.304991,661540.440125,,0.000000,,-18.000000,,,,,,,-16.095922,-18.000000,,"",,"C2 PROFILE",,,,,,
"64303700000385","Nodes","385",21.000000,26.707279,"DDS demands","Known Flow",334686.013484,661323.501500,,0.000000,,,,,-4.030000,,,,-3.603698,-4.030000,,"",,,,,"D1 PROFILE",,,
"64303700000386","Nodes","386",21.000000,26.494879,"DDS demands","Known Flow",334645.895652,661288.145758,,0.000000,,,,,-8.439999,,,,-7.547198,-8.439999,,"",,,,,"D1 PROFILE",,,
"64303700000300","Nodes","300",21.000000,30.702209,"DDS demands","Known Flow",334574.357196,661087.957098,,0.000000,,,,,-3.440000,,,,-3.076109,-3.440000,,"",,,,,"D1 PROFILE",,,
"64303700000308","Nodes","308",21.000000,27.998409,"Default Known Flow Node","Known Flow",334858.563532,661355.275177,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000375","Nodes","375",21.000000,28.804412,"DDS demands","Known Flow",334864.447643,661436.536264,,0.000000,,,,,-3.370000,,,,-3.013514,-3.370000,,"",,,,,"D1 PROFILE",,,
"64303700000426","Nodes",,21.000000,34.198258,"DDS demands","Known Flow",334536.578420,661519.702858,,0.000000,,,,,-4.659999,,,,-4.167055,-4.659999,,"",,,,,"D1 PROFILE",,,
"64303700000425","Nodes","425",21.000000,30.881348,"DDS demands","Known Flow",334682.179188,661456.452012,,0.000000,,,,,-1.570000,,,,-1.403922,-1.570000,,"",,,,,"D1 PROFILE",,,
"64303700000201","Nodes","201",21.000000,31.521504,"DDS demands","Known Flow",334645.994176,661479.089295,,0.000000,,,,,-18.870000,,,,-16.873891,-18.870000,,"",,,,,"D1 PROFILE",,,
"64303700000389","Nodes","389",21.000000,28.452965,"DDS demands","Known Flow",334893.692608,661390.841770,,0.000000,,,,,-9.899999,,,,-8.852757,-9.899999,,"",,,,,"D1 PROFILE",,,
"64303700000310","Nodes","310",21.000000,28.428678,"Default Known Flow Node","Known Flow",334751.059878,661428.692444,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000374","Nodes","374",21.000000,28.268251,"DDS demands","Known Flow",334881.482876,661367.126639,,0.000000,,,,,-3.469999,,,,-3.102936,-3.469999,,"",,,,,"D1 PROFILE",,,
"64303700000106","Nodes","106",21.000000,27.599550,"DDS demands","Known Flow",334832.396863,661339.329200,,0.000000,,,,,-8.120000,,,,-7.261049,-8.120000,,"",,,,,"D1 PROFILE",,,
"64303700000387","Nodes","387",21.000000,26.175259,"DDS demands","Known Flow",334657.718373,661330.490190,,0.000000,,,,,-10.119999,,,,-9.049484,-10.119999,,"",,,,,"D1 PROFILE",,,
"64303700000116","Nodes","116",21.000000,30.512543,"DDS demands","Known Flow",334635.949911,661134.429800,,0.000000,,,,,-5.010000,,,,-4.480031,-5.010000,,"",,,,,"D1 PROFILE",,,
"64303700000115","Nodes","115",21.000000,30.564646,"DDS demands","Known Flow",334536.225028,661155.401239,,0.000000,,,-4.179999,,-7.560000,,,,-9.376768,-10.486000,,"",,,"C4 PROFILE",,"D1 PROFILE",,,
"64303700000309","Nodes","309",21.000000,27.515170,"DDS demands","Known Flow",334892.234551,661270.742891,,0.000000,,,,,-5.579999,,,,-4.989735,-5.579999,,"",,,,,"D1 PROFILE",,,
"64303700000439","Nodes",,21.000000,38.593791,"Default Known Flow Node","Known Flow",334095.427066,661930.332327,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000437","Nodes","437",21.000000,38.673110,"DDS demands","Known Flow",334100.922023,661964.419855,,0.000000,,,,,-10.110000,,,,-9.040542,-10.110000,,"",,,,,"D1 PROFILE",,,
"64303700000378","Nodes","378",21.000000,35.427553,"DDS demands","Known Flow",334391.715288,661711.642063,,0.000000,,,,,-2.039999,,,,-1.824204,-2.039999,,"",,,,,"D1 PROFILE",,,
"64303700000383","Nodes",,0.000000,37.170922,"DDS demands","Known Flow",334265.212387,661894.000668,,0.000000,,-25.989999,,,,,,,-23.240723,-25.989999,,"",,"C2 PROFILE",,,,,,
"64303700000380","Nodes","380",21.000000,37.611179,"Default Known Flow Node","Known Flow",334350.638499,661956.916556,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000379","Nodes","379",21.000000,37.549563,"DDS demands","Known Flow",334274.654722,661938.159722,,0.000000,-10.010000,,,,-0.720000,,,,-9.594958,-10.730000,,"","C1 PROFILE",,,,"D1 PROFILE",,,
"64303700000340","Nodes",,21.000000,35.275802,"DDS demands","Known Flow",334645.287320,661877.937853,,0.000000,,,,,-11.230000,,,,-10.042066,-11.230000,,"",,,,,"D1 PROFILE",,,
"64303700000354","Nodes",,21.000000,34.392307,"DDS demands","Known Flow",334711.501680,661922.590347,,0.000000,,,,,-15.560000,,,,-13.914031,-15.560000,,"",,,,,"D1 PROFILE",,,
"64303700000360","Nodes",,21.000000,33.803162,"DDS demands","Known Flow",334560.688177,661868.122051,,0.000000,,,,,-8.339999,,,,-7.457777,-8.339999,,"",,,,,"D1 PROFILE",,,
"64303700000364","Nodes","364",21.000000,35.371798,"DDS demands","Known Flow",334546.489399,661832.647067,,0.000000,,,,,-15.890000,,,,-14.209122,-15.890000,,"",,,,,"D1 PROFILE",,,
"64303700000361","Nodes","361",21.000000,34.226933,"DDS demands","Known Flow",334589.293137,661824.451969,,0.000000,,,,,-0.639999,,,,-0.572299,-0.639999,,"",,,,,"D1 PROFILE",,,
"64303700000368","Nodes","368",21.000000,33.384234,"DDS demands","Known Flow",334704.147492,661637.122507,,0.000000,,,,,-1.389999,,,,-1.242962,-1.389999,,"",,,,,"D1 PROFILE",,,
"64303700000355","Nodes","355",21.000000,33.618830,"DDS demands","Known Flow",334785.380243,661856.505355,,0.000000,,,,,-11.770000,,,,-10.524945,-11.770000,,"",,,,,"D1 PROFILE",,,
"64303700000341","Nodes","341",21.000000,34.793837,"DDS demands","Known Flow",334667.392230,661851.188664,,0.000000,,,,,-4.880000,,,,-4.363783,-4.880000,,"",,,,,"D1 PROFILE",,,
"64303700000362","Nodes","P10124933, Bonnybank Road CSEP, -240.19SCMH",26.000000,33.251140,"CSEP DDS Matched","Known Flow",334851.607272,661880.157313,,0.000000,,,,,,-240.190004,,,-150.347540,-168.133008,,"",,,,,,"DC PROFILE",,
"64303700000363","Nodes","363",21.000000,33.428658,"DDS demands","Known Flow",334680.813140,661721.269000,,0.000000,,,,,-10.159999,,,,-9.085253,-10.159999,,"",,,,,"D1 PROFILE",,,
"64303700000377","Nodes","377",21.000000,33.274440,"DDS demands","Known Flow",334774.044169,661747.071358,,0.000000,,,,,-26.860000,,,,-24.018693,-26.860000,,"",,,,,"D1 PROFILE",,,
"64303700000369","Nodes","369",21.000000,31.960700,"DDS demands","Known Flow",334654.726262,661669.857968,,0.000000,,,,,-7.989999,,,,-7.144800,-7.989999,,"",,,,,"D1 PROFILE",,,
"64303700000366","Nodes","366",21.000000,32.949572,"DDS demands","Known Flow",334759.961662,661582.778034,,0.000000,,,,,-11.230000,,,,-10.042066,-11.230000,,"",,,,,"D1 PROFILE",,,
