"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"64307000000162","Nodes","162",21.000000,22.191464,"DDS demands","Known Flow",351955.111926,684177.963381,,0.000000,,-3.819999,,-7.659999,,,-10.265620,-11.479999,,"",,"C3  PROFILE",,"D1 PROFILE",,
"64307000000042","Nodes","42",21.000000,22.134177,"DDS demands","Known Flow",352008.736941,684206.838388,,0.000000,,,,-4.199999,,,-3.755715,-4.199999,,"",,,,"D1 PROFILE",,
"64307000000043","Nodes","43",21.000000,22.217737,"DDS demands","Known Flow",352060.486955,684121.088365,,0.000000,,,,-4.539999,,,-4.059749,-4.539999,,"",,,,"D1 PROFILE",,
"64307000000044","Nodes","44",21.000000,21.809311,"DDS demands","Known Flow",352315.862024,684491.213466,,0.000000,,,,-12.390000,,,-11.079359,-12.390000,,"",,,,"D1 PROFILE",,
"64307000000164","Nodes","164",21.000000,26.051809,"DDS demands","Known Flow",351478.673610,684052.680222,,0.000000,,,,-7.459999,,,-6.670865,-7.459999,,"",,,,"D1 PROFILE",,
"64307000000037","Nodes","37",21.000000,26.344802,"DDS demands","Known Flow",351333.111757,684353.588428,,0.000000,-2.009999,,,-9.639999,,,-10.417638,-11.649999,,"","C1 PROFILE",,,"D1 PROFILE",,
"64307000000047","Nodes","47",21.000000,26.784805,"DDS demands","Known Flow",351338.519194,684218.084924,,0.000000,-2.640000,,,,,,-2.360735,-2.640000,,"","C1 PROFILE",,,,,
"64307000001000","Nodes","1000",21.000000,22.374245,"DDS demands","Known Flow",351888.459611,684165.455316,,0.000000,,,,-13.569999,,,-12.134536,-13.569999,,"",,,,"D1 PROFILE",,
"64307000000039","Nodes","39",21.000000,24.174404,"DDS demands","Known Flow",351537.361812,684291.838412,,0.000000,,,,-4.019999,,,-3.594755,-4.019999,,"",,,,"D1 PROFILE",,
"64307000000040","Nodes","40",21.000000,23.407660,"DDS demands","Known Flow",351528.861810,684352.088428,,0.000000,,,,-14.680000,,,-13.127118,-14.680000,,"",,,,"D1 PROFILE",,
"64307000000027","Nodes","27",21.000000,24.615947,"Default Known Flow Node","Known Flow",351560.017877,684124.961964,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000000028","Nodes","28",21.000000,24.484865,"Default Known Flow Node","Known Flow",351522.986808,684142.088371,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000000045","Nodes","45",21.000000,21.886312,"DDS demands","Known Flow",352527.112082,684621.463501,,0.000000,,,,-2.480000,,,-2.217660,-2.480000,,"",,,,"D1 PROFILE",,
"64307000000046","Nodes","46",21.000000,22.235178,"DDS demands","Known Flow",352674.862122,684453.213455,,0.000000,,,,-2.150000,,,-1.922568,-2.150000,,"",,,,"D1 PROFILE",,
"64307000011768","Nodes",,21.000000,28.499848,"Default Known Flow Node","Known Flow",351407.539566,683939.155555,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000011770","Nodes","11770,",21.000000,26.793716,"DDS demands","Known Flow",351373.959768,683925.422312,,0.000000,,-30.959999,,,,,-27.684985,-30.959999,,"",,"C3  PROFILE",,,,
"64307000011769","Nodes",,21.000000,26.994164,"Default Known Flow Node","Known Flow",351379.105595,683926.264100,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307001462532","Nodes",,21.000000,28.753625,"Default Known Flow Node","Known Flow",351405.986777,683884.713301,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307001462507","Nodes",,21.000000,28.710653,"Default Known Flow Node","Known Flow",351426.486782,683899.838305,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000001158","Nodes",,21.000000,28.710653,"Default Known Flow Node","Known Flow",351427.611782,683897.213304,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000000005","Nodes",,21.000000,24.044818,"Default Known Flow Node","Known Flow",351100.111693,683693.838249,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307001462516","Nodes",,21.000000,27.987638,"Default Known Flow Node","Known Flow",351201.361721,683738.463261,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307001462527","Nodes",,21.000000,28.486999,"Default Known Flow Node","Known Flow",351408.486777,683940.088316,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000001035","Nodes",,21.000000,28.033910,"Default Known Flow Node","Known Flow",351367.365910,684027.459169,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000001043","Nodes",,21.000000,22.071209,"Default Known Flow Node","Known Flow",351894.111909,684258.088402,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000001036","Nodes",,21.000000,25.062132,"Default Known Flow Node","Known Flow",351537.736812,684059.088348,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000001046","Nodes",,21.000000,22.032731,"Default Known Flow Node","Known Flow",352099.861965,684291.963412,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000001033","Nodes",,21.000000,25.149516,"Default Known Flow Node","Known Flow",351372.041834,684021.071753,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000001034","Nodes",,21.000000,28.067368,"Default Known Flow Node","Known Flow",351371.509998,684022.353223,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000001024","Nodes",,21.000000,29.076007,"Default Known Flow Node","Known Flow",351384.486771,683853.213292,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307001462472","Nodes",,21.000000,27.974767,"Default Known Flow Node","Known Flow",351376.044502,684024.616182,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000000074","Nodes",,21.000000,24.367471,"Default Known Flow Node","Known Flow",351551.036764,684177.875374,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000000075","Nodes",,21.000000,24.367471,"Default Known Flow Node","Known Flow",351596.050828,684187.715383,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000000083","Nodes",,21.000000,28.031245,"Default Known Flow Node","Known Flow",351211.532724,683715.839255,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000000089","Nodes",,21.000000,28.503924,"Default Known Flow Node","Known Flow",351408.211303,683937.824076,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000000093","Nodes",,21.000000,27.987741,"Default Known Flow Node","Known Flow",351206.579722,683741.532262,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000000095","Nodes",,21.000000,28.506351,"Default Known Flow Node","Known Flow",351260.320737,683773.421271,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000000105","Nodes",,21.000000,22.551656,"Default Known Flow Node","Known Flow",351852.824898,684097.014359,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000000108","Nodes",,21.000000,22.551656,"Default Known Flow Node","Known Flow",351855.736899,684097.735359,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000000106","Nodes",,21.000000,22.551656,"Default Known Flow Node","Known Flow",351836.774894,684155.949375,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000000109","Nodes",,21.000000,22.551656,"Default Known Flow Node","Known Flow",351968.788930,684121.970365,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64307000000110","Nodes",,21.000000,22.551656,"Default Known Flow Node","Known Flow",351781.306879,684081.822354,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
