"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64303400002311","Nodes","2311",21.000000,27.520104,"Default Known Flow Node","Known Flow",354093.237508,634012.949730,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000256","Nodes","256",21.000000,37.186472,"Default Known Flow Node","Known Flow",354418.906475,634199.209272,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002338","Nodes","2338",21.000000,35.912112,"Default Known Flow Node","Known Flow",354369.987583,634108.074756,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000117","Nodes","117",21.000000,35.111599,"DDS demands","Known Flow",354333.737573,634122.449760,,0.000000,-22.030001,,,,,,,,,,-19.699622,-22.030001,,"","C1 PROFILE",,,,,,,,,
"64303400002292","Nodes","2292",21.000000,37.298989,"Default Known Flow Node","Known Flow",354354.362579,634168.074772,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002336","Nodes","2336",21.000000,37.704171,"Default Known Flow Node","Known Flow",354390.487589,634172.949774,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002312","Nodes","2312",21.000000,37.500281,"Default Known Flow Node","Known Flow",354390.237589,634178.949775,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000281","Nodes","281",21.000000,36.246924,"DDS demands","Known Flow",354716.237677,634010.949730,,0.000000,-5.179999,,-40.369998,,,-4.460000,,,,,-44.719834,-50.009999,,"","C1 PROFILE",,"C3  PROFILE",,,"D1 PROFILE",,,,
"64303400000303","Nodes","303",21.000000,33.389473,"DDS demands","Known Flow",354800.362700,634348.324822,,0.000000,,,,,,-6.429999,,,,,-5.749820,-6.429999,,"",,,,,,"D1 PROFILE",,,,
"64303400002282","Nodes","2282",21.000000,33.931219,"Default Known Flow Node","Known Flow",354777.987694,634279.949803,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002332","Nodes","2332",21.000000,31.297948,"DDS demands","Known Flow",354522.862625,634024.949734,,0.000000,,-6.000000,,,,,,,,,-5.365307,-6.000000,,"",,"C2 PROFILE",,,,,,,,
"64303400000228","Nodes","228",21.000000,35.870247,"DDS demands","Known Flow",354568.737637,634081.449749,,0.000000,,,,,,-1.259999,,,,,-1.126714,-1.259999,,"",,,,,,"D1 PROFILE",,,,
"64303400000223","Nodes","223",21.000000,36.032839,"Default Known Flow Node","Known Flow",354587.915642,634116.804759,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000288","Nodes","288",21.000000,36.248124,"Default Known Flow Node","Known Flow",354539.602611,634142.881196,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000313","Nodes","313",21.000000,36.469085,"Default Known Flow Node","Known Flow",354509.998621,634156.282769,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000289","Nodes","289",21.000000,36.790201,"Default Known Flow Node","Known Flow",354557.987634,634199.449781,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002279","Nodes","2279",21.000000,36.511122,"Default Known Flow Node","Known Flow",354534.237628,634229.949789,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000290","Nodes","290",21.000000,36.511122,"DDS demands","Known Flow",354549.737632,634226.199788,,0.000000,-11.029999,,,,,,,,,,-9.863223,-11.029999,,"","C1 PROFILE",,,,,,,,,
"64303400000292","Nodes","292",21.000000,36.372682,"Default Known Flow Node","Known Flow",354556.237634,634252.949796,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000280","Nodes","280",21.000000,35.968109,"DDS demands","Known Flow",354622.487652,634094.699752,,0.000000,,,,,,-6.599999,,,,,-5.901837,-6.599999,,"",,,,,,"D1 PROFILE",,,,
"64303400000058","Nodes","58",21.000000,35.877147,"DDS demands","Known Flow",354584.112641,634030.199735,,0.000000,,,,,,-5.300000,,,,,-4.739355,-5.300000,,"",,,,,,"D1 PROFILE",,,,
"64303400000265","Nodes","265",21.000000,34.982833,"DDS demands","Known Flow",354744.987685,634088.324751,,0.000000,,,,,,-1.109999,,,,,-0.992581,-1.109999,,"",,,,,,"D1 PROFILE",,,,
"64303400000266","Nodes","266",21.000000,34.874291,"DDS demands","Known Flow",354782.987695,634078.824748,,0.000000,,,,,,-6.809999,,,,,-6.089623,-6.809999,,"",,,,,,"D1 PROFILE",,,,
"64303400000273","Nodes","273",21.000000,36.122321,"DDS demands","Known Flow",354729.987681,634022.324733,,0.000000,,,-13.439999,,,-0.610000,,,,,-12.563761,-14.049999,,"",,,"C3  PROFILE",,,"D1 PROFILE",,,,
"64303400002366","Nodes","2366",21.000000,36.030435,"Default Known Flow Node","Known Flow",354586.362642,634115.574758,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002353","Nodes","2353",21.000000,35.228106,"DDS demands","Known Flow",354712.112676,634102.449755,,0.000000,,,,,,-14.449999,,,,,-12.921448,-14.449999,,"",,,,,,"D1 PROFILE",,,,
"64303400000020","Nodes","20",21.000000,35.170946,"DDS demands","Known Flow",354712.987676,634112.324757,,0.000000,-10.580000,,,,,,,,,,-9.460826,-10.580000,,"","C1 PROFILE",,,,,,,,,
"64303400002234","Nodes","2234",21.000000,35.127429,"Default Known Flow Node","Known Flow",354706.987675,634155.324769,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002232","Nodes","2232",21.000000,35.074638,"Default Known Flow Node","Known Flow",354744.362685,634100.574754,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002368","Nodes","2368",21.000000,36.042246,"Default Known Flow Node","Known Flow",354563.924636,634128.143762,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002289","Nodes","2289",21.000000,36.042246,"Default Known Flow Node","Known Flow",354562.833368,634128.651381,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002285","Nodes","2285",21.000000,36.034310,"DDS demands","Known Flow",354587.163180,634117.184022,,0.000000,-6.000000,,,,,,,,,,-5.365307,-6.000000,,"","C1 PROFILE",,,,,,,,,
"64303400002316","Nodes","2316",21.000000,42.436727,"Default Known Flow Node","Known Flow",355104.237783,634014.824731,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000080","Nodes","80",21.000000,42.414823,"DDS demands","Known Flow",355099.737782,634017.449731,,0.000000,,,,,,-10.189999,,,,,-9.112080,-10.189999,,"",,,,,,"D1 PROFILE",,,,
"64303400002278","Nodes","2278",21.000000,42.239553,"Default Known Flow Node","Known Flow",355079.987776,634045.324739,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002276","Nodes","2276",21.000000,42.652617,"DDS demands","Known Flow",355244.237821,634054.324742,,0.000000,,,,,,-3.349999,,,,,-2.995629,-3.349999,,"",,,,,,"D1 PROFILE",,,,
"64303400000323","Nodes","323",21.000000,42.229670,"DDS demands","Known Flow",355080.987777,634066.574745,,0.000000,,,,,,-6.439999,,,,,-5.758763,-6.439999,,"",,,,,,"D1 PROFILE",,,,
"64303400002318","Nodes","2318",21.000000,41.538921,"DDS demands","Known Flow",355063.987772,634013.449730,,0.000000,,,,,,,,,-15.999999,,-14.307486,-15.999999,,"",,,,,,,,,"I2 PROFILE",
"64303400002294","Nodes","2294",21.000000,49.920675,"Default Known Flow Node","Known Flow",355857.372988,634137.720764,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000213","Nodes","213",21.000000,33.244982,"DDS demands","Known Flow",356210.392084,634244.096793,,0.000000,,,,,,-14.800000,,,,,-13.234425,-14.800000,,"",,,,,,"D1 PROFILE",,,,
