"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64404000000146","Nodes","146",21.000000,32.869059,"DDS demands","Known Flow",278548.652522,702538.884056,,0.000000,,,,,,-13.220000,,,,,,-11.821560,-13.220000,,"",,,,,,"D1 PROFILE",,,,,
"64404000000149","Nodes","149",21.000000,25.127822,"DDS demands","Known Flow",277890.552085,701308.815341,,0.000000,,,,,,-12.890000,,,,,,-11.526469,-12.890000,,"",,,,,,"D1 PROFILE",,,,,
"64404000000159","Nodes","159",21.000000,32.098812,"DDS demands","Known Flow",279189.087648,701269.459496,,0.000000,,,,,,-13.600000,,,,,,-12.161363,-13.600000,,"",,,,,,"D1 PROFILE",,,,,
"64404000000155","Nodes","155",21.000000,34.815380,"DDS demands","Known Flow",277592.944965,700874.749350,,0.000000,,,,,,-27.909998,,,,,,-24.957620,-27.909998,,"",,,,,,"D1 PROFILE",,,,,
"64404000000154","Nodes","154",21.000000,34.174751,"DDS demands","Known Flow",277639.798536,700946.441687,,0.000000,,,,,,-10.719999,,,,,,-9.586015,-10.719999,,"",,,,,,"D1 PROFILE",,,,,
"64404000000158","Nodes","158",21.000000,36.463143,"Default Known Flow Node","Known Flow",277723.749103,700764.975261,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000166","Nodes","166",21.000000,25.856619,"DDS demands","Known Flow",278308.459860,701810.462209,,0.000000,,,,,,-11.520000,,,,,,-10.301390,-11.520000,,"",,,,,,"D1 PROFILE",,,,,
"64404000000167","Nodes",,21.000000,31.779498,"Default Known Flow Node","Known Flow",278685.997374,701275.963507,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000165","Nodes","165",21.000000,28.146926,"DDS demands","Known Flow",278409.033283,701768.751364,,0.000000,,,,,,-10.930000,,,,,,-9.773801,-10.930000,,"",,,,,,"D1 PROFILE",,,,,
"64404000000168","Nodes","168",21.000000,31.580345,"DDS demands","Known Flow",278790.521103,701069.698282,,0.000000,,,,,,-7.179999,,,,,,-6.420484,-7.179999,,"",,,,,,"D1 PROFILE",,,,,
"64404000000169","Nodes","169",21.000000,31.791286,"DDS demands","Known Flow",278749.774178,701344.397170,,0.000000,,,,,,-11.300000,,,,,,-10.104662,-11.300000,,"",,,,,,"D1 PROFILE",,,,,
"64404000000170","Nodes",,21.000000,26.179769,"Default Known Flow Node","Known Flow",277901.767045,701285.641927,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000171","Nodes",,21.000000,26.179769,"Default Known Flow Node","Known Flow",277899.884194,701285.622716,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000172","Nodes",,21.000000,36.997443,"Default Known Flow Node","Known Flow",278916.413575,702425.309180,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000175","Nodes",,21.000000,38.719565,"Default Known Flow Node","Known Flow",278865.632925,702208.105371,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000173","Nodes",,21.000000,36.997443,"Default Known Flow Node","Known Flow",278917.067937,702423.956832,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000174","Nodes",,21.000000,38.720285,"Default Known Flow Node","Known Flow",278866.037220,702208.213598,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000177","Nodes",,21.000000,33.088320,"Default Known Flow Node","Known Flow",277320.809875,700758.401666,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000176","Nodes",,21.000000,26.821265,"Default Known Flow Node","Known Flow",277442.210027,701584.402838,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000178","Nodes","178",21.000000,30.704572,"Point Loads","Known Flow",278561.424741,701561.029656,,0.000000,,,,,,,,-10.100000,,,,0.000000,0.000000,,"",,,,,,,,"DM PROFILE",,,
