"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64401500000065","Nodes","65",21.000000,44.886618,"DDS demands","Known Flow",268046.839094,658544.081405,,0.000000,,,,,,,-31.239998,,,,,,,,-27.935366,-31.239998,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500001329","Nodes","1329",21.000000,42.868432,"Default Known Flow Node","Known Flow",268088.074843,658578.062717,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500000063","Nodes","63",21.000000,42.242927,"DDS demands","Known Flow",268100.839108,658588.581417,,0.000000,,,,,,,-32.950000,,,,,,,,-29.464480,-32.950000,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500001175","Nodes","1175",21.000000,37.426025,"DDS demands","Known Flow",271766.465106,654741.330371,,0.000000,,,,,,,-14.659999,,,,,,,,-13.109234,-14.659999,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500001328","Nodes","Logger 7020, 28 Burnblea Street",21.000000,38.953751,"Val Log Cath","Known Flow",271914.719645,654682.305851,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500000953","Nodes","953",21.000000,39.426794,"DDS demands","Known Flow",271953.590157,654666.830350,,0.000000,,,,,,,-28.669999,,,,,,,,-25.637226,-28.669999,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500001325","Nodes","1325",21.000000,23.972169,"Default Known Flow Node","Known Flow",269437.352472,655913.858690,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001327","Nodes","1327",21.000000,23.972169,"Default Known Flow Node","Known Flow",269437.027472,655904.221687,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001324","Nodes","1324",21.000000,23.823596,"Default Known Flow Node","Known Flow",269433.542471,655932.357695,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001326","Nodes","1326",21.000000,23.823596,"Default Known Flow Node","Known Flow",269433.688471,655943.356698,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001323","Nodes","1323",21.000000,23.972169,"Default Known Flow Node","Known Flow",269455.345477,655913.293690,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001322","Nodes","1322",21.000000,23.823596,"DDS demands","Known Flow",269454.433477,655927.915693,,0.000000,,,,,,,-8.619999,,,,,,,,-7.708158,-8.619999,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500001239","Nodes","1239",21.000000,24.096679,"DDS demands","Known Flow",269447.007475,655890.342683,,0.000000,,,,,,,-8.949999,,,,,,,,-8.003250,-8.949999,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500001321","Nodes","1321",21.000000,23.823596,"Default Known Flow Node","Known Flow",269444.295474,655948.810699,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001280","Nodes","1280",21.000000,24.658031,"DDS demands","Known Flow",269440.105179,655795.837669,,0.000000,,,,,,,-9.520000,,,,,,,,-8.512955,-9.520000,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500001320","Nodes","1320",21.000000,24.702228,"Default Known Flow Node","Known Flow",269421.160468,655786.278655,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001279","Nodes","1279",21.000000,24.491895,"Default Known Flow Node","Known Flow",269452.665673,655824.171182,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001286","Nodes","1286",21.000000,24.491895,"Default Known Flow Node","Known Flow",269432.358471,655817.077663,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001267","Nodes","1267",21.000000,24.347533,"DDS demands","Known Flow",269453.945477,655837.292669,,0.000000,,,,,,,-6.070000,,,,,,,,-5.427902,-6.070000,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500001281","Nodes","1281",21.000000,24.261942,"Default Known Flow Node","Known Flow",269436.163472,655851.253673,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001042","Nodes","1042",21.000000,25.231182,"Default Known Flow Node","Known Flow",269403.461463,655787.497655,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001090","Nodes","1090",21.000000,24.976305,"Default Known Flow Node","Known Flow",269363.439452,655901.644686,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001233","Nodes","1233",21.000000,24.821478,"DDS demands","Known Flow",269374.383455,655931.638695,,0.000000,,,,,,,-3.099999,,,,,,,,-2.772075,-3.099999,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500001230","Nodes","1230",21.000000,24.777343,"Default Known Flow Node","Known Flow",269397.317461,655949.516699,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001213","Nodes","1213",21.000000,25.069944,"Default Known Flow Node","Known Flow",269342.163673,655842.031661,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001212","Nodes","1212",21.000000,25.162692,"DDS demands","Known Flow",269350.770663,655808.119429,,0.000000,,,,,,,-31.169999,,,,,,,,-27.872772,-31.169999,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500001215","Nodes","1215",21.000000,25.162692,"Default Known Flow Node","Known Flow",269351.120449,655814.294663,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001110","Nodes","1110",21.000000,25.256777,"Default Known Flow Node","Known Flow",269366.159483,655801.491701,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001214","Nodes","1214",21.000000,25.256777,"Default Known Flow Node","Known Flow",269374.464455,655817.830664,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001058","Nodes","1058",21.000000,25.296872,"Default Known Flow Node","Known Flow",269372.098454,655797.137658,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001051","Nodes","1051",21.000000,25.272118,"Default Known Flow Node","Known Flow",269385.546276,655786.645804,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
