"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64403200000245","Nodes","245",21.000000,30.127983,"DDS demands","Known Flow",287340.635344,696970.393862,,0.000000,,,,,-3.759999,,,,-3.362259,-3.759999,,"",,,,,"D1 PROFILE",,,
"64403200000050","Nodes","50",21.000000,28.532813,"DDS demands","Known Flow",287503.149388,696940.360853,,0.000000,,,,,-8.660000,,,,-7.743927,-8.660000,,"",,,,,"D1 PROFILE",,,
"64403200000479","Nodes","479",21.000000,25.576216,"DDS demands","Known Flow",287527.399394,696791.896813,,0.000000,,,,,-3.450000,,,,-3.085051,-3.450000,,"",,,,,"D1 PROFILE",,,
"64403200005044","Nodes","5044",21.000000,25.577564,"Default Known Flow Node","Known Flow",287529.026178,696791.906732,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000070","Nodes","70",21.000000,27.655932,"Default Known Flow Node","Known Flow",287946.421508,696938.882853,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000223","Nodes","223",21.000000,27.833997,"DDS demands","Known Flow",287969.046515,696939.761853,,0.000000,,,,,-5.509999,,,,-4.927140,-5.509999,,"",,,,,"D1 PROFILE",,,
"64403200000363","Nodes","363",21.000000,24.979215,"DDS demands","Known Flow",287816.946473,696976.035863,,0.000000,,,,,-6.409999,,,,-5.731936,-6.409999,,"",,,,,"D1 PROFILE",,,
"64403200000414","Nodes","414",21.000000,23.644437,"DDS demands","Known Flow",287844.045481,696947.791855,,0.000000,,,,,-3.989999,,,,-3.567929,-3.989999,,"",,,,,"D1 PROFILE",,,
"64403200000425","Nodes","425",21.000000,22.930873,"DDS demands","Known Flow",287847.388482,696867.240833,,0.000000,,,,,-12.830000,,,,-11.472815,-12.830000,,"",,,,,"D1 PROFILE",,,
"64403200005055","Nodes","5055",21.000000,23.340257,"Default Known Flow Node","Known Flow",287837.432976,696915.154455,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005042","Nodes","5042",21.000000,27.699785,"Default Known Flow Node","Known Flow",287522.578393,696857.331831,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005046","Nodes","5046",21.000000,27.699785,"Default Known Flow Node","Known Flow",287532.599396,696857.550831,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005045","Nodes","5045",21.000000,28.532813,"Default Known Flow Node","Known Flow",287532.196396,696939.598853,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
