"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64301500001886","Nodes","1886",21.000000,43.272890,"DDS demands","Known Flow",297310.580772,575818.059461,,0.000000,-4.539999,,,-6.000000,,,-0.689999,,,,,,,-10.042066,-11.230000,,"","C1 PROFILE",,,"C4 PROFILE",,,"D1 PROFILE",,,,,,
"64301500001074","Nodes","1074",21.000000,43.486557,"Default Known Flow Node","Known Flow",297311.081889,575830.681800,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500000728","Nodes","728",21.000000,43.743410,"Default Known Flow Node","Known Flow",297318.972059,575866.808908,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500248223","Nodes","248223",21.000000,32.278732,"Default Known Flow Node","Known Flow",296147.846740,576286.059022,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500001073","Nodes","1073t",21.000000,31.867573,"Default Known Flow Node","Known Flow",296201.976109,576270.666135,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500002294","Nodes","2294",21.000000,31.569298,"Default Known Flow Node","Known Flow",296239.471765,576259.934015,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500001473","Nodes","1473",21.000000,26.253639,"Default Known Flow Node","Known Flow",296252.346769,575306.933756,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500001072","Nodes","1072",21.000000,26.253639,"Default Known Flow Node","Known Flow",296269.349698,575315.063103,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500000652","Nodes","652",21.000000,26.210104,"DDS demands","Known Flow",296338.971792,575348.683767,,0.000000,,,,,,,-28.760000,,,,,,,-25.717706,-28.760000,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001301","Nodes","1301",21.000000,36.002264,"DDS demands","Known Flow",295056.346443,577418.809330,,0.000000,,,,,,,-4.510000,,,,,,,-4.032922,-4.510000,,"",,,,,,,"D1 PROFILE",,,,,,
