"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"64400800002729","Nodes","2729",21.000000,28.721622,"DDS demands","Known Flow",261701.462367,652703.704816,,0.000000,,,,,,,-18.019999,,,,,,,,,,-16.113806,-18.019999,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800033386","Nodes","-1986",21.000000,33.935131,"Default Known Flow Node","Known Flow",262392.965300,653442.034729,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800001032","Nodes","1032",21.000000,33.935131,"Default Known Flow Node","Known Flow",262392.992462,653458.147544,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800004659","Nodes","4659",21.000000,33.846228,"Default Known Flow Node","Known Flow",262382.837552,653524.705040,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800001973","Nodes","1973, P07115083, Fortieth Avenue, 41.63scm/h",24.000000,36.243366,"CSEP DDS Matched","Known Flow",262139.962486,653359.704995,,0.000000,,,,,,,,-41.629999,,,,,,,,,-37.226290,-41.629999,,,"",,,,,,,,"DC PROFILE",,,,,,,,,
"64400800001031","Nodes","1031",21.000000,36.199081,"Default Known Flow Node","Known Flow",262146.934386,653376.148550,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800001974","Nodes","1974",21.000000,36.331952,"Default Known Flow Node","Known Flow",262141.837487,653442.455017,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800001691","Nodes","1691",21.000000,27.204982,"DDS demands","Known Flow",264956.213253,653107.704926,,0.000000,,,,,,,-12.210000,,,,,,,,,,-10.918401,-12.210000,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800001029","Nodes","Logger 5003, Colonsay",21.000000,27.293324,"Val Log Cath","Known Flow",264944.769128,653110.508737,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800001690","Nodes","1690",21.000000,27.990007,"DDS demands","Known Flow",264868.588229,653151.079938,,0.000000,,,,,,,-6.260000,,,,,,,,,,-5.597804,-6.260000,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800000252","Nodes","252",21.000000,29.721217,"DDS demands","Known Flow",262437.587567,654432.330287,,0.000000,,,,,,,-14.140000,,,,,,,,,,-12.644242,-14.140000,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
