"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"64400500010375","Nodes","10375",21.000000,32.380794,"DDS demands","Known Flow",290951.875000,677552.375000,,0.000000,,,,,-24.870001,,,,,,,,-22.239199,-24.870001,,,"",,,,,"D1 PROFILE",,,,,,,,
"64400500014316","Nodes","Logger 9732, Mayben View, Shieldhill Road",21.000000,32.153488,"Val Log Cath","Known Flow",291063.656250,677599.562500,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500010931","Nodes","10931",21.000000,31.828708,"Default Known Flow Node","Known Flow",291146.750000,677633.500000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500011007","Nodes","11007",21.000000,26.209685,"DDS demands","Known Flow",291388.125000,678894.750000,,0.000000,,,,-2.789999,-17.100000,,,,,,,,-17.785994,-19.890000,,,"",,,,"C4 PROFILE","D1 PROFILE",,,,,,,,
"64400500014318","Nodes","Logger 9579, 36 Westquarter Avenue",21.000000,26.817009,"Val Log Cath","Known Flow",291417.937500,678910.812500,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500011005","Nodes","11005 (C2 -74.47)",21.000000,27.412638,"DDS demands","Known Flow",291451.500000,678928.875000,,0.000000,,-74.469999,,,,,,,,,,,-66.592404,-74.469999,,,"",,"C2 PROFILE",,,,,,,,,,,
"64400500010548","Nodes","10548",21.000000,30.482528,"DDS demands","Known Flow",294111.250000,678304.375000,,0.000000,-2.609999,,,,-21.969998,,,,,,,,-21.979875,-24.579998,,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,,,,
"64400500014335","Nodes","14335",21.000000,30.480192,"Default Known Flow Node","Known Flow",294094.531250,678298.750000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500010557","Nodes","10557, ""233873"", Taymount Road, 54.0",26.000000,30.479275,"CSEP DDS Matched","Known Flow",294087.625000,678298.375000,,0.000000,,,,,-3.089999,-53.999997,,,,,,,-51.050899,-57.089999,,,"",,,,,"D1 PROFILE","DC PROFILE",,,,,,,
"64400500014324","Nodes","14324",21.000000,35.323749,"Default Known Flow Node","Known Flow",292030.250000,678258.000000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500010852","Nodes","10852",21.000000,34.593844,"DDS demands","Known Flow",292058.718750,678235.875000,,0.000000,,,,,-19.080000,,,,0.000000,,,,-17.061678,-19.080000,,,"",,,,,"D1 PROFILE",,,,"I2 PROFILE",,,,
"64400500001416","Nodes","1416",21.000000,34.345801,"Default Known Flow Node","Known Flow",292072.000000,678223.750000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500010994","Nodes","10994",21.000000,46.800785,"Default Known Flow Node","Known Flow",291791.250000,678915.250000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500014337","Nodes","14337",21.000000,51.159698,"Default Known Flow Node","Known Flow",291865.906250,678917.062500,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500010973","Nodes","10973",21.000000,53.893479,"Default Known Flow Node","Known Flow",291952.875000,678934.500000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500010993","Nodes","10993",21.000000,58.476126,"DDS demands","Known Flow",291960.750000,679064.500000,,0.000000,,,,,-18.959999,,,,,,,,-16.954371,-18.959999,,,"",,,,,"D1 PROFILE",,,,,,,,
"64400500010371","Nodes","10371",21.000000,37.516078,"DDS demands","Known Flow",291675.000000,678445.750000,,0.000000,,,,,-3.240000,,,,,,,,-2.897266,-3.240000,,,"",,,,,"D1 PROFILE",,,,,,,,
"644005-838","Nodes","-838",21.000000,41.499234,"Default Known Flow Node","Known Flow",291730.250000,678390.500000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500010039","Nodes","10039",21.000000,41.476701,"DDS demands","Known Flow",291730.625000,678390.125000,,0.000000,,,,,-1.919999,,,,,,,,-1.716898,-1.919999,,,"",,,,,"D1 PROFILE",,,,,,,,
"64400500000217","Nodes","217",21.000000,30.644196,"Default Known Flow Node","Known Flow",290879.250000,678868.750000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"644005-1462510","Nodes","-1462510",21.000000,30.731148,"Default Known Flow Node","Known Flow",290873.500000,678890.125000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500000203","Nodes","203",21.000000,30.217159,"DDS demands","Known Flow",290954.625000,678996.625000,,0.000000,,,,,-26.209998,,,,,,,,-23.437449,-26.209998,,,"",,,,,"D1 PROFILE",,,,,,,,
"64400500000211","Nodes","211",21.000000,29.748659,"DDS demands","Known Flow",290895.875000,678942.375000,,0.000000,,,,,-10.889999,,,,,,,,-9.738032,-10.889999,,,"",,,,,"D1 PROFILE",,,,,,,,
"644005-444","Nodes","-444",21.000000,30.217106,"Default Known Flow Node","Known Flow",290950.000000,678996.375000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500000212","Nodes","212",21.000000,30.414664,"DDS demands","Known Flow",291030.750000,678857.125000,,0.000000,,,,,-5.469999,,,,,,,,-4.891371,-5.469999,,,"",,,,,"D1 PROFILE",,,,,,,,
"64400500000208","Nodes","208",21.000000,29.777102,"DDS demands","Known Flow",291072.375000,678848.000000,,0.000000,,,,,-9.340000,,,,,,,,-8.351995,-9.340000,,,"",,,,,"D1 PROFILE",,,,,,,,
"64400500000207","Nodes","207",21.000000,29.837244,"DDS demands","Known Flow",291096.750000,678902.625000,,0.000000,,,,,-6.380000,,,,,,,,-5.705110,-6.380000,,,"",,,,,"D1 PROFILE",,,,,,,,
"644005-441","Nodes","-441",21.000000,30.050421,"Default Known Flow Node","Known Flow",291045.000000,678957.250000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"644005-1462693","Nodes","-1462693",21.000000,29.837244,"Default Known Flow Node","Known Flow",291110.250000,678883.625000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500000206","Nodes","206",21.000000,30.155805,"DDS demands","Known Flow",291044.625000,678995.625000,,0.000000,,,,,-16.190000,,,,,,,,-14.477388,-16.190000,,,"",,,,,"D1 PROFILE",,,,,,,,
"644005-1462983","Nodes","-1462983",21.000000,30.050421,"Default Known Flow Node","Known Flow",291049.000000,678927.125000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500000205","Nodes","205",21.000000,30.198921,"Default Known Flow Node","Known Flow",290855.125000,679010.000000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"644005-449","Nodes","-449",21.000000,30.198921,"Default Known Flow Node","Known Flow",290868.250000,679006.750000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"644005-1462568","Nodes","-1462568",21.000000,30.380797,"Default Known Flow Node","Known Flow",290795.250000,679080.625000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500000050","Nodes","50",21.000000,30.380797,"Default Known Flow Node","Known Flow",290795.125000,679083.000000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500000032","Nodes","32",21.000000,29.730035,"DDS demands","Known Flow",290830.125000,679457.625000,,0.000000,,,,,-4.829999,,,,,,,,-4.319072,-4.829999,,,"",,,,,"D1 PROFILE",,,,,,,,
"64400500000036","Nodes","36",21.000000,29.711741,"DDS demands","Known Flow",290820.625000,679411.625000,,0.000000,,,,,-6.690000,,,,,,,,-5.982318,-6.690000,,,"",,,,,"D1 PROFILE",,,,,,,,
"64400500000031","Nodes","31",21.000000,29.709000,"DDS demands","Known Flow",290790.750000,679465.625000,,0.000000,,,,,-7.989999,,,,,,,,-7.144800,-7.989999,,,"",,,,,"D1 PROFILE",,,,,,,,
"64400500000033","Nodes","33",21.000000,29.894833,"DDS demands","Known Flow",290880.375000,679448.125000,,0.000000,,,,,-11.499999,,,,,,,,-10.283505,-11.499999,,,"",,,,,"D1 PROFILE",,,,,,,,
"64400500000034","Nodes","34",21.000000,30.479682,"DDS demands","Known Flow",290934.125000,679437.875000,,0.000000,,-6.000000,,,-9.140000,,,,,,,,-13.538459,-15.140000,,,"",,"C2 PROFILE",,,"D1 PROFILE",,,,,,,,
"64400500000038","Nodes","38",21.000000,30.756747,"DDS demands","Known Flow",290917.250000,679363.875000,,0.000000,,,,,-11.159999,,,,,,,,-9.979471,-11.159999,,,"",,,,,"D1 PROFILE",,,,,,,,
"644005-492","Nodes","-492",21.000000,30.457754,"Default Known Flow Node","Known Flow",290932.250000,679438.250000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500000213","Nodes","213",21.000000,31.038503,"DDS demands","Known Flow",290993.500000,679317.375000,,0.000000,,,,,-6.699999,,,0.000000,,,,,-5.991259,-6.699999,,,"",,,,,"D1 PROFILE",,,"DM PROFILE",,,,,
"644005-472","Nodes","-472",21.000000,31.032908,"Default Known Flow Node","Known Flow",290993.750000,679315.125000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
"64400500000215","Nodes","215",21.000000,30.293986,"DDS demands","Known Flow",290792.125000,679220.500000,,0.000000,,,,,-6.749999,,,,,,,,-6.035970,-6.749999,,,"",,,,,"D1 PROFILE",,,,,,,,
"644005-1462703","Nodes","-1462703",21.000000,30.293986,"Default Known Flow Node","Known Flow",290792.125000,679222.625000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,
