"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82060300000225","Nodes","225",21.000000,51.990945,"DDS demands","Known Flow",480932.272022,96973.303597,,0.000000,,,,,-4.099999,,,,,,,-3.666293,-4.099999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000357","Nodes","357",21.000000,67.051364,"DDS demands","Known Flow",480552.115919,96746.443536,,0.000000,,,,,-3.359999,,,,,,,-3.004572,-3.359999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000355","Nodes","355",21.000000,62.487321,"Default Known Flow Node","Known Flow",480543.246916,96830.565559,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000354","Nodes","P07111080, Middleton Close Dev, 68.68",22.999998,61.303655,"CSEP DDS Matched","Known Flow",480576.896925,96809.178553,,0.000000,,,,,,-38.000000,,,,,,-33.980281,-38.000000,,"",,,,,,"DC PROFILE",,,,,
"82060300296387","Nodes",,0.000000,52.999272,"DDS demands","Known Flow",480881.179384,96812.777100,,0.000000,,,,,-8.539999,,,,,,,-7.636620,-8.539999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000226","Nodes","226",21.000000,50.323165,"DDS demands","Known Flow",481144.108080,96929.799586,,0.000000,,,,,-12.489999,,,,,,,-11.168782,-12.489999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000269","Nodes","269",21.000000,52.033702,"DDS demands","Known Flow",480051.443782,97152.039646,,0.000000,,,,,-9.710000,,,,,,,-8.682855,-9.710000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000263","Nodes","263",21.000000,59.285831,"DDS demands","Known Flow",480163.640813,96995.256603,,0.000000,,,,,-7.989999,,,,,,,-7.144800,-7.989999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000270","Nodes","270",21.000000,52.032173,"DDS demands","Known Flow",480062.670785,97177.440653,,0.000000,,,,,-0.899999,,,,,,,-0.804796,-0.899999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000265","Nodes","265",21.000000,57.820304,"DDS demands","Known Flow",480107.931798,97232.091668,,0.000000,,,,,-11.929999,,,,,,,-10.668019,-11.929999,,"",,,,,"D1 PROFILE",,,,,,
