"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"82011400000423","Nodes","423",21.000000,30.231124,"DDS demands","Known Flow",443850.974667,145905.130328,,0.000000,,,,,,-1.299999,,,,,-1.162483,-1.299999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000559","Nodes","559",21.000000,35.342879,"Default Known Flow Node","Known Flow",440276.751141,146375.061418,,0.000000,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,
"82011400000408","Nodes","408",21.000000,32.938716,"DDS demands","Known Flow",443775.703547,146443.545249,,0.000000,,,,,,-1.440000,,,,,-1.287673,-1.440000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000406","Nodes","406",21.000000,32.977766,"Default Known Flow Node","Known Flow",444070.578798,146348.586356,,0.000000,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,
"82011400000409","Nodes","409",21.000000,29.952707,"DDS demands","Known Flow",443798.603404,146533.286503,,0.000000,-7.170000,,-2.819999,,,-14.760000,,,,,-22.131892,-24.750000,,,"","C1 PROFILE",,"C3  PROFILE",,,"D1 PROFILE",,,,,
"82011400000357","Nodes","357",21.000000,44.628958,"DDS demands","Known Flow",446313.483988,147279.338670,,0.000000,,,,,,-7.979999,,,,,-7.135858,-7.979999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000052","Nodes","52",21.000000,49.573258,"DDS demands","Known Flow",446364.469941,147420.619022,,0.000000,,,,,,-9.209999,,,,,-8.235746,-9.209999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000004","Nodes","4, Winchester Street/Winchester Road DG, SW34D, Site 3796",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",446361.757593,147416.824386,,2239.999994,,,,,,,,,,,286.501892,320.393825,,,"",,,,,,,,,,,
"82011400000358","Nodes","358",21.000000,41.926883,"DDS demands","Known Flow",446221.588600,147057.015955,,0.000000,,,,,,-15.050000,,,,,-13.457979,-15.050000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000216","Nodes","216",21.000000,46.128932,"DDS demands","Known Flow",446327.744823,147314.486537,,0.000000,,,,,,-2.769999,,,,,-2.476983,-2.769999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000539","Nodes","539",21.000000,49.559421,"Default Known Flow Node","Known Flow",446357.096650,147378.114633,,0.000000,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,
"82011400000463","Nodes","463",21.000000,46.541519,"DDS demands","Known Flow",446688.920704,147490.435343,,0.000000,,,,,,-12.010000,,,,,-10.739556,-12.010000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000464","Nodes","464",21.000000,45.885200,"DDS demands","Known Flow",446715.296711,147367.659310,,0.000000,,,,,,-8.489999,,,,,-7.591909,-8.489999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000071","Nodes","71, P00109237, 30 MICHELDEVER ROAD, -21.51SCMH",24.000000,45.354709,"CSEP DDS Matched","Known Flow",446827.637986,147426.797911,,0.000000,,,,,,-13.229999,-21.510001,,,,-31.065131,-34.739999,,,"",,,,,,"D1 PROFILE","DC PROFILE",,,,
"82011400000213","Nodes","213",21.000000,43.440615,"DDS demands","Known Flow",446916.661740,147236.259909,,0.000000,,,,,,-3.240000,,,,,-2.897266,-3.240000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000214","Nodes","214",21.000000,43.341221,"DDS demands","Known Flow",446875.136709,147270.614669,,0.000000,,,,,,-4.169999,,,,,-3.728888,-4.169999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000639","Nodes","639",21.000000,43.308327,"DDS demands","Known Flow",447052.107803,147196.254263,,0.000000,,,,,,-9.130000,,,,,-8.164209,-9.130000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000627","Nodes","627, P07111828, PLOTS 1-61 WELLS LANE, CT 16 (-64.43)SCMH",25.000000,36.881027,"CSEP DDS Matched","Known Flow",445843.246113,147742.749828,,0.000000,0.000000,,,,,,-57.700002,,,,-51.596377,-57.700002,,,"","C1 PROFILE",,,,,,"DC PROFILE",,,,
"82011400001011","Nodes","1011",21.000000,36.304114,"DDS demands","Known Flow",445816.152467,147687.491397,,0.000000,-12.040000,,,,,,,,,,-10.766383,-12.040000,,,"","C1 PROFILE",,,,,,,,,,
"82011400000396","Nodes","396",21.000000,36.995578,"Default Known Flow Node","Known Flow",445873.474482,147745.796413,,0.000000,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,
"82011400000002","Nodes","2, Church Street/Wells Lane DG, SC37D, Site ID 3795",21.000000,37.000000,"Default Known Pressure Node","Known Pressure",445886.640486,147748.149414,,269.999998,,,,,,,,,,,147.114306,164.517304,,,"",,,,,,,,,,,
"82011400000117","Nodes","117",21.000000,42.570577,"DDS demands","Known Flow",446154.128559,147946.831468,,0.000000,-7.699999,,,,,-21.249999,,,,,-25.887607,-28.949998,,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,,
