"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"82009000000068","Nodes","68","21.000000","27.936404","DDS demands","Known Flow","460667.743508","86844.515841","","0.000000","","","","","-3.280000","","","-2.933034","-3.280000","","","","","","","D1 PROFILE","",""
"82009000000480","Nodes","-1462517","21.000000","26.807233","Default Known Flow Node","Known Flow","460585.026824","86637.062624","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000106","Nodes","106","21.000000","22.408330","DDS demands","Known Flow","460458.697451","87213.487942","","0.000000","","","","","-2.019999","","","-1.806320","-2.019999","","","","","","","D1 PROFILE","",""
"82009000000497","Nodes","","0.000000","22.473136","DDS demands","Known Flow","460543.368838","87246.666653","","0.000000","","","","","-6.740000","","","-6.027028","-6.740000","","","","","","","D1 PROFILE","",""
"82009000000013","Nodes","13","21.000000","22.055922","DDS demands","Known Flow","460298.081366","87447.691843","","0.000000","","","","","-6.030000","","","-5.392134","-6.030000","","","","","","","D1 PROFILE","",""
"82009000000483","Nodes","-1462529","21.000000","22.055922","Default Known Flow Node","Known Flow","460294.838406","87447.415005","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000499","Nodes","-92","21.000000","22.099781","Default Known Flow Node","Known Flow","460275.442112","87424.574678","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000012","Nodes","12","21.000000","21.975026","DDS demands","Known Flow","460393.969486","87466.617911","","0.000000","","","","","-8.850000","","","-7.913828","-8.850000","","","","","","","D1 PROFILE","",""
"82009000000014","Nodes","14","21.000000","22.089111","DDS demands","Known Flow","460401.709435","87416.384997","","0.000000","","","","","-7.820000","","","-6.992784","-7.820000","","","","","","","D1 PROFILE","",""
"82009000000016","Nodes","16","21.000000","22.195804","DDS demands","Known Flow","460417.557440","87362.381982","","0.000000","","","","","-1.779999","","","-1.591707","-1.779999","","","","","","","D1 PROFILE","",""
"82009000000015","Nodes","15","21.000000","22.131530","DDS demands","Known Flow","460308.039410","87377.758986","","0.000000","","","","","-2.499999","","","-2.235544","-2.499999","","","","","","","D1 PROFILE","",""
"82009000000019","Nodes","19","21.000000","22.208893","DDS demands","Known Flow","460422.536359","87351.702092","","0.000000","","","","","-5.659999","","","-5.061273","-5.659999","","","","","","","D1 PROFILE","",""
