"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"820009-110079","Nodes","-110079",21.000000,43.875123,"Default Known Flow Node","Known Flow",367753.343750,78665.867187,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900111000","Nodes","111000",21.000000,43.875123,"Default Known Flow Node","Known Flow",367732.093750,78650.671875,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900001484","Nodes","1484",21.000000,43.664580,"DDS demands","Known Flow",367752.906250,78679.796875,,0.000000,-39.119998,,-16.649999,,,,-4.659999,,,,,,,,,-54.037586,-60.429995,,"","C1 PROFILE",,"C3  PROFILE",,,,"D1 PROFILE",,,,,,,,
"820009-110106","Nodes","-110106",21.000000,42.818780,"Default Known Flow Node","Known Flow",367854.875000,78672.656250,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900001857","Nodes","1857",21.000000,42.776575,"DDS demands","Known Flow",367910.406250,78668.796875,,0.000000,-5.179999,,,-15.540000,,,-3.670000,,,,,,,,,-21.809973,-24.390000,,"","C1 PROFILE",,,"C4 PROFILE",,,"D1 PROFILE",,,,,,,,
"82000900000748","Nodes","748",21.000000,36.221770,"DDS demands","Known Flow",367930.406250,78535.296875,,0.000000,,,,,,,-36.000000,,,,,,,,,-32.191845,-36.000000,,"",,,,,,,"D1 PROFILE",,,,,,,,
"820009-110114","Nodes","-110114",21.000000,37.899570,"Default Known Flow Node","Known Flow",367996.218750,78552.210937,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900000746","Nodes","746",21.000000,37.972383,"DDS demands","Known Flow",367999.000000,78551.796875,,0.000000,,,,,,,-9.750000,,,,,,,,,-8.718624,-9.750000,,"",,,,,,,"D1 PROFILE",,,,,,,,
"82000900002082","Nodes","2082",21.000000,69.938232,"Default Known Flow Node","Known Flow",372376.406250,82735.023437,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900000005","Nodes","5, SHORTLAKE DRIVE, RRI",21.000000,70.000023,"Default Known Pressure Node","Known Pressure",372379.718750,82735.500000,,454.999992,,,,,,,,,,,,,,,,154.663907,172.959996,,"",,,,,,,,,,,,,,,
