"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82011800000086","Nodes","86",21.000000,25.138425,"Default Known Flow Node","Known Flow",439286.975690,119563.521744,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011800000092","Nodes","92",21.000000,25.105371,"DDS demands","Known Flow",439299.504693,119555.989742,,0.000000,,,,,-6.929999,,,,,,-6.196929,-6.929999,,"",,,,,"D1 PROFILE",,,,,
"82011800008044","Nodes","-3491",21.000000,25.103937,"Default Known Flow Node","Known Flow",439300.142126,119555.626560,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011800000194","Nodes",,21.000000,26.899507,"DDS demands","Known Flow",439003.244613,119876.282829,,0.000000,,,,,-3.849999,,,,,,-3.442738,-3.849999,,"",,,,,"D1 PROFILE",,,,,
"82011800000196","Nodes","196",21.000000,27.878436,"DDS demands","Known Flow",439102.010640,119899.684836,,0.000000,,,,,-8.499999,,,,,,-7.600851,-8.499999,,"",,,,,"D1 PROFILE",,,,,
"82011800000195","Nodes","195",21.000000,28.471652,"DDS demands","Known Flow",439075.225632,119873.706829,,0.000000,,,,,-9.750000,,,,,,-8.718624,-9.750000,,"",,,,,"D1 PROFILE",,,,,
"82011800008042","Nodes","-3480",21.000000,25.512846,"Default Known Flow Node","Known Flow",439226.885674,119598.809754,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011800000079","Nodes","79",21.000000,25.599231,"DDS demands","Known Flow",439234.015853,119606.371216,,0.000000,,,,,-14.979999,,,,,,-13.395383,-14.979999,,"",,,,,"D1 PROFILE",,,,,
"82011800000357","Nodes","357",21.000000,25.009083,"DDS demands","Known Flow",439362.760711,119525.184734,,0.000000,,,,,-5.929999,,,,,,-5.302711,-5.929999,,"",,,,,"D1 PROFILE",,,,,
"82011800000093","Nodes","93",21.000000,25.082974,"DDS demands","Known Flow",439289.898691,119536.482737,,0.000000,,,,,-1.190000,,,,,,-1.064119,-1.190000,,"",,,,,"D1 PROFILE",,,,,
"82011800000266","Nodes","266",21.000000,24.190563,"DDS demands","Known Flow",439024.385618,119639.809765,,0.000000,,,,,-4.159999,,,,,,-3.719946,-4.159999,,"",,,,,"D1 PROFILE",,,,,
"82011800008045","Nodes","-53699",21.000000,28.663190,"Default Known Flow Node","Known Flow",439026.929619,119830.107817,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011800000343","Nodes","343",21.000000,24.142908,"DDS demands","Known Flow",439037.260622,119607.934756,,0.000000,,,,,-4.530000,,,,,,-4.050807,-4.530000,,"",,,,,"D1 PROFILE",,,,,
"82011800008046","Nodes","-53702",21.000000,28.590559,"Default Known Flow Node","Known Flow",439056.656957,119864.166343,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011800000077","Nodes","77",21.000000,27.055949,"DDS demands","Known Flow",439313.764533,119689.930929,,0.000000,-9.039999,,,,-4.099999,,,,,,-11.750022,-13.139999,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,
"82011800000176","Nodes","176",21.000000,32.959786,"DDS demands","Known Flow",439489.510745,119611.684757,,0.000000,,,,,-9.270000,,,,,,-8.289400,-9.270000,,"",,,,,"D1 PROFILE",,,,,
"82011800000175","Nodes","175",21.000000,30.835674,"DDS demands","Known Flow",439478.635742,119619.809760,,0.000000,,,,,-6.139999,,,,,,-5.490497,-6.139999,,"",,,,,"D1 PROFILE",,,,,
