"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82007700000139","Nodes","139",21.000000,34.318193,"DDS demands","Known Flow",472420.586706,110490.173275,,0.000000,,,,-3.199999,,,,,,-2.861497,-3.199999,,"",,,,"D1 PROFILE",,,,,
"82007700008009","Nodes","8009",21.000000,34.124834,"Default Known Flow Node","Known Flow",472434.400710,110387.301247,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000164","Nodes","164",21.000000,41.642507,"DDS demands","Known Flow",472486.237861,110221.799243,,0.000000,,,,-10.159999,,,,,,-9.085253,-10.159999,,"",,,,"D1 PROFILE",,,,,
"82007700000143","Nodes","143",21.000000,34.053510,"DDS demands","Known Flow",472408.442703,110392.853249,,0.000000,,,,-8.729999,,,,,,-7.806521,-8.729999,,"",,,,"D1 PROFILE",,,,,
"82007700008008","Nodes","8008",21.000000,34.173424,"Default Known Flow Node","Known Flow",472422.618707,110432.901260,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000166","Nodes","166",21.000000,39.829321,"DDS demands","Known Flow",472521.894903,110229.214082,,0.000000,,,,-11.400000,,,,,,-10.194084,-11.400000,,"",,,,"D1 PROFILE",,,,,
"82007700000178","Nodes","178",21.000000,34.029847,"DDS demands","Known Flow",472556.186510,110117.621033,,0.000000,,,,-9.270000,,,,,,-8.289400,-9.270000,,"",,,,"D1 PROFILE",,,,,
"82007700000170","Nodes","170",21.000000,34.788552,"DDS demands","Known Flow",472567.403746,110349.743237,,0.000000,,,,-12.819999,,,,,,-11.463872,-12.819999,,"",,,,"D1 PROFILE",,,,,
"82007700000174","Nodes","174",21.000000,34.672542,"DDS demands","Known Flow",472680.908466,110212.257401,,0.000000,,,,-14.500000,,,,,,-12.966160,-14.500000,,"",,,,"D1 PROFILE",,,,,
"82007700008015","Nodes","8015",21.000000,36.962430,"Default Known Flow Node","Known Flow",472737.972600,110157.382735,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000071","Nodes","71",21.000000,37.114600,"DDS demands","Known Flow",472786.656136,110170.461244,,0.000000,,,,-8.229999,,,,,,-7.359412,-8.229999,,"",,,,"D1 PROFILE",,,,,
"82007700008016","Nodes","8016",21.000000,36.710368,"Default Known Flow Node","Known Flow",472780.714181,110444.238789,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000156","Nodes","156",21.000000,38.105284,"DDS demands","Known Flow",472930.313845,110253.768211,,0.000000,,,,-14.439999,,,,,,-12.912506,-14.439999,,"",,,,"D1 PROFILE",,,,,
"82007700000162","Nodes","162",21.000000,37.959007,"Default Known Flow Node","Known Flow",472865.637500,110405.715221,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700008017","Nodes","8017",21.000000,38.988099,"Default Known Flow Node","Known Flow",472964.248854,110340.201235,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000176","Nodes","176",21.000000,35.974968,"DDS demands","Known Flow",472570.660602,110173.809340,,0.000000,,,,-0.950000,,,,,,-0.849507,-0.950000,,"",,,,"D1 PROFILE",,,,,
"82007700000171","Nodes","171",21.000000,34.788552,"Default Known Flow Node","Known Flow",472556.678743,110370.646243,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700008014","Nodes","8014",21.000000,34.731310,"Default Known Flow Node","Known Flow",472642.199766,110259.917213,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
