"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"82006300001002","Nodes","1002","21.000000","26.207891","Default Known Flow Node","Known Flow","433096.571720","87612.513287","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000113","Nodes","113","21.000000","26.249698","DDS demands","Known Flow","433080.447084","87644.075535","","0.000000","","","","","","","-3.359999","","","","-3.004572","-3.359999","","","","","","","","","D1 PROFILE","","",""
"82006300000706","Nodes","706","21.000000","26.065878","DDS demands","Known Flow","433061.472222","87606.904836","","0.000000","","","","-4.239999","","","","","","","-3.791483","-4.239999","","","","","","C4 PROFILE","","","","","",""
"82006300000680","Nodes","680","21.000000","34.816037","Default Known Flow Node","Known Flow","434765.309978","89578.124772","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000605","Nodes","605","21.000000","34.857232","Default Known Flow Node","Known Flow","434748.998986","89488.733365","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300010764","Nodes","10764","21.000000","25.743092","Default Known Flow Node","Known Flow","435599.427599","89745.347604","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000736","Nodes","736","21.000000","26.341938","Default Known Flow Node","Known Flow","435451.254498","89710.749270","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000047","Nodes","47","21.000000","25.971955","DDS demands","Known Flow","435536.832312","89728.014842","","0.000000","-0.029999","","","-10.719999","","","-18.530000","","","","-26.182700","-29.280000","","","C1 PROFILE","","","C4 PROFILE","","","D1 PROFILE","","",""
"82006300010761","Nodes","10761","21.000000","25.402051","Default Known Flow Node","Known Flow","435550.964673","89694.300617","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000469","Nodes","469","21.000000","26.455774","Default Known Flow Node","Known Flow","435359.829430","89671.171023","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
