"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"82010300001412","Nodes",,21.000000,58.971266,"Default Known Flow Node","Known Flow",448874.006299,115044.659515,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300002526","Nodes",,21.000000,58.039148,"Default Known Flow Node","Known Flow",448758.138267,114956.308491,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300002528","Nodes","2528, GT-36602 P06110554/01 SO30 2RR",22.999998,57.663848,"CSEP DDS Matched","Known Flow",448731.263260,114913.433479,,0.000000,,,,,,,-13.650000,,,,,-12.206074,-13.650000,,"",,,,,,,"DC PROFILE",,,,
"82010300002527","Nodes",,21.000000,58.039148,"Default Known Flow Node","Known Flow",448745.388264,114971.683495,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300002525","Nodes",,21.000000,58.084580,"Default Known Flow Node","Known Flow",448763.013268,114956.183491,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300002523","Nodes",,21.000000,58.210995,"DDS demands","Known Flow",448815.263283,115002.183503,,0.000000,,,,,,-23.840000,,,,,,-21.318154,-23.840000,,"",,,,,,"D1 PROFILE",,,,,
"82010300002524","Nodes",,21.000000,57.824241,"DDS demands","Known Flow",448860.888295,114998.558502,,0.000000,,,,,,-9.319999,,,,,,-8.334110,-9.319999,,"",,,,,,"D1 PROFILE",,,,,
"82010300001403","Nodes",,21.000000,58.744959,"Default Known Flow Node","Known Flow",448817.600208,115056.421882,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011570","Nodes",,21.000000,32.455816,"Default Known Flow Node","Known Flow",449660.388513,112972.932951,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011350","Nodes",,21.000000,32.542023,"Default Known Flow Node","Known Flow",449658.763512,113035.057968,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001190","Nodes",,21.000000,28.693258,"Default Known Flow Node","Known Flow",449606.513498,112283.932764,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001192","Nodes",,21.000000,28.693258,"Default Known Flow Node","Known Flow",449598.388496,112321.807774,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001191","Nodes",,21.000000,28.649823,"Default Known Flow Node","Known Flow",449627.388504,112244.057753,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001189","Nodes",,21.000000,28.649823,"DDS demands","Known Flow",449636.388506,112303.807769,,0.000000,,,,,,-14.160000,,,,,,-12.662125,-14.160000,,"",,,,,,"D1 PROFILE",,,,,
"82010300000937","Nodes",,21.000000,30.160959,"DDS demands","Known Flow",448289.050860,112299.735983,,0.000000,,,,,,-7.639999,,,,,,-6.831824,-7.639999,,"",,,,,,"D1 PROFILE",,,,,
"82010300000938","Nodes",,21.000000,30.160959,"Default Known Flow Node","Known Flow",448298.513142,112312.432771,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011348","Nodes",,21.000000,30.019130,"Default Known Flow Node","Known Flow",448277.835624,112307.685684,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011347","Nodes",,21.000000,54.964694,"Default Known Flow Node","Known Flow",448739.877905,113051.792437,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001044","Nodes",,21.000000,53.923224,"DDS demands","Known Flow",448684.388247,113069.932977,,0.000000,,,,,,-16.040000,,,,,,-14.343256,-16.040000,,"",,,,,,"D1 PROFILE",,,,,
"82010300001099","Nodes",,21.000000,26.145674,"DDS demands","Known Flow",448519.513202,112792.807902,,0.000000,,,,,,-12.130000,,,,,,-10.846863,-12.130000,,"",,,,,,"D1 PROFILE",,,,,
"82010300011349","Nodes",,21.000000,26.145674,"Default Known Flow Node","Known Flow",448534.362663,112797.387642,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001120","Nodes",,21.000000,26.145674,"Default Known Flow Node","Known Flow",448605.513226,112829.057912,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011197","Nodes",,21.000000,56.023145,"Default Known Flow Node","Known Flow",448646.093805,113033.821544,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001042","Nodes",,21.000000,55.958131,"DDS demands","Known Flow",448686.763248,113003.432959,,0.000000,,,,,,-8.069999,,,,,,-7.216338,-8.069999,,"",,,,,,"D1 PROFILE",,,,,
"82010300011346","Nodes",,21.000000,63.218414,"Default Known Flow Node","Known Flow",448914.031898,113411.143166,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300000855","Nodes",,21.000000,62.603717,"DDS demands","Known Flow",448954.013320,113480.558089,,0.000000,,,,,,-10.739999,,,,,,-9.603899,-10.739999,,"",,,,,,"D1 PROFILE",,,,,
"82010300001250","Nodes",,21.000000,65.370696,"Default Known Flow Node","Known Flow",449009.388336,113439.183078,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001251","Nodes",,21.000000,65.370696,"Default Known Flow Node","Known Flow",448997.138332,113461.933084,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011345","Nodes",,21.000000,65.370696,"Default Known Flow Node","Known Flow",449015.638337,113439.433078,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001248","Nodes",,21.000000,65.370696,"Default Known Flow Node","Known Flow",448991.888331,113404.808069,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001249","Nodes",,21.000000,65.370696,"Default Known Flow Node","Known Flow",449006.763335,113397.058066,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300000853","Nodes",,21.000000,65.411434,"DDS demands","Known Flow",448956.138321,113379.183062,,0.000000,,,,,,-2.209999,,,,,,-1.976221,-2.209999,,"",,,,,,"D1 PROFILE",,,,,
"82010300011344","Nodes",,21.000000,65.412428,"Default Known Flow Node","Known Flow",448928.448360,113379.555733,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011315","Nodes",,21.000000,52.995326,"DDS demands","Known Flow",449659.812609,114458.216086,,0.000000,,,,,,-3.780000,,,,,,-3.380143,-3.780000,,"",,,,,,"D1 PROFILE",,,,,
"82010300000805","Nodes",,21.000000,52.956335,"DDS demands","Known Flow",449601.513497,114454.433354,,0.000000,,,,,,-3.980000,,,,,,-3.558987,-3.980000,,"",,,,,,"D1 PROFILE",,,,,
"82010300001079","Nodes",,21.000000,55.921186,"Default Known Flow Node","Known Flow",450035.276615,114511.657370,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011343","Nodes",,21.000000,55.925493,"Default Known Flow Node","Known Flow",450037.660615,114503.665368,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011337","Nodes",,21.000000,55.995072,"DDS demands","Known Flow",449933.513587,114500.683367,,0.000000,,,,,,-9.600000,,,,,,-8.584492,-9.600000,,"",,,,,,"D1 PROFILE",,,,,
"82010300011339","Nodes",,21.000000,55.906112,"DDS demands","Known Flow",449953.262568,114577.674418,,0.000000,,,,,,-11.479999,,,,,,-10.265620,-11.479999,,"",,,,,,"D1 PROFILE",,,,,
"82010300011340","Nodes",,21.000000,55.731882,"Default Known Flow Node","Known Flow",449986.335655,114639.685690,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011342","Nodes",,21.000000,55.268278,"Default Known Flow Node","Known Flow",450034.039588,114580.387610,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011341","Nodes",,21.000000,55.735157,"Default Known Flow Node","Known Flow",449977.687884,114646.892336,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011336","Nodes",,21.000000,56.059983,"Default Known Flow Node","Known Flow",449903.888579,114529.433375,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011338","Nodes",,21.000000,55.995072,"Default Known Flow Node","Known Flow",449931.638586,114449.433353,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001074","Nodes",,21.000000,56.057259,"Default Known Flow Node","Known Flow",449909.388580,114524.808373,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001069","Nodes",,21.000000,56.116490,"DDS demands","Known Flow",449882.793252,114550.731669,,0.000000,,,,,,-3.250000,,,,,,-2.906208,-3.250000,,"",,,,,,"D1 PROFILE",,,,,
"82010300000852","Nodes",,21.000000,65.413559,"DDS demands","Known Flow",448897.138305,113378.433061,,0.000000,,,,,,-14.550000,,,,,,-13.010870,-14.550000,,"",,,,,,"D1 PROFILE",,,,,
"82010300000254","Nodes",,21.000000,30.236211,"DDS demands","Known Flow",449025.763340,111858.307648,,0.000000,,,,,,-16.370001,,,,,,-14.638348,-16.370001,,"",,,,,,"D1 PROFILE",,,,,
"82010300011515","Nodes",,21.000000,32.008088,"Default Known Flow Node","Known Flow",448750.855227,112009.994256,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300000550","Nodes",,21.000000,31.418145,"DDS demands","Known Flow",448781.652138,112075.205761,,0.000000,,,,,,-15.449999,,,,,,-13.815665,-15.449999,,"",,,,,,"D1 PROFILE",,,,,
"82010300000353","Nodes",,21.000000,31.356142,"DDS demands","Known Flow",448787.392945,112086.618376,,0.000000,,,,,,-5.509999,,,,,,-4.927140,-5.509999,,"",,,,,,"D1 PROFILE",,,,,
"82010300000287","Nodes",,21.000000,30.775789,"DDS demands","Known Flow",449869.513570,113260.933029,,0.000000,,,,,,-10.130000,,,,,,-9.058427,-10.130000,,"",,,,,,"D1 PROFILE",,,,,
"82010300001338","Nodes",,21.000000,30.826723,"DDS demands","Known Flow",449884.908089,113213.300847,,0.000000,,,,,,-3.240000,,,,,,-2.897266,-3.240000,,"",,,,,,"D1 PROFILE",,,,,
"82010300000205","Nodes",,21.000000,30.855421,"DDS demands","Known Flow",449891.113866,113183.588285,,0.000000,-6.989999,,,,,-10.399999,,,,,,-15.550448,-17.389999,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,,
"82010300001427","Nodes",,21.000000,30.914089,"Default Known Flow Node","Known Flow",449939.013588,113192.683011,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300000212","Nodes",,21.000000,26.623523,"DDS demands","Known Flow",450112.946636,113058.203974,,0.000000,,,,,,-6.199999,,,,,,-5.544150,-6.199999,,"",,,,,,"D1 PROFILE",,,,,
"82010300000211","Nodes",,21.000000,26.639502,"DDS demands","Known Flow",450104.796116,113056.723384,,0.000000,,,,,,-1.339999,,,,,,-1.198251,-1.339999,,"",,,,,,"D1 PROFILE",,,,,
"82010300000210","Nodes",,21.000000,26.670134,"DDS demands","Known Flow",450076.585626,113043.811970,,0.000000,,,,,,-5.199999,,,,,,-4.649932,-5.199999,,"",,,,,,"D1 PROFILE",,,,,
"82010300000663","Nodes",,21.000000,26.052271,"DDS demands","Known Flow",450029.513613,112828.932912,,0.000000,,,,,,-1.960000,,,,,,-1.752667,-1.960000,,"",,,,,,"D1 PROFILE",,,,,
"82010300000664","Nodes",,21.000000,26.043898,"DDS demands","Known Flow",450031.223510,112819.609590,,0.000000,,,,,,-3.650000,,,,,,-3.263895,-3.650000,,"",,,,,,"D1 PROFILE",,,,,
"82010300000665","Nodes",,21.000000,26.023342,"DDS demands","Known Flow",450052.138619,112788.557901,,0.000000,,,,,,-4.709999,,,,,,-4.211766,-4.709999,,"",,,,,,"D1 PROFILE",,,,,
"82010300000222","Nodes",,21.000000,31.854743,"DDS demands","Known Flow",449272.013407,112987.307955,,0.000000,,,,,,-2.900000,,,,,,-2.593232,-2.900000,,"",,,,,,"D1 PROFILE",,,,,
"82010300000221","Nodes",,21.000000,31.854496,"DDS demands","Known Flow",449268.851730,112997.943353,,0.000000,-1.799999,-63.269998,,,,-5.239999,,,,,,-62.872457,-70.309999,,"","C1 PROFILE","C2 PROFILE",,,,"D1 PROFILE",,,,,
"82010300000337","Nodes",,21.000000,32.126021,"DDS demands","Known Flow",449318.888420,113014.432962,,0.000000,,,,,,-1.700000,,,,,,-1.520170,-1.700000,,"",,,,,,"D1 PROFILE",,,,,
"82010300001428","Nodes",,21.000000,33.290594,"Default Known Flow Node","Known Flow",449346.115080,112694.331087,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300000148","Nodes",,21.000000,33.345731,"DDS demands","Known Flow",449317.481545,112670.984914,,0.000000,,,,,,-7.829999,,,,,,-7.001726,-7.829999,,"",,,,,,"D1 PROFILE",,,,,
"82010300011568","Nodes",,21.000000,33.732805,"Default Known Flow Node","Known Flow",449270.162029,112655.779691,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300000219","Nodes",,21.000000,30.623559,"DDS demands","Known Flow",449623.013502,112613.807853,,0.000000,,-50.139997,,,,-8.879999,,,,,,-52.776739,-59.019995,,"",,"C2 PROFILE",,,,"D1 PROFILE",,,,,
"82010300000220","Nodes","P00083722, Hobbs Lane, -11.35",22.999998,31.845432,"CSEP DDS Matched","Known Flow",449582.226389,112768.300671,,0.000000,,,,,,-4.380000,-11.350000,,,,,-14.066047,-15.730001,,"",,,,,,"D1 PROFILE","DC PROFILE",,,,
"82010300000130","Nodes",,21.000000,33.105718,"DDS demands","Known Flow",449563.263486,112914.807935,,0.000000,,,,,,-10.679999,,,,,,-9.550247,-10.679999,,"",,,,,,"D1 PROFILE",,,,,
"82010300000122","Nodes",,21.000000,32.283337,"DDS demands","Known Flow",449486.888465,112573.682842,,0.000000,,,,,,-4.530000,,,,,,-4.050807,-4.530000,,"",,,,,,"D1 PROFILE",,,,,
