"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"82005700000155","Nodes","P00105609, Mill Road, 65.27",25.000000,44.594660,"CSEP DDS Matched","Known Flow",466419.185073,111629.940586,,0.000000,,,,,-47.449998,,-17.090000,-17.819999,,,-73.647781,-82.360001,,"",,,,,"CC PROFILE",,"D1 PROFILE","DC PROFILE",,
"82005700000250","Nodes","250",22.999998,44.581435,"DDS demands","Known Flow",466466.352086,111678.277599,,0.000000,,,,,,,-1.290000,,,,-1.153541,-1.290000,,"",,,,,,,"D1 PROFILE",,,
"82005700000247","Nodes","247",21.000000,43.040879,"DDS demands","Known Flow",466228.797021,111446.219536,,0.000000,,,,,,,-6.979999,,,,-6.241640,-6.979999,,"",,,,,,,"D1 PROFILE",,,
"82005700000286","Nodes","286",21.000000,43.230747,"Default Known Flow Node","Known Flow",466239.248537,111456.685761,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82005700000108","Nodes","108",21.000000,43.727897,"DDS demands","Known Flow",466264.044205,111481.998355,,0.000000,,,,,,,-1.360000,,,,-1.216136,-1.360000,,"",,,,,,,"D1 PROFILE",,,
"82005700000031","Nodes","31",21.000000,44.905542,"DDS demands","Known Flow",465998.963959,111700.703605,,0.000000,,,,,,,-8.350000,,,,-7.466719,-8.350000,,"",,,,,,,"D1 PROFILE",,,
"82005700000032","Nodes","32",21.000000,45.899654,"DDS demands","Known Flow",466104.178662,111714.443936,,0.000000,,-19.290000,,,,,-0.369999,,,,-17.580323,-19.660001,,"",,"C2 PROFILE",,,,,"D1 PROFILE",,,
"82005700000143","Nodes","143",21.000000,49.438907,"DDS demands","Known Flow",465885.768928,111911.702662,,0.000000,,,,,,,-2.880000,,,,-2.575347,-2.880000,,"",,,,,,,"D1 PROFILE",,,
"82005700000144","Nodes","144",21.000000,49.432061,"DDS demands","Known Flow",465872.093775,111908.960103,,0.000000,,,,,,,-6.869999,,,,-6.143277,-6.869999,,"",,,,,,,"D1 PROFILE",,,
"82005700000145","Nodes","145",21.000000,49.474184,"DDS demands","Known Flow",465865.741922,111956.126674,,0.000000,,,,,,,-7.600000,,,,-6.796056,-7.600000,,"",,,,,,,"D1 PROFILE",,,
"82005700000046","Nodes","46",21.000000,41.989225,"DDS demands","Known Flow",465772.587897,111688.760602,,0.000000,,,,,,,-10.889999,,,,-9.738032,-10.889999,,"",,,,,,,"D1 PROFILE",,,
"82005700000030","Nodes","30",21.000000,42.424801,"DDS demands","Known Flow",465995.774335,111690.036119,,0.000000,,,,,,,-6.880000,,,,-6.152219,-6.880000,,"",,,,,,,"D1 PROFILE",,,
"82005700000028","Nodes","28",21.000000,42.978931,"DDS demands","Known Flow",466092.415756,111644.878332,,0.000000,,,,,,,-4.300000,,,,-3.845137,-4.300000,,"",,,,,,,"D1 PROFILE",,,
"82005700000052","Nodes","52",21.000000,41.837713,"DDS demands","Known Flow",465750.916990,111903.062577,,0.000000,,,,,,,-1.799999,,,,-1.609592,-1.799999,,"",,,,,,,"D1 PROFILE",,,
"82005700000054","Nodes","54",21.000000,41.799744,"DDS demands","Known Flow",465779.048772,111908.066163,,0.000000,,,,,,,-1.820000,,,,-1.627476,-1.820000,,"",,,,,,,"D1 PROFILE",,,
"82005700000053","Nodes","53",21.000000,41.788599,"DDS demands","Known Flow",465772.464623,111899.351841,,0.000000,,,,,,,-2.640000,,,,-2.360735,-2.640000,,"",,,,,,,"D1 PROFILE",,,
"82005700000099","Nodes","99",21.000000,34.939165,"DDS demands","Known Flow",465212.021901,111871.835527,,0.000000,,,,,,,-5.429999,,,,-4.855602,-5.429999,,"",,,,,,,"D1 PROFILE",,,
"82005700008000","Nodes","8000",21.000000,35.044243,"Default Known Flow Node","Known Flow",465292.476805,111854.595662,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82005700000187","Nodes","187",21.000000,35.059013,"DDS demands","Known Flow",465299.290768,111844.445644,,0.000000,,,,,,,-1.749999,,,,-1.564881,-1.749999,,"",,,,,,,"D1 PROFILE",,,
"82005700000188","Nodes","188",21.000000,34.953491,"DDS demands","Known Flow",465284.883615,111830.039101,,0.000000,,,,,,,-3.329999,,,,-2.977745,-3.329999,,"",,,,,,,"D1 PROFILE",,,
"82005700000189","Nodes","189",21.000000,34.858506,"DDS demands","Known Flow",465240.160752,111799.072632,,0.000000,,,,,,,-3.880000,,,,-3.469565,-3.880000,,"",,,,,,,"D1 PROFILE",,,
"82005700000344","Nodes","344",21.000000,35.095744,"DDS demands","Known Flow",465328.537325,111858.300223,,0.000000,,,,,,,-5.359999,,,,-4.793007,-5.359999,,"",,,,,,,"D1 PROFILE",,,
"82005700000420","Nodes","420",21.000000,35.108965,"DDS demands","Known Flow",465335.221012,111863.014445,,0.000000,,,,,,,-2.509999,,,,-2.244486,-2.509999,,"",,,,,,,"D1 PROFILE",,,
"82005700000069","Nodes","69",21.000000,35.260589,"DDS demands","Known Flow",465388.802053,111900.842257,,0.000000,,,-2.599999,,,,-1.649999,,,,-3.800425,-4.249999,,"",,,"C3  PROFILE",,,,"D1 PROFILE",,,
"82005700000007","Nodes","The Potteries",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",465625.848857,111314.168500,,162.999999,,,,,,,,,,,35.017572,39.160001,,"",,,,,,,,,,
"82005700000415","Nodes","415",21.000000,69.963440,"DDS demands","Known Flow",465627.575681,111317.518143,,0.000000,-9.880000,,,-3.769999,,,,,,,-12.206074,-13.650000,,"","C1 PROFILE",,,"C4 PROFILE",,,,,,
"82005700004141","Nodes","4141",21.000000,69.831481,"Default Known Flow Node","Known Flow",465663.489750,111300.999263,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82005700000395","Nodes","395",21.000000,40.444001,"Default Known Flow Node","Known Flow",465733.247543,110767.959609,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82005700000168","Nodes","168",21.000000,42.056750,"DDS demands","Known Flow",465823.451911,110887.620384,,0.000000,,,,,,,-3.130000,,,,-2.798902,-3.130000,,"",,,,,,,"D1 PROFILE",,,
"82005700000166","Nodes","166",21.000000,35.895665,"DDS demands","Known Flow",465809.663247,110519.825650,,0.000000,,,,,,,-14.699999,,-2.380000,,-15.273242,-17.079999,,"",,,,,,,"D1 PROFILE",,"I2 PROFILE",
"82005700000090","Nodes","90",21.000000,23.474289,"DDS demands","Known Flow",464362.943513,112728.143884,,0.000000,,,,,,,-19.589999,,-8.520000,,-25.136464,-28.110000,,"",,,,,,,"D1 PROFILE",,"I2 PROFILE",
"82005700000152","Nodes","152",21.000000,20.838674,"DDS demands","Known Flow",464219.755753,112504.152273,,0.000000,,,,,,,-1.690000,,-14.640000,,-14.602578,-16.330000,,"",,,,,,,"D1 PROFILE",,"I2 PROFILE",
"82005700004096","Nodes","4096",21.000000,20.079177,"DDS demands","Known Flow",464192.504678,112464.351644,,0.000000,,,,,,,-9.020000,,,,-8.065845,-9.020000,,"",,,,,,,"D1 PROFILE",,,
"82005700000065","Nodes","65",21.000000,43.589140,"DDS demands","Known Flow",465658.877866,112129.981722,,0.000000,,,,,,,-15.200000,,,,-13.592112,-15.200000,,"",,,,,,,"D1 PROFILE",,,
"82005700000392","Nodes","392",21.000000,46.496334,"Default Known Flow Node","Known Flow",465791.276264,112133.159938,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82005700000275","Nodes","275",21.000000,29.961555,"DDS demands","Known Flow",465192.905240,112171.866214,,0.000000,,,,,,,-11.130000,,,,-9.952645,-11.130000,,"",,,,,,,"D1 PROFILE",,,
"82005700000021","Nodes","21",21.000000,35.127273,"DDS demands","Known Flow",466048.731706,110110.436469,,0.000000,,,,,,,-1.669999,,,,-1.493343,-1.669999,,"",,,,,,,"D1 PROFILE",,,
"82005700000019","Nodes","19",21.000000,35.393103,"DDS demands","Known Flow",466032.936901,110372.642279,,0.000000,,,,,,,-4.429999,,,,-3.961385,-4.429999,,"",,,,,,,"D1 PROFILE",,,
"82005700000020","Nodes","20",21.000000,35.399813,"DDS demands","Known Flow",466097.558985,110379.690245,,0.000000,,,,,,,-2.840000,,,,-2.539578,-2.840000,,"",,,,,,,"D1 PROFILE",,,
"82005700004129","Nodes","4129",21.000000,35.127273,"Default Known Flow Node","Known Flow",466096.167985,110119.855175,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82005700004130","Nodes","4130",21.000000,42.176496,"Default Known Flow Node","Known Flow",466003.154394,110999.116234,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82005700000003","Nodes","Closewood Road DG, Constant/Seasonal",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",466853.115191,110867.836378,,999998.967025,,,,,,,,,,,18.304640,20.469999,,"",,,,,,,,,,
"82005700000176","Nodes","176",21.000000,39.846692,"DDS demands","Known Flow",466830.031185,110906.549389,,0.000000,,,,,,,-1.179999,,,,-1.055177,-1.179999,,"",,,,,,,"D1 PROFILE",,,
"82005700000177","Nodes","177",21.000000,39.853925,"DDS demands","Known Flow",466863.092194,110875.925380,,0.000000,,,,,,,-3.549999,,,,-3.174473,-3.549999,,"",,,,,,,"D1 PROFILE",,,
"82005700000164","Nodes","164",21.000000,38.049496,"DDS demands","Known Flow",466728.061157,110690.996330,,0.000000,,,,,,,-13.029999,,,,-11.651658,-13.029999,,"",,,,,,,"D1 PROFILE",,,
"82005700000178","Nodes","178",21.000000,39.805259,"DDS demands","Known Flow",466942.540215,110802.876361,,0.000000,,,,,,,-2.710000,,,,-2.423330,-2.710000,,"",,,,,,,"D1 PROFILE",,,
"82005700000351","Nodes","351",21.000000,68.429562,"DDS demands","Known Flow",465492.643821,111451.328537,,0.000000,,,,,,,-2.689999,,,,-2.405446,-2.689999,,"",,,,,,,"D1 PROFILE",,,
