"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"82012300000042","Nodes","42",21.000000,33.900115,"DDS demands","Known Flow",378712.369207,114238.808295,,0.000000,-23.859999,-17.299999,,,,-1.429999,,,,-38.084738,-42.589996,,"","","C2 PROFILE",,,,"D1 PROFILE",,,
"82012300000122","Nodes","122",21.000000,34.072805,"Default Known Flow Node","Known Flow",378727.619211,114251.308299,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000286","Nodes","286",21.000000,34.594300,"DDS demands","Known Flow",378739.494214,114238.558295,,0.000000,-5.379999,,,,,-2.669999,,,,-7.198453,-8.049999,,"","C1 PROFILE",,,,,"D1 PROFILE",,,
"82012300000131","Nodes","131",21.000000,31.527796,"DDS demands","Known Flow",378792.494229,114053.058245,,0.000000,,,,,,-3.989999,,,,-3.567929,-3.989999,,"",,,,,,"D1 PROFILE",,,
"82012300000113","Nodes","113",21.000000,29.754914,"DDS demands","Known Flow",378877.869252,114095.058256,,0.000000,,,,,,-6.360000,,,,-5.687226,-6.360000,,"",,,,,,"D1 PROFILE",,,
"82012300000162","Nodes","162",21.000000,32.919130,"DDS demands","Known Flow",378953.619273,114427.058347,,0.000000,-0.259999,,,,,-1.360000,,-3.499999,,-4.578395,-5.119999,,"","C1 PROFILE",,,,,"D1 PROFILE",,"I2 PROFILE",
"82012300000319","Nodes","319",21.000000,32.919114,"Default Known Flow Node","Known Flow",378953.994273,114432.558348,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000088","Nodes","88",21.000000,32.910703,"Default Known Flow Node","Known Flow",378953.245019,114494.569316,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300008534","Nodes","-270200",21.000000,32.814629,"Default Known Flow Node","Known Flow",378997.740588,114350.056765,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000320","Nodes","320",21.000000,32.804694,"DDS demands","Known Flow",379002.869286,114351.308326,,0.000000,,,,,,-0.710000,,,,-0.634894,-0.710000,,"",,,,,,"D1 PROFILE",,,
"82012300008548","Nodes","-282650",21.000000,31.717770,"Default Known Flow Node","Known Flow",379048.619298,114422.058345,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000105","Nodes","105",21.000000,31.717770,"DDS demands","Known Flow",379047.369298,114429.558347,,0.000000,,,,,,-8.569999,,,,-7.663447,-8.569999,,"",,,,,,"D1 PROFILE",,,
"82012300000104","Nodes","104",21.000000,32.245119,"DDS demands","Known Flow",379159.869329,114438.058350,,0.000000,,,,,,-2.829999,,,,-2.530636,-2.829999,,"",,,,,,"D1 PROFILE",,,
"82012300000103","Nodes","103",21.000000,32.201969,"DDS demands","Known Flow",379116.529812,114425.081640,,0.000000,,,,,,-2.609999,,,,-2.333908,-2.609999,,"",,,,,,"D1 PROFILE",,,
"82012300008547","Nodes","-282648",21.000000,31.717770,"Default Known Flow Node","Known Flow",379046.494298,114435.808349,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000252","Nodes","252",21.000000,31.975150,"Default Known Flow Node","Known Flow",379169.619331,114182.808280,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000254","Nodes","254",21.000000,32.431958,"Default Known Flow Node","Known Flow",379191.721042,114359.056508,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
