"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"820127-157181","Nodes","-157181",21.000000,27.966420,"Default Known Flow Node","Known Flow",398502.375000,90547.000000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82012700000341","Nodes","341",21.000000,27.964275,"DDS demands","Known Flow",398433.125000,90861.000000,,0.000000,,,,,,-5.480000,,,,,,,-4.900314,-5.480000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000165","Nodes","165",21.000000,29.182571,"DDS demands","Known Flow",398913.625000,90545.250000,,0.000000,,,,,,-4.019999,,,,,,,-3.594755,-4.019999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000378","Nodes","378",21.000000,29.180331,"DDS demands","Known Flow",398907.875000,90565.750000,,0.000000,,,,,,-6.500000,,,,,,,-5.812416,-6.500000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000224","Nodes","224",21.000000,29.253149,"DDS demands","Known Flow",398783.750000,90585.000000,,0.000000,,,,,,-5.480000,,,,,,,-4.900314,-5.480000,,"",,,,,,"D1 PROFILE",,,,,,
"820127-157202","Nodes","-157202",21.000000,29.253149,"Default Known Flow Node","Known Flow",398785.375000,90584.250000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"820127-157215","Nodes","-157215",21.000000,29.303187,"Default Known Flow Node","Known Flow",398803.375000,90645.500000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"820127-157210","Nodes","-157210",21.000000,29.303187,"Default Known Flow Node","Known Flow",398801.750000,90647.750000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82012700000189","Nodes","189",21.000000,29.303163,"DDS demands","Known Flow",398807.250000,90647.750000,,0.000000,,,,,,-1.949999,,,,,,,-1.743724,-1.949999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000223","Nodes","223",21.000000,29.303257,"DDS demands","Known Flow",398810.625000,90635.750000,,0.000000,,,,,,-10.869999,,,,,,,-9.720147,-10.869999,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000639","Nodes","639",21.000000,29.048470,"DDS demands","Known Flow",398844.875000,90684.250000,,0.000000,,,,,,-5.810000,,,,,,,-5.195405,-5.810000,,"",,,,,,"D1 PROFILE",,,,,,
