"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82012101470834","Nodes","","21.000000","41.808526","Default Known Flow Node","Known Flow","425651.998165","95426.169781","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470835","Nodes","","21.000000","41.765996","Default Known Flow Node","Known Flow","425679.439987","95436.570179","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470836","Nodes","","21.000000","35.966757","Default Known Flow Node","Known Flow","425522.583944","95505.801198","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470843","Nodes","","21.000000","36.746725","DDS demands","Known Flow","425582.754223","95532.314404","","0.000000","","","","","","","-0.610000","","","","","-0.545472","-0.610000","","","","","","","","","D1 PROFILE","","","",""
"82012101470844","Nodes","","21.000000","41.559526","Default Known Flow Node","Known Flow","425645.509978","95447.766182","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470839","Nodes","","21.000000","35.666851","Default Known Flow Node","Known Flow","425543.506950","95463.303187","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470848","Nodes","","21.000000","35.703369","Default Known Flow Node","Known Flow","425541.696950","95471.415189","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470849","Nodes","","21.000000","35.703369","Default Known Flow Node","Known Flow","425559.388954","95479.829191","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470850","Nodes","","21.000000","41.998049","Default Known Flow Node","Known Flow","425658.189107","95413.928495","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470852","Nodes","","21.000000","41.890825","Default Known Flow Node","Known Flow","425649.760992","95409.309148","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470851","Nodes","","21.000000","41.890825","Default Known Flow Node","Known Flow","425647.568978","95408.107171","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470856","Nodes","","21.000000","40.264539","Default Known Flow Node","Known Flow","425605.409967","95378.442163","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470858","Nodes","","21.000000","36.101691","Default Known Flow Node","Known Flow","425139.892011","96211.370499","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470860","Nodes","","21.000000","35.451426","Default Known Flow Node","Known Flow","425181.516377","96146.622776","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470859","Nodes","","21.000000","35.441472","Default Known Flow Node","Known Flow","425175.899850","96141.255371","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470863","Nodes","","21.000000","34.286863","DDS demands","Known Flow","425272.556033","96006.987419","","0.000000","","","","","","","-10.260000","","","","","-9.174676","-10.260000","","","","","","","","","D1 PROFILE","","","",""
"82012101470879","Nodes","","21.000000","34.125859","Default Known Flow Node","Known Flow","425287.852527","95982.669438","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470862","Nodes","","21.000000","34.284944","Default Known Flow Node","Known Flow","425270.835876","96005.967334","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470864","Nodes","","21.000000","36.662700","Default Known Flow Node","Known Flow","425109.916832","96260.864404","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470881","Nodes","","21.000000","36.484307","Default Known Flow Node","Known Flow","425114.857834","96249.137400","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470596","Nodes","","21.000000","36.664468","Default Known Flow Node","Known Flow","425106.794831","96260.966404","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470878","Nodes","","21.000000","34.859496","Default Known Flow Node","Known Flow","425222.239683","96084.948064","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
