"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82001900001175","Nodes","","21.000000","36.117230","DDS demands","Known Flow","447471.765014","130180.583968","","0.000000","","-1.999999","","","","-19.889998","","","","","","","","","-19.574429","-21.889998","","","","C2 PROFILE","","","","D1 PROFILE","","","","","","","",""
"82001900016886","Nodes","","21.000000","36.139512","DDS demands","Known Flow","447506.612149","130189.930722","","0.000000","","","","","","-20.009999","","","","","","","","","-17.893300","-20.009999","","","","","","","","D1 PROFILE","","","","","","","",""
"82001900000016","Nodes","Abbots Barton / Austin Close DG, Constant, Site ID 2594","21.000000","40.000000","Default Known Pressure Node","Known Pressure","448350.013156","130766.562793","","3777.000009","","","","","","","","","","","","","","","677.029512","757.119221","","","","","","","","","","","","","","","",""
"82001900009007","Nodes","","21.000000","39.967625","Default Known Flow Node","Known Flow","448352.191801","130769.070289","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900001403","Nodes","","21.000000","39.912178","Default Known Flow Node","Known Flow","448358.638158","130776.812796","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900000922","Nodes","","21.000000","28.096626","DDS demands","Known Flow","448812.480774","132201.822687","","0.000000","","","","","","-8.819999","","","","","","","","","-7.887001","-8.819999","","","","","","","","D1 PROFILE","","","","","","","",""
"82001900001377","Nodes","","21.000000","27.861034","DDS demands","Known Flow","448815.204863","132222.480136","","0.000000","","","","","","-3.489999","","","","","","","","","-3.120820","-3.489999","","","","","","","","D1 PROFILE","","","","","","","",""
"82001900000891","Nodes","","21.000000","28.691856","DDS demands","Known Flow","449285.994209","132379.910131","","0.000000","-13.739999","","-4.760000","-12.250000","","-5.909999","","","","-3.190000","","","","","-35.634582","-39.850002","","","C1 PROFILE","","C3 PROFILE","C4 PROFILE","","D1 PROFILE","","","","I2 PROFILE","","","",""
"82001900000984","Nodes","","21.000000","29.139535","DDS demands","Known Flow","448730.910575","134377.661204","","0.000000","","","","","","-24.799999","","","","","","","","","-22.176603","-24.799999","","","","","","","","D1 PROFILE","","","","","","","",""
"82001900016499","Nodes","","21.000000","29.126845","Default Known Flow Node","Known Flow","448700.363108","134336.822008","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
