"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"82060900000099","Nodes","99",21.000000,46.631371,"Default Known Flow Node","Known Flow",383513.312500,112684.500000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000038","Nodes","38",21.000000,39.650442,"DDS demands","Known Flow",382928.593750,113342.601562,,0.000000,,,,,,-4.039999,,-3.612640,-4.039999,,"",,,,,,"D1 PROFILE",
"82060900000033","Nodes","33",21.000000,40.344651,"DDS demands","Known Flow",383040.500000,113241.101562,,0.000000,,,,,,-3.899999,,-3.487449,-3.899999,,"",,,,,,"D1 PROFILE",
"82060900000029","Nodes","29",21.000000,40.363958,"DDS demands","Known Flow",383072.406250,113190.601562,,0.000000,,,,,,-0.669999,,-0.599125,-0.669999,,"",,,,,,"D1 PROFILE",
"82060900000034","Nodes","34",21.000000,39.965130,"DDS demands","Known Flow",382970.093750,113200.500000,,0.000000,,,,,,-2.549999,,-2.280255,-2.549999,,"",,,,,,"D1 PROFILE",
"82060900000110","Nodes","110",21.000000,40.287853,"DDS demands","Known Flow",383067.312500,113161.898437,,0.000000,,,,,,-5.379999,,-4.810892,-5.379999,,"",,,,,,"D1 PROFILE",
"82060900000123","Nodes","-222759",21.000000,40.417630,"Default Known Flow Node","Known Flow",383079.625000,113180.250000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000030","Nodes","30",21.000000,39.682550,"DDS demands","Known Flow",383109.312500,113205.796875,,0.000000,,,,,,-5.189999,,-4.640990,-5.189999,,"",,,,,,"D1 PROFILE",
"82060900000032","Nodes","32",21.000000,38.758972,"DDS demands","Known Flow",383182.812500,113187.000000,,0.000000,,,,,,-10.949999,,-9.791686,-10.949999,,"",,,,,,"D1 PROFILE",
"82060900000031","Nodes","31",21.000000,39.604883,"DDS demands","Known Flow",383128.312500,113178.101562,,0.000000,,,,,,-3.869999,,-3.460623,-3.869999,,"",,,,,,"D1 PROFILE",
"82060900000024","Nodes","24",21.000000,40.923583,"DDS demands","Known Flow",383078.593750,113016.898437,,0.000000,,,,,,-1.500000,,-1.341326,-1.500000,,"",,,,,,"D1 PROFILE",
"82060900000022","Nodes","22",21.000000,43.184259,"DDS demands","Known Flow",383372.093750,113001.296875,,0.000000,,,,-2.809999,,-16.040000,,-16.856008,-18.850000,,"",,,,"C4 PROFILE",,"D1 PROFILE",
"82060900000124","Nodes","-222772",21.000000,44.181921,"Default Known Flow Node","Known Flow",383421.125000,113063.250000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000104","Nodes","104",21.000000,44.181921,"Default Known Flow Node","Known Flow",383392.593750,113121.000000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000103","Nodes","103",21.000000,44.181921,"DDS demands","Known Flow",383423.906250,113056.601562,,0.000000,,,,,,-10.079999,,-9.013715,-10.079999,,"",,,,,,"D1 PROFILE",
"82060900000105","Nodes","105",21.000000,44.224492,"Default Known Flow Node","Known Flow",383441.406250,113077.101562,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
