"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82010500000990","Nodes","990",21.000000,29.679700,"DDS demands","Known Flow",459223.290807,83629.800480,,0.000000,,,,,,,-8.510000,,,,,,,-7.609794,-8.510000,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500000026","Nodes","26",21.000000,29.255146,"DDS demands","Known Flow",459230.016117,83576.674952,,0.000000,,,,,,,-5.229999,,,,,,,-4.676759,-5.229999,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500000991","Nodes","991",21.000000,29.719748,"DDS demands","Known Flow",459249.141122,83629.049966,,0.000000,,,,,,,-1.360000,,,,,,,-1.216136,-1.360000,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500000027","Nodes","27",21.000000,29.210839,"DDS demands","Known Flow",459227.891116,83558.299947,,0.000000,,,-1.320000,,,,-12.270000,,,,,,,-12.152421,-13.590000,,"",,,"C3  PROFILE",,,,"D1 PROFILE",,,,,,
"82010500001150","Nodes","1150",21.000000,29.210193,"Default Known Flow Node","Known Flow",459285.016132,83540.549942,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000506","Nodes","506",21.000000,30.704948,"DDS demands","Known Flow",459265.524064,83630.244223,,0.000000,,,,,,,-2.480000,,,,,,,-2.217660,-2.480000,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500013259","Nodes","13259",21.000000,30.704948,"Default Known Flow Node","Known Flow",459264.391126,83627.049966,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000025","Nodes","25",21.000000,28.234565,"DDS demands","Known Flow",459311.516139,83521.924937,,0.000000,,,,,,,-2.409999,,,,,,,-2.155065,-2.409999,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500001151","Nodes","1151",21.000000,28.299133,"Default Known Flow Node","Known Flow",459283.891131,83513.674935,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000815","Nodes","815",21.000000,31.011783,"DDS demands","Known Flow",459292.599208,83716.066333,,0.000000,,,,,,,-10.960000,,,,,,,-9.800629,-10.960000,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500000793","Nodes","793",21.000000,31.121429,"DDS demands","Known Flow",459341.766147,83744.299998,,0.000000,,,,,,,-2.589999,,,,,,,-2.316024,-2.589999,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500013261","Nodes","13261",21.000000,28.219586,"Default Known Flow Node","Known Flow",459312.766139,83520.549937,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000937","Nodes","937",21.000000,28.131053,"DDS demands","Known Flow",459295.016134,83495.924930,,0.000000,,,,,,,-7.089999,,,,,,,-6.340004,-7.089999,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500000818","Nodes","818",21.000000,28.689814,"DDS demands","Known Flow",459353.391150,83578.299953,,0.000000,,,,,,,-5.800000,,,,,,,-5.186464,-5.800000,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500000939","Nodes","P00096918, FLATS 1-9, SEACROFT, BROADWAY, 11.89",24.000000,30.853273,"CSEP DDS Matched","Known Flow",459385.008564,83785.544635,,0.000000,,,,,,,-2.570000,-11.890000,,,,,,-12.930391,-14.460000,,"",,,,,,,"D1 PROFILE","DC PROFILE",,,,,
"82010500013262","Nodes","13262",21.000000,30.628879,"Default Known Flow Node","Known Flow",459347.141149,83673.049978,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000837","Nodes","837",21.000000,30.826828,"DDS demands","Known Flow",459396.391162,83809.800016,,0.000000,,,,,,,-5.670000,,,,,,,-5.070216,-5.670000,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500000940","Nodes","940",21.000000,30.430530,"DDS demands","Known Flow",459326.891143,83826.175020,,0.000000,-64.999999,,,,,,,,,,,,,-58.124162,-64.999999,,"","C1 PROFILE",,,,,,,,,,,,
"82010500001230","Nodes","1230",21.000000,30.700148,"Default Known Flow Node","Known Flow",459463.766180,83926.800047,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500013263","Nodes","13263",21.000000,30.269565,"Default Known Flow Node","Known Flow",459438.386307,83897.297290,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000201","Nodes","201",21.000000,29.612517,"DDS demands","Known Flow",459465.641181,83863.050030,,0.000000,-12.440000,,-1.209999,,,,-6.449999,,,,,,,-17.973780,-20.099998,,"","C1 PROFILE",,"C3  PROFILE",,,,"D1 PROFILE",,,,,,
"82010500013264","Nodes","13264",21.000000,30.269565,"Default Known Flow Node","Known Flow",459443.016175,83899.675040,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500001231","Nodes","1231",21.000000,30.700148,"Default Known Flow Node","Known Flow",459452.641177,83946.550053,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000202","Nodes","202",21.000000,29.105588,"DDS demands","Known Flow",459536.891200,83907.175042,,0.000000,,,-3.099999,,,,,,-24.100000,,,,,-24.322726,-27.200000,,"",,,"C3  PROFILE",,,,,,"DH PROFILE",,,,
"82010500013267","Nodes","13267",21.000000,30.857767,"Default Known Flow Node","Known Flow",459509.921129,83954.666559,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500013268","Nodes","13268",21.000000,30.857767,"Default Known Flow Node","Known Flow",459510.891193,83952.550054,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500013271","Nodes","13271",21.000000,31.332060,"Default Known Flow Node","Known Flow",459615.032370,83995.450386,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
