"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"82110200001466","Nodes","1466, P53989/1, 23 Hulse Rd",24.000000,26.233726,"CSEP DDS Matched","Known Flow",441845.062500,113412.000000,,0.000000,,,,,,,,-34.150000,,,,,,,,-30.537541,-34.150000,,,"",,,,,,,,"DC PROFILE",,,,,,,,
"82110200162050","Nodes","162050",21.000000,26.133892,"Default Known Flow Node","Known Flow",441840.375000,113423.750000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001464","Nodes","1464",21.000000,28.188414,"DDS demands","Known Flow",443056.125000,115633.789062,,0.000000,,,,,,,-14.539999,,,,,,,,,-13.001927,-14.539999,,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"82110200001465","Nodes","1465",21.000000,28.014278,"Default Known Flow Node","Known Flow",443080.437500,115555.171875,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200082522","Nodes","82522",21.000000,28.044527,"Default Known Flow Node","Known Flow",442989.375000,115634.632812,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200000367","Nodes","367",21.000000,30.549751,"DDS demands","Known Flow",443188.750000,115626.250000,,0.000000,,,,,,,-10.970000,,,,,,,,,-9.809570,-10.970000,,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"82110200001457","Nodes","1457",21.000000,55.043109,"Default Known Flow Node","Known Flow",440612.093750,118261.156250,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001458","Nodes","1458",21.000000,55.043109,"Default Known Flow Node","Known Flow",440607.187500,118289.359375,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001379","Nodes","1379",21.000000,51.581026,"DDS demands","Known Flow",440634.781250,118261.031250,,0.000000,,-112.819998,,,,,,,,,,,,,,-100.885665,-112.819998,,,"",,"C2 PROFILE",,,,,,,,,,,,,,
"82110200001368","Nodes","1368",21.000000,62.777343,"DDS demands","Known Flow",440561.125000,118259.750000,,0.000000,,-17.809999,,,,,,,,,,,,,,-15.926020,-17.809999,,,"",,"C2 PROFILE",,,,,,,,,,,,,,
"82110200002481","Nodes","2481",21.000000,28.542072,"DDS demands","Known Flow",441854.125000,117972.132812,,0.000000,-11.249999,,,,,,-3.130000,,,,,,,,,-12.858853,-14.380000,,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,,,,
"82110200003303","Nodes","3303",21.000000,25.292487,"DDS demands","Known Flow",441941.625000,118030.500000,,0.000000,,,,-24.020000,,,,,,,,,,,,-21.479113,-24.020000,,,"",,,,"C4 PROFILE",,,,,,,,,,,,
"82110200001454","Nodes","1454",21.000000,29.547809,"Default Known Flow Node","Known Flow",441929.687500,117755.148437,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001455","Nodes","1455",21.000000,29.547809,"Default Known Flow Node","Known Flow",441918.687500,117776.476562,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200115928","Nodes","115928",21.000000,29.433817,"Default Known Flow Node","Known Flow",442002.125000,117760.250000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001789","Nodes","1789",21.000000,29.664351,"DDS demands","Known Flow",441895.375000,117740.132812,,0.000000,,,,,,,-7.739999,,,,,,,,,-6.921246,-7.739999,,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"82110200001450","Nodes","1450",21.000000,29.346211,"Default Known Flow Node","Known Flow",442138.531250,117632.390625,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001453","Nodes","1453",21.000000,29.293209,"DDS demands","Known Flow",442108.437500,117636.703125,,0.000000,,,,,,,-1.909999,,,,,,,,,-1.707956,-1.909999,,,"",,,,,,,"D1 PROFILE",,,,,,,,,
