"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"82018600000069","Nodes",,21.000000,39.380931,"Default Known Flow Node","Known Flow",424861.913413,123976.956633,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000080","Nodes",,21.000000,43.930409,"Default Known Flow Node","Known Flow",424742.375000,122918.882812,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000070","Nodes",,21.000000,52.197177,"Default Known Flow Node","Known Flow",425175.781250,123762.382812,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000074","Nodes",,21.000000,60.284409,"Default Known Flow Node","Known Flow",424590.875000,123349.750000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000073","Nodes",,21.000000,57.537510,"Default Known Flow Node","Known Flow",424590.375000,123615.882812,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000079","Nodes",,21.000000,69.973689,"Default Known Flow Node","Known Flow",424159.250000,123003.500000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000071","Nodes",,21.000000,26.603302,"Default Known Flow Node","Known Flow",424263.999919,123527.990787,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000072","Nodes",,21.000000,27.223101,"Default Known Flow Node","Known Flow",424268.022949,123528.993425,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000075","Nodes",,21.000000,54.531428,"Default Known Flow Node","Known Flow",424678.750000,123829.250000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000076","Nodes",,21.000000,54.448471,"Default Known Flow Node","Known Flow",424742.625000,123896.882812,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000077","Nodes",,21.000000,39.459387,"Default Known Flow Node","Known Flow",424903.125000,123934.882812,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000078","Nodes",,21.000000,55.624518,"Default Known Flow Node","Known Flow",424532.000000,123611.632812,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000082","Nodes",,21.000000,20.284692,"Default Known Flow Node","Known Flow",424175.082635,123489.235704,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82018600000081","Nodes","P14135090, THE STREET CSEP, 7.94 SCMH",22.999998,18.529845,"CSEP Unmatched","Known Flow",424148.858612,123480.577317,,0.000000,,,,,,,-7.940000,-7.100090,-7.940000,,"",,,,,,,"DC PROFILE"
