"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82002300000064","Nodes","'CSEP P102801/1 FAREHAM RD PLOTS 1-24","24.000000","32.043332","CSEP DDS Matched","Known Flow","477271.073840","128392.774764","","0.000000","-5.280000","","","-14.720000","-14.609999","","","","","","-30.948881","-34.609999","","","C1 PROFILE","","","D1 PROFILE","DC PROFILE","","","","",""
"82002300000576","Nodes","576","21.000000","21.424830","DDS demands","Known Flow","478722.894201","127899.576434","","0.000000","","","","-6.110000","","","","","","","-5.463671","-6.110000","","","","","","D1 PROFILE","","","","","",""
"82002300000577","Nodes","577","21.000000","21.398351","DDS demands","Known Flow","478811.048814","128003.062285","","0.000000","","","","-7.770000","","","","","","","-6.948073","-7.770000","","","","","","D1 PROFILE","","","","","",""
"82002300000386","Nodes","386","21.000000","22.859830","Default Known Flow Node","Known Flow","478379.146327","127353.811864","","0.000000","","","","-2.069999","","","","","","","-1.851031","-2.069999","","","","","","D1 PROFILE","","","","","",""
"82002300000387","Nodes","387","21.000000","22.860504","Default Known Flow Node","Known Flow","478389.732773","127328.793329","","0.000000","","","","-2.259999","","","","","","","-2.020932","-2.259999","","","","","","D1 PROFILE","","","","","",""
"82002300000021","Nodes","21","21.000000","46.228664","DDS demands","Known Flow","478131.521260","129002.312313","","0.000000","","","","-8.600000","","","","","","","-7.690274","-8.600000","","","","","","D1 PROFILE","","","","","",""
"82002300000020","Nodes","20","21.000000","46.138881","DDS demands","Known Flow","478103.139884","129036.774949","","0.000000","","","","-13.550000","","","","","","","-12.116652","-13.550000","","","","","","D1 PROFILE","","","","","",""
"820023-42883","Nodes","-42883","21.000000","28.881157","Default Known Flow Node","Known Flow","477662.529495","127373.065812","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"820023-42882","Nodes","-42882","21.000000","28.614976","Default Known Flow Node","Known Flow","477655.646130","127384.311872","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000317","Nodes","317","21.000000","30.198471","DDS demands","Known Flow","477712.755974","127291.341253","","0.000000","","","","-18.499999","","","","","","","-16.543030","-18.499999","","","","","","D1 PROFILE","","","","","",""
