"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82007200001460","Nodes","1460","21.000000","43.008713","DDS demands","Known Flow","468034.268512","105735.430982","","0.000000","","","","","","-19.559999","","","","","","","-17.490900","-19.559999","","","","","","","","D1 PROFILE","","","","","",""
"82007200001930","Nodes","1930","21.000000","41.650993","DDS demands","Known Flow","467882.780872","105714.491354","","0.000000","","-3.229999","","","","-10.430000","","","","","","","-12.215016","-13.660000","","","","C2 PROFILE","","","","D1 PROFILE","","","","","",""
"82007200001566","Nodes","1566","21.000000","40.834688","DDS demands","Known Flow","467699.764909","105576.641707","","0.000000","","","","","","-5.559999","","","","","","","-4.971851","-5.559999","","","","","","","","D1 PROFILE","","","","","",""
"82007200001565","Nodes","1565","21.000000","40.818603","DDS demands","Known Flow","467731.131750","105578.538040","","0.000000","","","","","","-0.509999","","","","","","","-0.456051","-0.509999","","","","","","","","D1 PROFILE","","","","","",""
"82007200001564","Nodes","1564","21.000000","40.816918","DDS demands","Known Flow","467761.906710","105589.176778","","0.000000","","","","","","-1.350000","","","","","","","-1.207194","-1.350000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001569","Nodes","1569","21.000000","40.804285","DDS demands","Known Flow","467688.290302","105510.806916","","0.000000","","","","","","-6.179999","","","","","","","-5.526266","-6.179999","","","","","","","","D1 PROFILE","","","","","",""
"82007200001568","Nodes","1568","21.000000","40.849010","Default Known Flow Node","Known Flow","467697.097321","105526.015914","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200007383","Nodes","-31413","21.000000","40.854151","Default Known Flow Node","Known Flow","467688.892546","105543.009297","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200001092","Nodes","1092","21.000000","39.510954","DDS demands","Known Flow","467404.653178","105658.432994","","0.000000","","-6.000000","","","","-21.920000","","","","","","","-24.966564","-27.919999","","","","C2 PROFILE","","","","D1 PROFILE","","","","","",""
"82007200001960","Nodes","1960","21.000000","39.872808","DDS demands","Known Flow","467566.561306","105665.667694","","0.000000","","","","","","-19.010001","","","","","","","-16.999083","-19.010001","","","","","","","","D1 PROFILE","","","","","",""
"82007200001457","Nodes","1457","21.000000","40.471371","DDS demands","Known Flow","467726.018429","105692.180970","","0.000000","","-15.999999","","","","-23.339999","","","","","","","-35.178533","-39.339999","","","","C2 PROFILE","","","","D1 PROFILE","","","","","",""
"82007200001653","Nodes","1653","21.000000","37.965619","DDS demands","Known Flow","467541.788839","105738.312803","","0.000000","","","","","","-6.049999","","","","","","","-5.410018","-6.049999","","","","","","","","D1 PROFILE","","","","","",""
"82007200001655","Nodes","1655","21.000000","37.767179","DDS demands","Known Flow","467540.890061","105745.789427","","0.000000","","","","","","-3.510000","","","","","","","-3.138704","-3.510000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001652","Nodes","1652","21.000000","37.819330","DDS demands","Known Flow","467494.768366","105732.430981","","0.000000","","","","","","-3.859999","","","","","","","-3.451680","-3.859999","","","","","","","","D1 PROFILE","","","","","",""
"82007200001241","Nodes","1241","21.000000","36.978724","DDS demands","Known Flow","466141.002215","105190.714055","","0.000000","","","-2.529999","","","","","","","","","","-2.262371","-2.529999","","","","","C3 PROFILE","","","","","","","","",""
"82007200001162","Nodes","1162","21.000000","37.472529","DDS demands","Known Flow","466642.143134","105122.930815","","0.000000","","","","","","-16.999999","","","","","","","-15.201703","-16.999999","","","","","","","","D1 PROFILE","","","","","",""
"82007200001919","Nodes","1919","21.000000","37.542565","DDS demands","Known Flow","466776.075576","105044.107330","","0.000000","","","","","","-13.179999","","","","","","","-11.785791","-13.179999","","","","","","","","D1 PROFILE","","","","","",""
"82007200001163","Nodes","1163","21.000000","38.387469","DDS demands","Known Flow","466918.518209","105040.930793","","0.000000","","","","","","-19.659998","","","","","","","-17.580323","-19.659998","","","","","","","","D1 PROFILE","","","","","",""
"82007200001164","Nodes","1164","21.000000","37.448135","DDS demands","Known Flow","466774.979393","105052.776307","","0.000000","","","","","","-16.200001","","","","","","","-14.486330","-16.200001","","","","","","","","D1 PROFILE","","","","","",""
"82007200007021","Nodes","-2111","21.000000","38.520640","Default Known Flow Node","Known Flow","467019.837359","105195.185645","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200001122","Nodes","1122","21.000000","38.195567","DDS demands","Known Flow","467074.792439","105195.258685","","0.000000","","","","","","-4.199999","","","","","","","-3.755715","-4.199999","","","","","","","","D1 PROFILE","","","","","",""
"82007200001123","Nodes","1123","21.000000","38.086897","DDS demands","Known Flow","467116.768263","105193.680834","","0.000000","","","","","","-6.619999","","","","","","","-5.919722","-6.619999","","","","","","","","D1 PROFILE","","","","","",""
"82007200007007","Nodes","-2055","21.000000","35.952410","Default Known Flow Node","Known Flow","467054.393246","105075.680802","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200001920","Nodes","1920","21.000000","36.090258","DDS demands","Known Flow","467215.979955","105077.217771","","0.000000","","","","","","-17.930000","","","","","","","-16.033327","-17.930000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001108","Nodes","1108","21.000000","36.290646","DDS demands","Known Flow","467370.143819","105079.040193","","0.000000","","","","","","-2.720000","","","","","","","-2.432272","-2.720000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001271","Nodes","1271","21.000000","38.261703","DDS demands","Known Flow","466514.268099","105821.181005","","0.000000","","","","","","-6.630000","","","","","","","-5.928664","-6.630000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001305","Nodes","1305","21.000000","38.268689","DDS demands","Known Flow","466505.483460","105821.673314","","0.000000","","","","","","-8.850000","","","","","","","-7.913828","-8.850000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001304","Nodes","1304","21.000000","38.599331","DDS demands","Known Flow","466312.268044","105832.306008","","0.000000","","","","","","-13.120000","","","","","","","-11.732139","-13.120000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001326","Nodes","1326","21.000000","37.566594","DDS demands","Known Flow","466108.267988","105683.430967","","0.000000","","","","","","-20.609999","","","","","","","-18.429831","-20.609999","","","","","","","","D1 PROFILE","","","","","",""
