"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82520900307844","Nodes","-307844",21.000000,44.882923,"Default Known Flow Node","Known Flow",382728.865000,88367.050000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000098","Nodes","98",21.000000,25.263545,"DDS demands","Known Flow",382685.802500,88467.050000,,0.000000,0.000000,,,,,,,,,0.000000,0.000000,,"","C1 PROFILE",,,,,,,,
"82520900000005","Nodes","5",21.000000,25.631257,"Default Known Flow Node","Known Flow",382716.396250,88452.448437,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000099","Nodes","99",21.000000,25.263545,"Default Known Flow Node","Known Flow",382686.302500,88432.448437,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307846","Nodes","-307846",21.000000,25.929487,"Default Known Flow Node","Known Flow",382733.615000,88440.050000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307842","Nodes","-307842",21.000000,25.631257,"Default Known Flow Node","Known Flow",382716.990000,88454.182812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000103","Nodes","103",21.000000,25.724138,"Default Known Flow Node","Known Flow",382722.083750,88492.550000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000104","Nodes","104",21.000000,25.770585,"Default Known Flow Node","Known Flow",382779.490000,88479.151562,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307849","Nodes","-307849",21.000000,44.939126,"Default Known Flow Node","Known Flow",382735.865000,88363.682812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307848","Nodes","-307848",21.000000,25.970336,"Default Known Flow Node","Known Flow",382735.365000,88437.800000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307845","Nodes","-307845",21.000000,25.929487,"Default Known Flow Node","Known Flow",382730.615000,88429.182812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307847","Nodes","-307847",21.000000,25.970336,"Default Known Flow Node","Known Flow",382735.115000,88444.300000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307855","Nodes","-307855",21.000000,26.215784,"Default Known Flow Node","Known Flow",382760.240000,88424.432812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000002","Nodes","M & T GARAGES, STANLEY BARRACKS, Site ID n/a",21.000000,45.000001,"Default Known Pressure Node","Known Pressure",382741.615000,88357.550000,,2449.999934,,,,,,,,,,88.259291,98.699992,,"",,,,,,,,,
"82520900000119","Nodes","119",21.000000,26.430485,"Default Known Flow Node","Known Flow",382785.490000,88407.948437,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307852","Nodes","-307852",21.000000,26.386903,"Default Known Flow Node","Known Flow",382745.490000,88411.682812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000121","Nodes","121",21.000000,26.476866,"Default Known Flow Node","Known Flow",382791.083750,88432.448437,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000160","Nodes","160",21.000000,39.683812,"DDS demands","Known Flow",384198.396250,88412.651562,,0.000000,,,,,-21.420000,,,,,-19.154147,-21.420000,,"",,,,,"D1 PROFILE",,,,
"82520900000161","Nodes","161",21.000000,37.210855,"DDS demands","Known Flow",384161.490000,88497.651562,,0.000000,,,,,-15.999999,,,,,-14.307486,-15.999999,,"",,,,,"D1 PROFILE",,,,
"82520900000159","Nodes","159",21.000000,39.767175,"DDS demands","Known Flow",384200.396250,88408.050000,,0.000000,,,,,-15.729999,,,,,-14.066047,-15.729999,,"",,,,,"D1 PROFILE",,,,
"82520900305992","Nodes","-305992",21.000000,38.927831,"Default Known Flow Node","Known Flow",384170.865000,88496.182812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900305989","Nodes","-305989",21.000000,51.820759,"DDS demands","Known Flow",384150.615000,88113.050000,,0.000000,,-59.799999,,,,,,,,-53.474230,-59.799999,,"",,"C2 PROFILE",,,,,,,
"82520900307782","Nodes","-307782",21.000000,23.097404,"Default Known Flow Node","Known Flow",382339.115000,88745.300000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307779","Nodes","-307779",21.000000,23.004061,"Default Known Flow Node","Known Flow",382310.865000,88733.432812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000093","Nodes","93",21.000000,22.683243,"DDS demands","Known Flow",382170.896250,88708.346875,,0.000000,,,,,-2.039999,,,,,-1.824204,-2.039999,,"",,,,,"D1 PROFILE",,,,
"82520900307768","Nodes","-307768",21.000000,22.683243,"Default Known Flow Node","Known Flow",382165.740000,88712.182812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000094","Nodes","94",21.000000,22.756624,"DDS demands","Known Flow",382186.083750,88735.346875,,0.000000,,,,,-1.990000,,,,,-1.779493,-1.990000,,"",,,,,"D1 PROFILE",,,,
"82520900000014","Nodes","14",21.000000,21.989743,"DDS demands","Known Flow",382206.896250,88813.050000,,0.000000,,,,,-5.749999,,,,,-5.141752,-5.749999,,"",,,,,"D1 PROFILE",,,,
"82520900000015","Nodes","15",21.000000,21.803046,"DDS demands","Known Flow",382273.990000,88807.846875,,0.000000,,,,,-6.280000,,,,,-5.615688,-6.280000,,"",,,,,"D1 PROFILE",,,,
"82520900000091","Nodes","91",21.000000,22.742528,"DDS demands","Known Flow",382219.302500,88691.448437,,0.000000,,,,,-0.799999,,,,,-0.715374,-0.799999,,"",,,,,"D1 PROFILE",,,,
"82520900307774","Nodes","-307774",21.000000,22.782675,"Default Known Flow Node","Known Flow",382238.115000,88732.800000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000092","Nodes","92",21.000000,22.720419,"DDS demands","Known Flow",382223.896250,88740.846875,,0.000000,,,,,-3.099999,,,,,-2.772075,-3.099999,,"",,,,,"D1 PROFILE",,,,
"82520900307775","Nodes","-307775",21.000000,22.782675,"Default Known Flow Node","Known Flow",382249.490000,88726.432812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000013","Nodes","13",21.000000,22.979500,"DDS demands","Known Flow",382286.896250,88790.846875,,0.000000,,,,,-5.150000,,,,,-4.605222,-5.150000,,"",,,,,"D1 PROFILE",,,,
"82520900000089","Nodes","89",21.000000,22.864070,"DDS demands","Known Flow",382290.490000,88672.846875,,0.000000,,,,,-10.010000,,,,,-8.951121,-10.010000,,"",,,,,"D1 PROFILE",,,,
"82520900307781","Nodes","-307781",21.000000,23.033220,"Default Known Flow Node","Known Flow",382337.240000,88635.050000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307780","Nodes","-307780",21.000000,22.957417,"Default Known Flow Node","Known Flow",382320.615000,88694.050000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307787","Nodes","-307787",21.000000,23.068242,"Default Known Flow Node","Known Flow",382366.865000,88626.050000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000011","Nodes","11",21.000000,23.097404,"DDS demands","Known Flow",382347.490000,88748.151562,,0.000000,,,,,-18.809999,,,,,-16.820238,-18.809999,,"",,,,,"D1 PROFILE",,,,
"82520900307785","Nodes","-307785",21.000000,23.059111,"Default Known Flow Node","Known Flow",382351.740000,88767.300000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307789","Nodes","-307789",21.000000,23.152440,"Default Known Flow Node","Known Flow",382379.240000,88760.932812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000010","Nodes","10",21.000000,23.066202,"DDS demands","Known Flow",382404.490000,88614.346875,,0.000000,,,,,-18.600000,,,,,-16.632453,-18.600000,,"",,,,,"D1 PROFILE",,,,
"82520900307790","Nodes","-307790",21.000000,23.196717,"Default Known Flow Node","Known Flow",382394.115000,88717.050000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307792","Nodes","-307792",21.000000,23.290027,"Default Known Flow Node","Known Flow",382402.740000,88728.050000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307791","Nodes","-307791",21.000000,23.290027,"Default Known Flow Node","Known Flow",382399.865000,88730.182812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307794","Nodes","-307794",21.000000,23.290027,"Default Known Flow Node","Known Flow",382405.740000,88725.800000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000009","Nodes","9",21.000000,23.312412,"DDS demands","Known Flow",382470.490000,88618.550000,,0.000000,,,,,-10.840000,,,,,-9.693321,-10.840000,,"",,,,,"D1 PROFILE",,,,
"82520900307798","Nodes","-307798",21.000000,23.252745,"Default Known Flow Node","Known Flow",382430.240000,88664.932812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307795","Nodes","-307795",21.000000,23.249854,"Default Known Flow Node","Known Flow",382417.865000,88698.300000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307797","Nodes","-307797",21.000000,23.389816,"Default Known Flow Node","Known Flow",382426.615000,88710.050000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307796","Nodes","-307796",21.000000,23.249854,"Default Known Flow Node","Known Flow",382422.740000,88712.800000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307799","Nodes","-307799",21.000000,23.389816,"Default Known Flow Node","Known Flow",382430.240000,88707.050000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307801","Nodes","-307801",21.000000,23.467818,"Default Known Flow Node","Known Flow",382454.865000,88678.682812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307802","Nodes","-307802",21.000000,23.467818,"Default Known Flow Node","Known Flow",382465.115000,88692.300000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307805","Nodes","-307805",21.000000,23.425993,"Default Known Flow Node","Known Flow",382475.115000,88657.932812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307804","Nodes","-307804",21.000000,23.519287,"Default Known Flow Node","Known Flow",382471.615000,88689.050000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000120","Nodes","120",21.000000,26.185317,"DDS demands","Known Flow",382829.302500,88468.846875,,0.000000,-337.329979,,,-57.520000,,,,,,-353.081921,-394.849984,,"","C1 PROFILE",,,"C4 PROFILE",,,,,
"82520900000069","Nodes","69",21.000000,26.208855,"Default Known Flow Node","Known Flow",382836.896250,88521.651562,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000008","Nodes","8",21.000000,23.572266,"Default Known Flow Node","Known Flow",382501.990000,88563.651562,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000100","Nodes","100",21.000000,23.967541,"Daily Metered Site","Known Flow",382577.396250,88517.050000,,0.000000,-89.379996,,,,,,,,,-79.925192,-89.379996,,"","C1 PROFILE",,,,,,,,
"82520900307835","Nodes","-307835",21.000000,23.476334,"Default Known Flow Node","Known Flow",382695.740000,88993.932812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000115","Nodes","115",21.000000,25.770585,"Default Known Flow Node","Known Flow",382557.302500,88592.050000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000118","Nodes","118",21.000000,25.770585,"Default Known Flow Node","Known Flow",382548.896250,88618.550000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307820","Nodes","-307820",21.000000,24.146120,"Default Known Flow Node","Known Flow",382611.865000,88540.932812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307821","Nodes","-307821",21.000000,24.146120,"Default Known Flow Node","Known Flow",382613.365000,88540.182812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000112","Nodes","112",21.000000,25.724138,"Default Known Flow Node","Known Flow",382621.990000,88563.948437,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000113","Nodes","113",21.000000,25.863495,"Default Known Flow Node","Known Flow",382575.583750,88582.050000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000109","Nodes","109",21.000000,25.956427,"Default Known Flow Node","Known Flow",382627.083750,88607.948437,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000110","Nodes","110",21.000000,25.956427,"Default Known Flow Node","Known Flow",382656.583750,88587.448437,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000105","Nodes","105",21.000000,25.817038,"Default Known Flow Node","Known Flow",382687.583750,88533.151562,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307836","Nodes","-307836",21.000000,25.817038,"Default Known Flow Node","Known Flow",382697.365000,88528.300000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307837","Nodes","-307837",21.000000,26.145372,"Default Known Flow Node","Known Flow",382708.740000,88915.300000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000065","Nodes","65",21.000000,22.197787,"DDS demands","Known Flow",382783.490000,88929.346875,,0.000000,,,,,-22.709999,,,,,-20.307688,-22.709999,,"",,,,,"D1 PROFILE",,,,
"82520900307877","Nodes","-307877",21.000000,24.299245,"Default Known Flow Node","Known Flow",382878.740000,88911.932812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000147","Nodes","147",21.000000,26.368511,"Default Known Flow Node","Known Flow",382799.802500,88583.151562,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307868","Nodes","-307868",21.000000,26.368511,"Default Known Flow Node","Known Flow",382804.615000,88582.300000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000134","Nodes","134",21.000000,25.415463,"DDS demands","Known Flow",382805.490000,88857.846875,,0.000000,,,,,-9.039999,,,,,-8.083729,-9.039999,,"",,,,,"D1 PROFILE",,,,
"82520900000133","Nodes","133",21.000000,25.774571,"DDS demands","Known Flow",382909.302500,88848.550000,,0.000000,-10.090000,,,,-2.880000,,,,,-11.598007,-12.970000,,"","C1 PROFILE",,,,"D1 PROFILE",,,,
"82520900000146","Nodes","146",21.000000,26.182751,"Default Known Flow Node","Known Flow",382848.302500,88574.846875,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000055","Nodes","55",21.000000,25.814229,"DDS demands","Known Flow",382975.802500,88960.550000,,0.000000,-3.569999,,,-9.479999,-13.309999,,,,,-23.571583,-26.359999,,"","C1 PROFILE",,,"C4 PROFILE","D1 PROFILE",,,,
"82520900000064","Nodes","P07114454/1, GARRISON GARAGE, 13.11",22.999998,25.813495,"CSEP Unmatched","Known Flow",382942.896250,88900.846875,,0.000000,,-24.790001,,,-11.000000,-13.109999,,,,-43.727258,-48.900002,,"",,"C2 PROFILE",,,"D1 PROFILE","DC PROFILE",,,
"82520900000070","Nodes","70",21.000000,25.881236,"Default Known Flow Node","Known Flow",382994.583750,88998.651562,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307806","Nodes","-307806",21.000000,23.572266,"Default Known Flow Node","Known Flow",382483.115000,88539.800000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000117","Nodes","117",21.000000,25.770585,"Default Known Flow Node","Known Flow",382574.490000,88612.948437,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000116","Nodes","116",21.000000,25.770585,"Default Known Flow Node","Known Flow",382525.583750,88607.948437,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
