"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82000800000855","Nodes","855","21.000000","30.212857","DDS demands","Known Flow","403817.343944","100806.549573","","0.000000","","","","","-3.170000","","","","","","-2.834670","-3.170000","","","","","","","D1 PROFILE","","","","",""
"82000800000773","Nodes","773","21.000000","31.777328","DDS demands","Known Flow","403972.501080","100759.554628","","0.000000","","","","","-4.139999","","","","","","-3.702062","-4.139999","","","","","","","D1 PROFILE","","","","",""
"82000800000905","Nodes","905","21.000000","31.790956","DDS demands","Known Flow","403974.751081","100807.054641","","0.000000","","","","","-4.539999","","","","","","-4.059749","-4.539999","","","","","","","D1 PROFILE","","","","",""
"82000800001281","Nodes","1281","21.000000","34.065387","Default Known Flow Node","Known Flow","404055.876103","100694.804610","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000698","Nodes","698","21.000000","34.065387","DDS demands","Known Flow","404054.376103","100691.554609","","0.000000","","","","","-1.230000","","","","","","-1.099888","-1.230000","","","","","","","D1 PROFILE","","","","",""
"82000800001217","Nodes","1217","21.000000","34.979431","DDS demands","Known Flow","404225.126149","100559.554573","","0.000000","","","","","-10.079999","","","","","","-9.013715","-10.079999","","","","","","","D1 PROFILE","","","","",""
"82000800000699","Nodes","699","21.000000","34.064187","DDS demands","Known Flow","404051.001102","100679.804606","","0.000000","","","","","-0.920000","","","","","","-0.822680","-0.920000","","","","","","","D1 PROFILE","","","","",""
"82000800000660","Nodes","660","21.000000","32.561632","DDS demands","Known Flow","404057.126103","100717.804616","","0.000000","","","","","-3.930000","","","","","","-3.514276","-3.930000","","","","","","","D1 PROFILE","","","","",""
"82000800000661","Nodes","661","21.000000","32.626586","DDS demands","Known Flow","404060.441121","100803.552044","","0.000000","","","","","-2.259999","","","","","","-2.020932","-2.259999","","","","","","","D1 PROFILE","","","","",""
"82000800001282","Nodes","1282","21.000000","32.626586","Default Known Flow Node","Known Flow","404060.376104","100805.054640","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
