"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82820900000070","Nodes","70",21.000000,33.363887,"DDS demands","Known Flow",384491.295454,86628.910339,,0.000000,,,,-1.029999,,,,,-0.921044,-1.029999,,"",,,,"D1 PROFILE",,,,
"82820900000071","Nodes","71",21.000000,32.874072,"DDS demands","Known Flow",384519.245787,86617.425779,,0.000000,,,,-7.199999,,,,,-6.438368,-7.199999,,"",,,,"D1 PROFILE",,,,
"82820900000037","Nodes","37",21.000000,33.644217,"DDS demands","Known Flow",384025.120653,86314.800697,,0.000000,,,,-1.129999,,,,,-1.010466,-1.129999,,"",,,,"D1 PROFILE",,,,
"82820900000036","Nodes","36",21.000000,33.601009,"DDS demands","Known Flow",384017.378288,86324.438516,,0.000000,,,,-4.570000,,,,,-4.086576,-4.570000,,"",,,,"D1 PROFILE",,,,
"82820900000035","Nodes","35",21.000000,33.719603,"DDS demands","Known Flow",383927.120626,86348.300706,,0.000000,,,,-5.389999,,,,,-4.819834,-5.389999,,"",,,,"D1 PROFILE",,,,
"82820900259656","Nodes","-259656",21.000000,25.255554,"Default Known Flow Node","Known Flow",383904.995620,86575.925768,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000107","Nodes","107",21.000000,23.444478,"DDS demands","Known Flow",383906.856166,86638.803380,,0.000000,,,,-5.840000,,,,,-5.222232,-5.840000,,"",,,,"D1 PROFILE",,,,
"82820900000080","Nodes","80",21.000000,21.974139,"DDS demands","Known Flow",383981.870641,86745.300814,,0.000000,,,,-11.289999,,,,,-10.095719,-11.289999,,"",,,,"D1 PROFILE",,,,
"82820900000078","Nodes","78",21.000000,28.893734,"DDS demands","Known Flow",383740.485429,86641.550402,,0.000000,,,,-20.930000,,,,,-18.715980,-20.930000,,"",,,,"D1 PROFILE",,,,
"82820900000141","Nodes","141",21.000000,28.423181,"Default Known Flow Node","Known Flow",383826.647069,86644.816086,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
