"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82013300000186","Nodes","186","21.000000","30.940830","DDS demands","Known Flow","424217.783996","149192.555728","","0.000000","0.000000","","","","","-4.619999","","","","","","","","-4.131286","-4.619999","","","C1 PROFILE","","","","","D1 PROFILE","","","","","","",""
"82013300000184","Nodes","184","21.000000","31.260495","DDS demands","Known Flow","424152.475554","149010.993807","","0.000000","","","","","","-3.469999","","","","","","","","-3.102936","-3.469999","","","","","","","","D1 PROFILE","","","","","","",""
"82013300000433","Nodes","433","21.000000","31.249790","DDS demands","Known Flow","424133.733847","149037.554489","","0.000000","","","","","","-0.449999","","","","","","","","-0.402398","-0.449999","","","","","","","","D1 PROFILE","","","","","","",""
"82013300000432","Nodes","432","21.000000","31.258779","Default Known Flow Node","Known Flow","424143.048428","149035.838431","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82013300000419","Nodes","419","21.000000","31.332520","DDS demands","Known Flow","423654.597873","148962.398192","","0.000000","","-18.479999","","","","-0.490000","","","","","","","","-16.963312","-18.969999","","","","C2 PROFILE","","","","D1 PROFILE","","","","","","",""
"82013300000436","Nodes","P00098667, Flats 1-24, 20.40","24.000000","31.382902","CSEP DDS Matched","Known Flow","423662.670438","148863.877717","","0.000000","","","","","0.000000","","-20.399999","","","","","","","-18.242045","-20.399999","","","","","","","CT PROFILE","","DC PROFILE","","","","","",""
"82013300000401","Nodes","401","21.000000","64.053899","DDS demands","Known Flow","423759.650465","148222.111543","","0.000000","","","","","","-7.820000","","","","","","","","-6.992784","-7.820000","","","","","","","","D1 PROFILE","","","","","","",""
"82013300000402","Nodes","402","21.000000","66.403507","DDS demands","Known Flow","423908.971607","148344.997309","","0.000000","","","","","","-10.689999","","","","","","","","-9.559189","-10.689999","","","","","","","","D1 PROFILE","","","","","","",""
"82013300000400","Nodes","400","21.000000","57.843885","DDS demands","Known Flow","423643.445573","148113.866392","","0.000000","","","","","","-10.750000","","","","","","","","-9.612842","-10.750000","","","","","","","","D1 PROFILE","","","","","","",""
"82013300003796","Nodes","3796","21.000000","56.130500","Default Known Flow Node","Known Flow","423716.882927","148030.217019","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
