"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"82622900000189","Nodes","189",21.000000,29.640495,"Default Known Flow Node","Known Flow",423461.327384,149641.045929,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000190","Nodes","190",21.000000,29.773249,"Default Known Flow Node","Known Flow",423401.853367,149676.408938,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000153","Nodes","153",21.000000,32.085589,"DDS demands","Known Flow",423393.070365,149319.519841,,0.000000,,,,-2.720000,,,,-2.432272,-2.720000,,,"",,,,"D1 PROFILE",,,,
"82622900000193","Nodes","193",21.000000,31.748541,"Default Known Flow Node","Known Flow",423445.510379,149276.004829,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000196","Nodes","196",21.000000,31.372660,"Default Known Flow Node","Known Flow",423509.007397,149292.664834,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000140","Nodes","140",21.000000,30.173859,"DDS demands","Known Flow",423318.931345,149469.452882,,0.000000,,,,-4.369999,,,,-3.907732,-4.369999,,,"",,,,"D1 PROFILE",,,,
"82622900000180","Nodes","180",21.000000,30.087954,"DDS demands","Known Flow",423066.131276,149474.998884,,0.000000,,,,-8.569999,,,,-7.663447,-8.569999,,,"",,,,"D1 PROFILE",,,,
"82622900000178","Nodes","178",21.000000,32.398003,"Default Known Flow Node","Known Flow",423217.213317,149180.222803,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000177","Nodes","177",21.000000,30.615595,"Default Known Flow Node","Known Flow",423391.294365,149430.352871,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000188","Nodes","188",21.000000,29.186536,"Default Known Flow Node","Known Flow",423144.369297,149751.113959,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900000135","Nodes","135",21.000000,29.655174,"DDS demands","Known Flow",423421.801373,149514.187894,,0.000000,,,,-3.859999,,,,-3.451680,-3.859999,,,"",,,,"D1 PROFILE",,,,
"82622900000010","Nodes",,0.000000,30.087954,"Default Known Flow Node","Known Flow",423093.761112,149517.588485,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"82622900008032","Nodes",,21.000000,31.987177,"Default Known Flow Node","Known Flow",423430.412375,149353.129850,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
"8262290-110","Nodes","-110",21.000000,32.371027,"Default Known Flow Node","Known Flow",423357.994355,149293.598834,,0.000000,,,,,,,,0.000000,0.000000,,,"",,,,,,,,
